Air Quality Station EoI Code,Longitude,Latitude,geometry,state_x,district,town_city,Unnamed: 0,city,state_y,population
DEBW081,8.3556,49.0286,POINT (8.3556 49.0286),Baden-Württemberg,Karlsruhe (Stadtkreis),Karlsruhe,22,Karlsruhe,Baden-Württemberg,"308,707"
DEBW118,9.191,48.7881,POINT (9.191 48.7881),Baden-Württemberg,Stuttgart,Stuttgart,6,Stuttgart,Baden-Württemberg,"632,865"
DEBY076,9.9359,49.7946,POINT (9.9359 49.7946),Bayern,Würzburg (Kreisfreie Stadt),Würzburg,63,Würzburg,Bavaria,"127,810"
DEHB007,8.783,53.0667,POINT (8.783 53.0667),Bremen,Bremen,Bremen,11,Bremen,Free Hanseatic City of Bremen,"569,396"
DEBY116,11.0013,49.6026,POINT (11.0013 49.6026),Bayern,Erlangen,Erlangen,68,Erlangen,Bavaria,"116,562"
DEHH008,9.9679,53.5641,POINT (9.9679 53.5641),Hamburg,Hamburg,Hamburg,2,Hamburg,Hamburg,"1,892,122"
DEHH078,9.9656,53.551,POINT (9.9656 53.551),Hamburg,Hamburg,Hamburg,2,Hamburg,Hamburg,"1,892,122"
DERP008,8.2546,50.0104,POINT (8.2546 50.0104),Rheinland-Pfalz,Mainz,Mainz,35,Mainz,Rhineland-Palatinate,"220,552"
DESL010,6.9488,49.2442,POINT (6.9488 49.2442),Saarland,Regionalverband Saarbrücken,Saarbrücken,43,Saarbrücken,Saarland,"181,959"
DETH081,11.0104,50.9723,POINT (11.0104 50.9723),Thüringen,Erfurt,Erfurt,37,Erfurt,Thuringia,"214,969"
DENW054,7.006,51.0384,POINT (7.006 51.0384),Nordrhein-Westfalen,Leverkusen,Leverkusen,49,Leverkusen,North Rhine-Westphalia,"165,748"
DESH012,10.1044,54.3442,POINT (10.1044 54.3442),Schleswig-Holstein,Kiel,Kiel,30,Kiel,Schleswig-Holstein,"247,717"
DESN009,12.9591,50.8676,POINT (12.9591 50.8676),Sachsen,Chemnitz,Chemnitz,29,Chemnitz,Saxony,"248,563"
DEBE009,13.2885,52.5511,POINT (13.2885 52.5511),Berlin,Berlin,Berlin,1,Berlin,Berlin,"3,755,251"
DEBE012,13.168,52.5128,POINT (13.168 52.5128),Berlin,Berlin,Berlin,1,Berlin,Berlin,"3,755,251"
DEBE017,13.2936,52.4707,POINT (13.2936 52.4707),Berlin,Berlin,Berlin,1,Berlin,Berlin,"3,755,251"
DEBE021,13.2427,52.4455,POINT (13.2427 52.4455),Berlin,Berlin,Berlin,1,Berlin,Berlin,"3,755,251"
DEBW051,9.2214,49.1458,POINT (9.2214 49.1458),Baden-Württemberg,Heilbronn (Stadtkreis),Heilbronn,61,Heilbronn,Baden-Württemberg,"128,334"
DEBE001,13.2271,52.6216,POINT (13.2271 52.6216),Berlin,Berlin,Berlin,1,Berlin,Berlin,"3,755,251"
DEBE004,13.2342,52.5876,POINT (13.2342 52.5876),Berlin,Berlin,Berlin,1,Berlin,Berlin,"3,755,251"
DEBY016,11.0166,49.5876,POINT (11.0166 49.5876),Bayern,Erlangen,Erlangen,68,Erlangen,Bavaria,"116,562"
DEHH001,9.9068,53.5997,POINT (9.9068 53.5997),Hamburg,Hamburg,Hamburg,2,Hamburg,Hamburg,"1,892,122"
DEHH003,10.0291,53.5978,POINT (10.0291 53.5978),Hamburg,Hamburg,Hamburg,2,Hamburg,Hamburg,"1,892,122"
DEHH005,10.1439,53.5976,POINT (10.1439 53.5976),Hamburg,Hamburg,Hamburg,2,Hamburg,Hamburg,"1,892,122"
DEBE008,13.2296,52.5553,POINT (13.2296 52.5553),Berlin,Berlin,Berlin,1,Berlin,Berlin,"3,755,251"
DEHH011,10.1474,53.5617,POINT (10.1474 53.5617),Hamburg,Hamburg,Hamburg,2,Hamburg,Hamburg,"1,892,122"
DEHH012,9.8448,53.5237,POINT (9.8448 53.5237),Hamburg,Hamburg,Hamburg,2,Hamburg,Hamburg,"1,892,122"
DEHH013,9.9007,53.5278,POINT (9.9007 53.5278),Hamburg,Hamburg,Hamburg,2,Hamburg,Hamburg,"1,892,122"
DEHH014,9.9731,53.5264,POINT (9.9731 53.5264),Hamburg,Hamburg,Hamburg,2,Hamburg,Hamburg,"1,892,122"
DEHH019,9.9663,53.4932,POINT (9.9663 53.4932),Hamburg,Hamburg,Hamburg,2,Hamburg,Hamburg,"1,892,122"
DEBE006,13.3449,52.5864,POINT (13.3449 52.5864),Berlin,Berlin,Berlin,1,Berlin,Berlin,"3,755,251"
DEBE007,13.1678,52.5577,POINT (13.1678 52.5577),Berlin,Berlin,Berlin,1,Berlin,Berlin,"3,755,251"
DEBE020,13.4555,52.4754,POINT (13.4555 52.4754),Berlin,Berlin,Berlin,1,Berlin,Berlin,"3,755,251"
DEBE025,13.4575,52.4466,POINT (13.4575 52.4466),Berlin,Berlin,Berlin,1,Berlin,Berlin,"3,755,251"
DEBE029,13.4843,52.4113,POINT (13.4843 52.4113),Berlin,Berlin,Berlin,1,Berlin,Berlin,"3,755,251"
DEHE012,9.5325,51.3063,POINT (9.5325 51.3063),Hessen,Kassel (Kreisfreie Stadt),Kassel,40,Kassel,Hesse,"204,202"
DEBE013,13.2177,52.5174,POINT (13.2177 52.5174),Berlin,Berlin,Berlin,1,Berlin,Berlin,"3,755,251"
DEBY018,11.0312,49.5518,POINT (11.0312 49.5518),Bayern,Erlangen,Erlangen,68,Erlangen,Bavaria,"116,562"
DEHH004,10.0819,53.5982,POINT (10.0819 53.5982),Hamburg,Hamburg,Hamburg,2,Hamburg,Hamburg,"1,892,122"
DEHH006,9.8425,53.5606,POINT (9.8425 53.5606),Hamburg,Hamburg,Hamburg,2,Hamburg,Hamburg,"1,892,122"
DEBE035,13.4153,52.4588,POINT (13.4153 52.4588),Berlin,Berlin,Berlin,1,Berlin,Berlin,"3,755,251"
DEHH018,9.9089,53.49,POINT (9.9089 53.49),Hamburg,Hamburg,Hamburg,2,Hamburg,Hamburg,"1,892,122"
DEHH022,9.9639,53.4537,POINT (9.9639 53.4537),Hamburg,Hamburg,Hamburg,2,Hamburg,Hamburg,"1,892,122"
DEHH023,10.0255,53.4504,POINT (10.0255 53.4504),Hamburg,Hamburg,Hamburg,2,Hamburg,Hamburg,"1,892,122"
DEHE016,8.2902,50.0078,POINT (8.2902 50.0078),Hessen,Wiesbaden,Wiesbaden,24,Wiesbaden,Hesse,"283,083"
DEBY008,10.9078,48.3083,POINT (10.9078 48.3083),Bayern,Augsburg (Kreisfreie Stadt),Augsburg,23,Augsburg,Bavaria,"301,033"
DEHH010,10.084,53.5596,POINT (10.084 53.5596),Hamburg,Hamburg,Hamburg,2,Hamburg,Hamburg,"1,892,122"
DESL011,7.0363,49.2372,POINT (7.0363 49.2372),Saarland,Regionalverband Saarbrücken,Saarbrücken,43,Saarbrücken,Saarland,"181,959"
DESH009,10.6858,53.8709,POINT (10.6858 53.8709),Schleswig-Holstein,Lübeck,Lübeck,36,Lübeck,Schleswig-Holstein,"218,095"
DENW027,7.2357,51.4722,POINT (7.2357 51.4722),Nordrhein-Westfalen,Bochum,Bochum,16,Bochum,North Rhine-Westphalia,"365,742"
DEBE003,13.3385,52.6188,POINT (13.3385 52.6188),Berlin,Berlin,Berlin,1,Berlin,Berlin,"3,755,251"
DEBY017,10.9333,49.59,POINT (10.9333 49.59),Bayern,Erlangen,Erlangen,68,Erlangen,Bavaria,"116,562"
DEHH017,10.1509,53.523,POINT (10.1509 53.523),Hamburg,Hamburg,Hamburg,2,Hamburg,Hamburg,"1,892,122"
DEHH021,10.0836,53.4877,POINT (10.0836 53.4877),Hamburg,Hamburg,Hamburg,2,Hamburg,Hamburg,"1,892,122"
DEHH016,10.0817,53.529,POINT (10.0817 53.529),Hamburg,Hamburg,Hamburg,2,Hamburg,Hamburg,"1,892,122"
DEHB002,8.917,53.06,POINT (8.917 53.06),Bremen,Bremen,Bremen,11,Bremen,Free Hanseatic City of Bremen,"569,396"
DEBE023,13.3413,52.4444,POINT (13.3413 52.4444),Berlin,Berlin,Berlin,1,Berlin,Berlin,"3,755,251"
DEHE028,8.8173,49.6535,POINT (8.8173 49.6535),Hessen,Bergstraße,Fürth,59,Fürth,Bavaria,"131,433"
DENW041,6.5488,51.3219,POINT (6.5488 51.3219),Nordrhein-Westfalen,Krefeld,Krefeld,34,Krefeld,North Rhine-Westphalia,"228,426"
DESH005,10.6354,53.8713,POINT (10.6354 53.8713),Schleswig-Holstein,Lübeck,Lübeck,36,Lübeck,Schleswig-Holstein,"218,095"
DEUB016,7.6722,52.0425,POINT (7.6722 52.0425),Nordrhein-Westfalen,Münster,Münster,20,Münster,North Rhine-Westphalia,"320,946"
DENW035,6.8741,51.5266,POINT (6.8741 51.5266),Nordrhein-Westfalen,Oberhausen,Oberhausen,38,Oberhausen,North Rhine-Westphalia,"210,824"
DEHB003,8.7556,53.1111,POINT (8.7556 53.1111),Bremen,Bremen,Bremen,11,Bremen,Free Hanseatic City of Bremen,"569,396"
DENW062,7.0827,50.7536,POINT (7.0827 50.7536),Nordrhein-Westfalen,Bonn,Bonn,19,Bonn,North Rhine-Westphalia,336.465
DESL009,6.9713,49.2341,POINT (6.9713 49.2341),Saarland,Regionalverband Saarbrücken,Saarbrücken,43,Saarbrücken,Saarland,"181,959"
DEBB075,13.1237,52.4842,POINT (13.1237 52.4842),Brandenburg,Potsdam,Potsdam,42,Potsdam,Brandenburg,"185,750"
DEBE056,13.6471,52.4477,POINT (13.6471 52.4477),Berlin,Berlin,Berlin,1,Berlin,Berlin,"3,755,251"
DEBE051,13.4831,52.6442,POINT (13.4831 52.6442),Berlin,Berlin,Berlin,1,Berlin,Berlin,"3,755,251"
DEBY113,10.9635,49.6059,POINT (10.9635 49.6059),Bayern,Erlangen,Erlangen,68,Erlangen,Bavaria,"116,562"
DEHH050,9.8572,53.4809,POINT (9.8572 53.4809),Hamburg,Hamburg,Hamburg,2,Hamburg,Hamburg,"1,892,122"
DEMV021,12.08,54.1713,POINT (12.08 54.1713),Mecklenburg-Vorpommern,Rostock (Kreisfreie Stadt),Rostock,39,Rostock,Mecklenburg-Vorpommern,"209,920"
DEHH047,10.1106,53.6307,POINT (10.1106 53.6307),Hamburg,Hamburg,Hamburg,2,Hamburg,Hamburg,"1,892,122"
DEHH049,9.7862,53.5681,POINT (9.7862 53.5681),Hamburg,Hamburg,Hamburg,2,Hamburg,Hamburg,"1,892,122"
DENW114,7.2319,51.2776,POINT (7.2319 51.2776),Nordrhein-Westfalen,Wuppertal,Wuppertal,17,Wuppertal,North Rhine-Westphalia,"358,876"
DENW247,6.9656,51.4068,POINT (6.9656 51.4068),Nordrhein-Westfalen,Essen,Essen,10,Essen,North Rhine-Westphalia,"584,580"
DERP047,6.6903,49.784,POINT (6.6903 49.784),Rheinland-Pfalz,Trier,Trier,73,Trier,Rhineland-Palatinate,"112,195"
DENW431,6.7443,51.2774,POINT (6.7443 51.2774),Nordrhein-Westfalen,Düsseldorf,Düsseldorf,7,Düsseldorf,North Rhine-Westphalia,"629,047"
DERP040,6.6749,49.7487,POINT (6.6749 49.7487),Rheinland-Pfalz,Trier,Trier,73,Trier,Rhineland-Palatinate,"112,195"
DESH023,10.6959,53.8355,POINT (10.6959 53.8355),Schleswig-Holstein,Lübeck,Lübeck,36,Lübeck,Schleswig-Holstein,"218,095"
DESN084,13.7316,51.0263,POINT (13.7316 51.0263),Sachsen,Dresden,Dresden,12,Dresden,Saxony,"563,311"
DESH033,10.1166,54.3097,POINT (10.1166 54.3097),Schleswig-Holstein,Kiel,Kiel,30,Kiel,Schleswig-Holstein,"247,717"
DESH057,10.1056,54.3476,POINT (10.1056 54.3476),Schleswig-Holstein,Kiel,Kiel,30,Kiel,Schleswig-Holstein,"247,717"
DESN104,12.9594,50.8552,POINT (12.9594 50.8552),Sachsen,Chemnitz,Chemnitz,29,Chemnitz,Saxony,"248,563"
DESN092,13.7302,51.0361,POINT (13.7302 51.0361),Sachsen,Dresden,Dresden,12,Dresden,Saxony,"563,311"
DESN082,12.4257,51.376,POINT (12.4257 51.376),Sachsen,Leipzig (Kreisfreie Stadt),Leipzig,8,Leipzig,Saxony,"616,093"
DETH117,11.0566,50.9931,POINT (11.0566 50.9931),Thüringen,Erfurt,Erfurt,37,Erfurt,Thuringia,"214,969"
DETH019,11.0242,50.9696,POINT (11.0242 50.9696),Thüringen,Erfurt,Erfurt,37,Erfurt,Thuringia,"214,969"
DESN085,13.7287,51.0548,POINT (13.7287 51.0548),Sachsen,Dresden,Dresden,12,Dresden,Saxony,"563,311"
DEST006,11.6467,52.1336,POINT (11.6467 52.1336),Sachsen-Anhalt,Magdeburg,Magdeburg,32,Magdeburg,Saxony-Anhalt,"239,364"
DENW204,7.2106,51.511,POINT (7.2106 51.511),Nordrhein-Westfalen,Bochum,Bochum,16,Bochum,North Rhine-Westphalia,"365,742"
DESN008,12.9193,50.8312,POINT (12.9193 50.8312),Sachsen,Chemnitz,Chemnitz,29,Chemnitz,Saxony,"248,563"
DESH021,10.1362,54.3327,POINT (10.1362 54.3327),Schleswig-Holstein,Kiel,Kiel,30,Kiel,Schleswig-Holstein,"247,717"
DEBB020,13.0397,52.3867,POINT (13.0397 52.3867),Brandenburg,Potsdam,Potsdam,42,Potsdam,Brandenburg,"185,750"
DENI015,10.3482,52.1496,POINT (10.3482 52.1496),Niedersachsen,Salzgitter,Salzgitter,77,Salzgitter,Lower Saxony,"104,548"
DEBW077,9.9765,48.354,POINT (9.9765 48.354),Baden-Württemberg,Ulm,Ulm,60,Ulm,Baden-Württemberg,"128,928"
DEHH030,9.7928,53.5623,POINT (9.7928 53.5623),Hamburg,Hamburg,Hamburg,2,Hamburg,Hamburg,"1,892,122"
DEBB052,13.0485,52.3483,POINT (13.0485 52.3483),Brandenburg,Potsdam,Potsdam,42,Potsdam,Brandenburg,"185,750"
DEBY064,12.1245,49.0336,POINT (12.1245 49.0336),Bayern,Regensburg (Kreisfreie Stadt),Regensburg,53,Regensburg,Bavaria,"157,443"
DEBW101,8.6582,49.4214,POINT (8.6582 49.4214),Baden-Württemberg,Heidelberg,Heidelberg,50,Heidelberg,Baden-Württemberg,"162,273"
DEHH063,8.4974,53.9179,POINT (8.4974 53.9179),Hamburg,Hamburg,Hamburg,2,Hamburg,Hamburg,"1,892,122"
DENW208,7.0846,51.5279,POINT (7.0846 51.5279),Nordrhein-Westfalen,Gelsenkirchen,Gelsenkirchen,26,Gelsenkirchen,North Rhine-Westphalia,"263,000"
DENW206,7.0841,51.1762,POINT (7.0841 51.1762),Nordrhein-Westfalen,Solingen,Solingen,52,Solingen,North Rhine-Westphalia,"160,643"
DEBB073,13.0946,52.3889,POINT (13.0946 52.3889),Brandenburg,Potsdam,Potsdam,42,Potsdam,Brandenburg,"185,750"
DEBE125,13.3824,52.5098,POINT (13.3824 52.5098),Berlin,Berlin,Berlin,1,Berlin,Berlin,"3,755,251"
DEBE127,13.4412,52.4675,POINT (13.4412 52.4675),Berlin,Berlin,Berlin,1,Berlin,Berlin,"3,755,251"
DEBE069,13.3877,52.4381,POINT (13.3877 52.4381),Berlin,Berlin,Berlin,1,Berlin,Berlin,"3,755,251"
DEBW116,9.1845,48.7687,POINT (9.1845 48.7687),Baden-Württemberg,Stuttgart,Stuttgart,6,Stuttgart,Baden-Württemberg,"632,865"
DEBE126,13.4297,52.4838,POINT (13.4297 52.4838),Berlin,Berlin,Berlin,1,Berlin,Berlin,"3,755,251"
DEBW153,9.9873,48.4041,POINT (9.9873 48.4041),Baden-Württemberg,Ulm,Ulm,60,Ulm,Baden-Württemberg,"128,928"
DEHB011,8.5988,53.5853,POINT (8.5988 53.5853),Bremen,Bremerhaven,Bremerhaven,69,Bremerhaven,Free Hanseatic City of Bremen,"115,468"
DEBW134,9.2204,48.8038,POINT (9.2204 48.8038),Baden-Württemberg,Stuttgart,Stuttgart,6,Stuttgart,Baden-Württemberg,"632,865"
DEBW138,9.9835,48.3946,POINT (9.9835 48.3946),Baden-Württemberg,Ulm,Ulm,60,Ulm,Baden-Württemberg,"128,928"
DEHB010,8.7114,53.1501,POINT (8.7114 53.1501),Bremen,Bremen,Bremen,11,Bremen,Free Hanseatic City of Bremen,"569,396"
DEHE054,8.9263,50.1304,POINT (8.9263 50.1304),Hessen,Main-Kinzig-Kreis,Hanau,81,Hanau,Hesse,"101,364"
DEHE112,8.2289,50.0721,POINT (8.2289 50.0721),Hessen,Wiesbaden,Wiesbaden,24,Wiesbaden,Hesse,"283,083"
DEHH072,9.8441,53.536,POINT (9.8441 53.536),Hamburg,Hamburg,Hamburg,2,Hamburg,Hamburg,"1,892,122"
DEHH079,9.9448,53.5453,POINT (9.9448 53.5453),Hamburg,Hamburg,Hamburg,2,Hamburg,Hamburg,"1,892,122"
DEHH081,9.9816,53.5292,POINT (9.9816 53.5292),Hamburg,Hamburg,Hamburg,2,Hamburg,Hamburg,"1,892,122"
DEHH082,9.9614,53.6222,POINT (9.9614 53.6222),Hamburg,Hamburg,Hamburg,2,Hamburg,Hamburg,"1,892,122"
DEHH074,10.1028,53.5385,POINT (10.1028 53.5385),Hamburg,Hamburg,Hamburg,2,Hamburg,Hamburg,"1,892,122"
DEMV020,12.142,54.0923,POINT (12.142 54.0923),Mecklenburg-Vorpommern,Rostock (Kreisfreie Stadt),Rostock,39,Rostock,Mecklenburg-Vorpommern,"209,920"
DEMV031,12.0979,54.1773,POINT (12.0979 54.1773),Mecklenburg-Vorpommern,Rostock (Kreisfreie Stadt),Rostock,39,Rostock,Mecklenburg-Vorpommern,"209,920"
DENW207,6.0958,50.7731,POINT (6.0958 50.7731),Nordrhein-Westfalen,Städteregion Aachen,Aachen,27,Aachen,North Rhine-Westphalia,"252,136"
DENW382,6.7275,51.4607,POINT (6.7275 51.4607),Nordrhein-Westfalen,Duisburg,Duisburg,15,Duisburg,North Rhine-Westphalia,"502,211"
DENW415,6.8425,51.4784,POINT (6.8425 51.4784),Nordrhein-Westfalen,Oberhausen,Oberhausen,38,Oberhausen,North Rhine-Westphalia,"210,824"
DENW185,7.481,51.5006,POINT (7.481 51.5006),Nordrhein-Westfalen,Dortmund,Dortmund,9,Dortmund,North Rhine-Westphalia,"593,317"
DENW188,6.8636,51.4749,POINT (6.8636 51.4749),Nordrhein-Westfalen,Oberhausen,Oberhausen,38,Oberhausen,North Rhine-Westphalia,"210,824"
DENW330,6.7538,51.2695,POINT (6.7538 51.2695),Nordrhein-Westfalen,Düsseldorf,Düsseldorf,7,Düsseldorf,North Rhine-Westphalia,"629,047"
DENW134,7.0053,51.4779,POINT (7.0053 51.4779),Nordrhein-Westfalen,Essen,Essen,10,Essen,North Rhine-Westphalia,"584,580"
DENW254,6.7523,51.4679,POINT (6.7523 51.4679),Nordrhein-Westfalen,Duisburg,Duisburg,15,Duisburg,North Rhine-Westphalia,"502,211"
DENW189,7.1474,51.2607,POINT (7.1474 51.2607),Nordrhein-Westfalen,Wuppertal,Wuppertal,17,Wuppertal,North Rhine-Westphalia,"358,876"
DENW259,6.4399,51.1694,POINT (6.4399 51.1694),Nordrhein-Westfalen,Mönchengladbach,Mönchengladbach,25,Mönchengladbach,North Rhine-Westphalia,"268,465"
DENW338,6.7354,51.4855,POINT (6.7354 51.4855),Nordrhein-Westfalen,Duisburg,Duisburg,15,Duisburg,North Rhine-Westphalia,"502,211"
DENW260,7.6194,51.9533,POINT (7.6194 51.9533),Nordrhein-Westfalen,Münster,Münster,20,Münster,North Rhine-Westphalia,"320,946"
DENW351,7.0604,51.5243,POINT (7.0604 51.5243),Nordrhein-Westfalen,Gelsenkirchen,Gelsenkirchen,26,Gelsenkirchen,North Rhine-Westphalia,"263,000"
DENW355,7.0109,51.0315,POINT (7.0109 51.0315),Nordrhein-Westfalen,Leverkusen,Leverkusen,49,Leverkusen,North Rhine-Westphalia,"165,748"
DENW200,8.5528,52.0056,POINT (8.5528 52.0056),Nordrhein-Westfalen,Bielefeld,Bielefeld,18,Bielefeld,North Rhine-Westphalia,"338,332"
DENW203,7.1501,51.5432,POINT (7.1501 51.5432),Nordrhein-Westfalen,Herne,Herne,54,Herne,North Rhine-Westphalia,"157,368"
DENW116,6.6702,51.3426,POINT (6.6702 51.3426),Nordrhein-Westfalen,Krefeld,Krefeld,34,Krefeld,North Rhine-Westphalia,"228,426"
DENW117,7.1861,51.4825,POINT (7.1861 51.4825),Nordrhein-Westfalen,Bochum,Bochum,16,Bochum,North Rhine-Westphalia,"365,742"
DENW131,6.747,51.5061,POINT (6.747 51.5061),Nordrhein-Westfalen,Duisburg,Duisburg,15,Duisburg,North Rhine-Westphalia,"502,211"
DENW383,8.5341,52.0242,POINT (8.5341 52.0242),Nordrhein-Westfalen,Bielefeld,Bielefeld,18,Bielefeld,North Rhine-Westphalia,"338,332"
DERP045,7.5922,50.3594,POINT (7.5922 50.3594),Rheinland-Pfalz,Koblenz,Koblenz,70,Koblenz,Rhineland-Palatinate,"115,268"
DESH053,10.6733,53.8622,POINT (10.6733 53.8622),Schleswig-Holstein,Lübeck,Lübeck,36,Lübeck,Schleswig-Holstein,"218,095"
DENW136,7.4836,51.5235,POINT (7.4836 51.5235),Nordrhein-Westfalen,Dortmund,Dortmund,9,Dortmund,North Rhine-Westphalia,"593,317"
DENW105,6.7002,51.3687,POINT (6.7002 51.3687),Nordrhein-Westfalen,Duisburg,Duisburg,15,Duisburg,North Rhine-Westphalia,"502,211"
DENW430,6.7764,51.2026,POINT (6.7764 51.2026),Nordrhein-Westfalen,Düsseldorf,Düsseldorf,7,Düsseldorf,North Rhine-Westphalia,"629,047"
DENW359,6.4158,51.097,POINT (6.4158 51.097),Nordrhein-Westfalen,Mönchengladbach,Mönchengladbach,25,Mönchengladbach,North Rhine-Westphalia,"268,465"
DENW381,6.7041,51.2196,POINT (6.7041 51.2196),Nordrhein-Westfalen,Rhein-Kreis Neuss,Neuss,56,Neuss,North Rhine-Westphalia,"154,139"
DENW354,6.7614,51.2005,POINT (6.7614 51.2005),Nordrhein-Westfalen,Düsseldorf,Düsseldorf,7,Düsseldorf,North Rhine-Westphalia,"629,047"
DENW186,8.5216,52.0262,POINT (8.5216 52.0262),Nordrhein-Westfalen,Bielefeld,Bielefeld,18,Bielefeld,North Rhine-Westphalia,"338,332"
DENW374,7.1864,51.5609,POINT (7.1864 51.5609),Nordrhein-Westfalen,Recklinghausen,Recklinghausen,74,Recklinghausen,North Rhine-Westphalia,"111,734"
DENW201,6.9243,51.5193,POINT (6.9243 51.5193),Nordrhein-Westfalen,Bottrop,Bottrop,66,Bottrop,North Rhine-Westphalia,"118,113"
DESN077,12.3347,51.3359,POINT (12.3347 51.3359),Sachsen,Leipzig (Kreisfreie Stadt),Leipzig,8,Leipzig,Saxony,"616,093"
DERP035,7.7613,49.4417,POINT (7.7613 49.4417),Rheinland-Pfalz,Kaiserslautern (Kreisfreie Stadt,Kaiserslautern,82,Kaiserslautern,Rhineland-Palatinate,"101,228"
DEST112,11.6319,52.1317,POINT (11.6319 52.1317),Sachsen-Anhalt,Magdeburg,Magdeburg,32,Magdeburg,Saxony-Anhalt,"239,364"
DESN083,12.9034,50.8457,POINT (12.9034 50.8457),Sachsen,Chemnitz,Chemnitz,29,Chemnitz,Saxony,"248,563"
DEST099,11.6312,52.1312,POINT (11.6312 52.1312),Sachsen-Anhalt,Magdeburg,Magdeburg,32,Magdeburg,Saxony-Anhalt,"239,364"
DENW106,6.7202,51.365,POINT (6.7202 51.365),Nordrhein-Westfalen,Duisburg,Duisburg,15,Duisburg,North Rhine-Westphalia,"502,211"
DERP036,6.637,49.7501,POINT (6.637 49.7501),Rheinland-Pfalz,Trier,Trier,73,Trier,Rhineland-Palatinate,"112,195"
DERP029,7.5955,50.3592,POINT (7.5955 50.3592),Rheinland-Pfalz,Koblenz,Koblenz,70,Koblenz,Rhineland-Palatinate,"115,268"
DESH029,10.1227,54.3039,POINT (10.1227 54.3039),Schleswig-Holstein,Kiel,Kiel,30,Kiel,Schleswig-Holstein,"247,717"
DENW140,8.4909,52.0005,POINT (8.4909 52.0005),Nordrhein-Westfalen,Bielefeld,Bielefeld,18,Bielefeld,North Rhine-Westphalia,"338,332"
DETH037,11.5827,50.9251,POINT (11.5827 50.9251),Thüringen,Jena,Jena,75,Jena,Thuringia,"111,191"
DENW177,8.5196,52.0273,POINT (8.5196 52.0273),Nordrhein-Westfalen,Bielefeld,Bielefeld,18,Bielefeld,North Rhine-Westphalia,"338,332"
DENW132,8.0251,50.9122,POINT (8.0251 50.9122),Nordrhein-Westfalen,Siegen-Wittgenstein,Siegen,78,Siegen,North Rhine-Westphalia,"102,560"
DENW183,8.7477,51.7196,POINT (8.7477 51.7196),Nordrhein-Westfalen,Paderborn,Paderborn,55,Paderborn,North Rhine-Westphalia,"154,755"
DENW141,7.6135,51.9683,POINT (7.6135 51.9683),Nordrhein-Westfalen,Münster,Münster,20,Münster,North Rhine-Westphalia,"320,946"
DENW142,6.675,51.3334,POINT (6.675 51.3334),Nordrhein-Westfalen,Krefeld,Krefeld,34,Krefeld,North Rhine-Westphalia,"228,426"
DENW226,7.0766,51.4701,POINT (7.0766 51.4701),Nordrhein-Westfalen,Essen,Essen,10,Essen,North Rhine-Westphalia,"584,580"
DENW137,7.4539,51.3549,POINT (7.4539 51.3549),Nordrhein-Westfalen,Hagen,Hagen,41,Hagen,North Rhine-Westphalia,"189,783"
DENW138,6.6926,51.1937,POINT (6.6926 51.1937),Nordrhein-Westfalen,Rhein-Kreis Neuss,Neuss,56,Neuss,North Rhine-Westphalia,"154,139"
DENW199,7.6197,51.9544,POINT (7.6197 51.9544),Nordrhein-Westfalen,Münster,Münster,20,Münster,North Rhine-Westphalia,"320,946"
DEBW119,9.1753,48.8111,POINT (9.1753 48.8111),Baden-Württemberg,Stuttgart,Stuttgart,6,Stuttgart,Baden-Württemberg,"632,865"
DEBW124,8.6872,49.3794,POINT (8.6872 49.3794),Baden-Württemberg,Heidelberg,Heidelberg,50,Heidelberg,Baden-Württemberg,"162,273"
DEBW131,9.2215,49.1405,POINT (9.2215 49.1405),Baden-Württemberg,Heilbronn (Stadtkreis),Heilbronn,61,Heilbronn,Baden-Württemberg,"128,334"
DEBY078,9.9378,49.7733,POINT (9.9378 49.7733),Bayern,Würzburg (Kreisfreie Stadt),Würzburg,63,Würzburg,Bavaria,"127,810"
DEHB008,8.5931,53.5595,POINT (8.5931 53.5595),Bremen,Bremerhaven,Bremerhaven,69,Bremerhaven,Free Hanseatic City of Bremen,"115,468"
DEHE047,8.9586,50.1218,POINT (8.9586 50.1218),Hessen,Main-Kinzig-Kreis,Hanau,81,Hanau,Hesse,"101,364"
DEBB071,13.0676,52.4054,POINT (13.0676 52.4054),Brandenburg,Potsdam,Potsdam,42,Potsdam,Brandenburg,"185,750"
DEHH054,10.2066,53.497,POINT (10.2066 53.497),Hamburg,Hamburg,Hamburg,2,Hamburg,Hamburg,"1,892,122"
DEBW129,8.6944,48.8908,POINT (8.6944 48.8908),Baden-Württemberg,Pforzheim,Pforzheim,62,Pforzheim,Baden-Württemberg,"127,849"
DEBW115,8.4624,49.4941,POINT (8.4624 49.4941),Baden-Württemberg,Mannheim,Mannheim,21,Mannheim,Baden-Württemberg,"315,554"
DEBE045,13.404,52.5911,POINT (13.404 52.5911),Berlin,Berlin,Berlin,1,Berlin,Berlin,"3,755,251"
DEBB046,13.0672,52.4036,POINT (13.0672 52.4036),Brandenburg,Potsdam,Potsdam,42,Potsdam,Brandenburg,"185,750"
DEBY024,11.4453,48.7878,POINT (11.4453 48.7878),Bayern,Ingolstadt,Ingolstadt,57,Ingolstadt,Bavaria,"141,029"
DEBW123,9.2104,48.4896,POINT (9.2104 48.4896),Baden-Württemberg,Reutlingen,Reutlingen,67,Reutlingen,Baden-Württemberg,"117,547"
