Air Quality Station EoI Code,Longitude,Latitude,geometry,state_x,district,town_city,Unnamed: 0,city,state_y,population
DENI068,9.9283,51.5302,POINT (9.9283 51.5302),Niedersachsen,Göttingen,Göttingen,65,Göttingen,Lower Saxony,"118,946"
DERP007,8.2168,50.0176,POINT (8.2168 50.0176),Rheinland-Pfalz,Mainz,Mainz,35,Mainz,Rhineland-Palatinate,"220,552"
DERP010,8.2611,50.001,POINT (8.2611 50.001),Rheinland-Pfalz,Mainz,Mainz,35,Mainz,Rhineland-Palatinate,"220,552"
DERP011,8.2658,50.0099,POINT (8.2658 50.0099),Rheinland-Pfalz,Mainz,Mainz,35,Mainz,Rhineland-Palatinate,"220,552"
DERP012,8.2689,49.9991,POINT (8.2689 49.9991),Rheinland-Pfalz,Mainz,Mainz,35,Mainz,Rhineland-Palatinate,"220,552"
DERP020,6.6467,49.7542,POINT (6.6467 49.7542),Rheinland-Pfalz,Trier,Trier,73,Trier,Rhineland-Palatinate,"112,195"
DERP009,8.274,49.995,POINT (8.274 49.995),Rheinland-Pfalz,Mainz,Mainz,35,Mainz,Rhineland-Palatinate,"220,552"
DERP019,7.7673,49.446,POINT (7.7673 49.446),Rheinland-Pfalz,Kaiserslautern (Kreisfreie Stadt,Kaiserslautern,82,Kaiserslautern,Rhineland-Palatinate,"101,228"
DERP024,7.5966,50.3544,POINT (7.5966 50.3544),Rheinland-Pfalz,Koblenz,Koblenz,70,Koblenz,Rhineland-Palatinate,"115,268"
DESL020,7.0032,49.2307,POINT (7.0032 49.2307),Saarland,Regionalverband Saarbrücken,Saarbrücken,43,Saarbrücken,Saarland,"181,959"
DESL012,6.9876,49.2335,POINT (6.9876 49.2335),Saarland,Regionalverband Saarbrücken,Saarbrücken,43,Saarbrücken,Saarland,"181,959"
DEST103,11.6327,52.1208,POINT (11.6327 52.1208),Sachsen-Anhalt,Magdeburg,Magdeburg,32,Magdeburg,Saxony-Anhalt,"239,364"
DEST076,11.6234,52.132,POINT (11.6234 52.132),Sachsen-Anhalt,Magdeburg,Magdeburg,32,Magdeburg,Saxony-Anhalt,"239,364"
DETH020,11.0379,50.9795,POINT (11.0379 50.9795),Thüringen,Erfurt,Erfurt,37,Erfurt,Thuringia,"214,969"
DEST077,11.6115,52.1279,POINT (11.6115 52.1279),Sachsen-Anhalt,Magdeburg,Magdeburg,32,Magdeburg,Saxony-Anhalt,"239,364"
DENW098,7.6184,51.9748,POINT (7.6184 51.9748),Nordrhein-Westfalen,Münster,Münster,20,Münster,North Rhine-Westphalia,"320,946"
DENW100,6.4589,51.17,POINT (6.4589 51.17),Nordrhein-Westfalen,Mönchengladbach,Mönchengladbach,25,Mönchengladbach,North Rhine-Westphalia,"268,465"
DESH019,10.1156,54.3264,POINT (10.1156 54.3264),Schleswig-Holstein,Kiel,Kiel,30,Kiel,Schleswig-Holstein,"247,717"
DESH026,10.691,53.8729,POINT (10.691 53.8729),Schleswig-Holstein,Lübeck,Lübeck,36,Lübeck,Schleswig-Holstein,"218,095"
DESN061,13.7414,51.0649,POINT (13.7414 51.0649),Sachsen,Dresden,Dresden,12,Dresden,Saxony,"563,311"
DETH043,11.0194,50.9849,POINT (11.0194 50.9849),Thüringen,Erfurt,Erfurt,37,Erfurt,Thuringia,"214,969"
DENW094,6.0938,50.7547,POINT (6.0938 50.7547),Nordrhein-Westfalen,Städteregion Aachen,Aachen,27,Aachen,North Rhine-Westphalia,"252,136"
DENW099,6.0959,50.7748,POINT (6.0959 50.7748),Nordrhein-Westfalen,Städteregion Aachen,Aachen,27,Aachen,North Rhine-Westphalia,"252,136"
DENW021,6.9769,51.526,POINT (6.9769 51.526),Nordrhein-Westfalen,Bottrop,Bottrop,66,Bottrop,North Rhine-Westphalia,"118,113"
DENW080,7.0526,51.1838,POINT (7.0526 51.1838),Nordrhein-Westfalen,Solingen,Solingen,52,Solingen,North Rhine-Westphalia,"160,643"
DENW023,7.2239,51.5276,POINT (7.2239 51.5276),Nordrhein-Westfalen,Herne,Herne,54,Herne,North Rhine-Westphalia,"157,368"
DESH010,10.675,53.8667,POINT (10.675 53.8667),Schleswig-Holstein,Lübeck,Lübeck,36,Lübeck,Schleswig-Holstein,"218,095"
DENW096,6.4256,51.1546,POINT (6.4256 51.1546),Nordrhein-Westfalen,Mönchengladbach,Mönchengladbach,25,Mönchengladbach,North Rhine-Westphalia,"268,465"
DETH041,11.5971,50.9335,POINT (11.5971 50.9335),Thüringen,Jena,Jena,75,Jena,Thuringia,"111,191"
DENW082,6.7825,51.2132,POINT (6.7825 51.2132),Nordrhein-Westfalen,Düsseldorf,Düsseldorf,7,Düsseldorf,North Rhine-Westphalia,"629,047"
DENW040,6.763,51.3853,POINT (6.763 51.3853),Nordrhein-Westfalen,Duisburg,Duisburg,15,Duisburg,North Rhine-Westphalia,"502,211"
DENW133,7.4636,51.3628,POINT (7.4636 51.3628),Nordrhein-Westfalen,Hagen,Hagen,41,Hagen,North Rhine-Westphalia,"189,783"
DENW042,6.6402,51.3377,POINT (6.6402 51.3377),Nordrhein-Westfalen,Krefeld,Krefeld,34,Krefeld,North Rhine-Westphalia,"228,426"
DENW043,7.0305,51.4512,POINT (7.0305 51.4512),Nordrhein-Westfalen,Essen,Essen,10,Essen,North Rhine-Westphalia,"584,580"
DESN014,13.7299,51.0512,POINT (13.7299 51.0512),Sachsen,Dresden,Dresden,12,Dresden,Saxony,"563,311"
DESN011,12.9173,50.8325,POINT (12.9173 50.8325),Sachsen,Chemnitz,Chemnitz,29,Chemnitz,Saxony,"248,563"
DENW101,7.4643,51.5196,POINT (7.4643 51.5196),Nordrhein-Westfalen,Dortmund,Dortmund,9,Dortmund,North Rhine-Westphalia,"593,317"
DENW115,6.5574,51.3076,POINT (6.5574 51.3076),Nordrhein-Westfalen,Krefeld,Krefeld,34,Krefeld,North Rhine-Westphalia,"228,426"
DENW071,6.7324,51.2492,POINT (6.7324 51.2492),Nordrhein-Westfalen,Düsseldorf,Düsseldorf,7,Düsseldorf,North Rhine-Westphalia,"629,047"
DESN060,12.9305,50.8464,POINT (12.9305 50.8464),Sachsen,Chemnitz,Chemnitz,29,Chemnitz,Saxony,"248,563"
DENW072,6.8012,51.2507,POINT (6.8012 51.2507),Nordrhein-Westfalen,Düsseldorf,Düsseldorf,7,Düsseldorf,North Rhine-Westphalia,"629,047"
DESH027,10.1352,54.3047,POINT (10.1352 54.3047),Schleswig-Holstein,Kiel,Kiel,30,Kiel,Schleswig-Holstein,"247,717"
DETH075,11.5786,50.9248,POINT (11.5786 50.9248),Thüringen,Jena,Jena,75,Jena,Thuringia,"111,191"
DENW067,8.5484,52.0232,POINT (8.5484 52.0232),Nordrhein-Westfalen,Bielefeld,Bielefeld,18,Bielefeld,North Rhine-Westphalia,"338,332"
DENW112,6.7719,51.4377,POINT (6.7719 51.4377),Nordrhein-Westfalen,Duisburg,Duisburg,15,Duisburg,North Rhine-Westphalia,"502,211"
DESN025,12.3772,51.3442,POINT (12.3772 51.3442),Sachsen,Leipzig (Kreisfreie Stadt),Leipzig,8,Leipzig,Saxony,"616,093"
DENW079,7.005,51.0289,POINT (7.005 51.0289),Nordrhein-Westfalen,Leverkusen,Leverkusen,49,Leverkusen,North Rhine-Westphalia,"165,748"
DEST057,11.6426,52.1034,POINT (11.6426 52.1034),Sachsen-Anhalt,Magdeburg,Magdeburg,32,Magdeburg,Saxony-Anhalt,"239,364"
DENW024,6.981,51.4965,POINT (6.981 51.4965),Nordrhein-Westfalen,Essen,Essen,10,Essen,North Rhine-Westphalia,"584,580"
DENW026,7.0928,51.4556,POINT (7.0928 51.4556),Nordrhein-Westfalen,Essen,Essen,10,Essen,North Rhine-Westphalia,"584,580"
DENW036,6.6482,51.4595,POINT (6.6482 51.4595),Nordrhein-Westfalen,Wesel,Moers,76,Moers,North Rhine-Westphalia,"105,287"
DENW095,7.6116,51.9365,POINT (7.6116 51.9365),Nordrhein-Westfalen,Münster,Münster,20,Münster,North Rhine-Westphalia,"320,946"
DENW034,6.7484,51.524,POINT (6.7484 51.524),Nordrhein-Westfalen,Duisburg,Duisburg,15,Duisburg,North Rhine-Westphalia,"502,211"
DESN059,12.2974,51.3179,POINT (12.2974 51.3179),Sachsen,Leipzig (Kreisfreie Stadt),Leipzig,8,Leipzig,Saxony,"616,093"
DENW028,6.966,51.4065,POINT (6.966 51.4065),Nordrhein-Westfalen,Essen,Essen,10,Essen,North Rhine-Westphalia,"584,580"
DENW046,6.8556,51.2329,POINT (6.8556 51.2329),Nordrhein-Westfalen,Düsseldorf,Düsseldorf,7,Düsseldorf,North Rhine-Westphalia,"629,047"
DENW077,7.4761,51.3609,POINT (7.4761 51.3609),Nordrhein-Westfalen,Hagen,Hagen,41,Hagen,North Rhine-Westphalia,"189,783"
DENW047,6.6939,51.1826,POINT (6.6939 51.1826),Nordrhein-Westfalen,Rhein-Kreis Neuss,Neuss,56,Neuss,North Rhine-Westphalia,"154,139"
DEBE044,13.4089,52.5168,POINT (13.4089 52.5168),Berlin,Berlin,Berlin,1,Berlin,Berlin,"3,755,251"
DEBE064,13.434,52.4817,POINT (13.434 52.4817),Berlin,Berlin,Berlin,1,Berlin,Berlin,"3,755,251"
DEBE066,13.5295,52.4853,POINT (13.5295 52.4853),Berlin,Berlin,Berlin,1,Berlin,Berlin,"3,755,251"
