KreisNr,GemeindeNr,Gemeindename,Zu vergebene Sitze,Mehrheitswahl,Wahlberechtiget,Wähler,Wahlbeteiligung,Ungültige Stimmabgaben,Gültige Stimmabgaben,Gültige Stimmen,CDU,DIE LINKE,SPD,FDP,GRÜNE,Sonstige
77,77006,Frohnsdorf,6,,274,207,75.5,11,196,581,-,-,-,-,-,6
77,77007,Gerstenberg,8,,514,308,59.9,36,272,793,-,-,-,-,-,8
77,77008,Göhren,8,,445,304,68.3,20,284,837,-,-,-,-,-,8
77,77009,Göllnitz,6,,329,224,68.1,19,205,611,-,-,-,-,-,6
77,77011,Göpfersdorf,6,,193,151,78.2,3,148,443,-,-,-,-,-,6
77,77012,"Gößnitz, Stadt",16,,3529,1994,56.5,80,1914,5684,3,-,3,-,-,10
77,77013,Großröda,6,,318,175,55,17,158,468,-,-,-,-,-,6
77,77015,Haselbach,8,,730,325,44.5,29,296,862,-,-,-,-,-,8
77,77016,Heukewalde,6,,195,157,80.5,6,151,448,2,-,-,-,-,4
77,77017,Heyersdorf,6,x,122,89,73,4,85,462,-,-,-,-,-,6
77,77018,Jonaswalde,6,,278,192,69.1,10,182,545,-,-,-,-,-,6
77,77019,Jückelberg,6,,290,184,63.4,11,173,502,-,-,-,-,-,6
77,77022,Kriebitzsch,12,,1070,672,62.8,72,600,1745,-,7,-,-,-,5
77,77023,Langenleuba-Niederhain,14,,1718,876,51,53,823,2387,8,2,-,-,-,4
77,77026,Löbichau,12,,1009,524,51.9,33,491,1449,1,-,-,-,-,11
77,77027,Lödla,8,,687,431,62.7,25,406,1197,-,-,7,-,-,1
77,77028,"Lucka, Stadt",16,,4023,1679,41.7,85,1594,4688,6,-,3,-,-,7
77,77029,Lumpzig,8,,563,333,59.1,22,311,915,-,-,1,-,-,7
77,77031,Mehna,6,x,297,195,65.7,5,190,760,-,-,-,-,-,6
77,77032,"Meuselwitz, Stadt",20,,8339,3535,42.4,126,3409,10109,8,6,2,-,-,4
77,77034,Monstab,8,,431,277,64.3,20,257,766,2,-,-,-,-,6
77,77035,Naundorf,8,,439,318,72.4,28,290,858,-,-,-,-,-,8
77,77036,Nobitz,16,,3263,1423,43.6,40,1383,4109,4,3,3,-,-,6
77,77037,Nöbdenitz,12,,899,568,63.2,34,534,1578,-,1,-,-,-,11
77,77039,Ponitz,12,,1469,721,49.1,26,695,2047,8,2,2,-,-,-
77,77041,Posterstein,8,,393,272,69.2,18,254,757,1,-,-,-,-,7
77,77042,Rositz,16,,2718,1257,46.2,51,1206,3569,6,4,3,-,-,3
77,77043,"Schmölln, Stadt",24,,10576,4744,44.9,152,4592,13591,11,6,4,1,-,2
77,77044,Starkenberg,12,,1042,618,59.3,47,571,1697,4,1,7,-,-,-
77,77046,Tegkwitz,6,x,272,178,65.4,31,147,741,-,-,-,-,-,6
77,77047,Thonhausen,8,,542,320,59,33,287,797,-,-,-,-,-,8
77,77048,Treben,8,,861,501,58.2,21,480,1440,6,-,-,-,-,2
77,77049,Vollmershain,6,,277,178,64.3,8,170,508,3,-,-,-,-,3
77,77051,Wildenbörten,6,,315,198,62.9,9,189,562,-,-,-,-,-,6
77,77052,Windischleuba,14,,1963,973,49.6,46,927,2748,8,-,-,-,2,4
77,77053,Wintersdorf,16,,2517,1273,50.6,76,1197,3493,6,-,1,-,-,9
77,77055,Ziegelheim,8,,808,439,54.3,28,411,1215,-,-,-,-,-,8
77,77056,Saara,16,,2649,1290,48.7,34,1256,3734,11,4,-,-,-,1
