City,State,Date,Linke,Gruene,SPD,FDP,CDU,AfD
Dessau-Roßlau,SA,2024,7.980977617113124,5.477709241824675,9.343604952136946,2.8744154214668645,22.03367523317335,25.46963701292434
Halle (Saale),SA,2024,12.390489629326172,11.392113129106164,11.859438299421912,3.5965830640144447,20.575659641616216,21.185306568346306
Magdeburg,SA,2024,10.202744638300807,9.441041683645642,14.99959250459216,4.119151657252478,23.81403163418197,22.76520114600247
Gardelegen,SA,2024,5.331343283582089,2.432835820895522,30.47761194029851,1.5313432835820895,22.235820895522387,30.334328358208957
Salzwedel,SA,2024,12.41326137239784,4.4184805171698,14.094656307455075,4.824743490896151,16.816914773738212,26.315165174070337
Bitterfeld-Wolfen,SA,2024,8.083649260119849,3.147038441156088,5.762096938567527,2.195181606946313,23.19310260486731,37.11426358485182
Köthen (Anhalt),SA,2024,21.672218110041943,3.269183320996792,9.055020972119419,8.762028127313101,22.622131754256106,28.303108808290155
Zerbst/Anhalt,SA,2024,4.712766626816838,3.8885043729944,23.39080098156421,1.7806581513874031,16.56704209400365,29.283332284653625
Naumburg (Saale),SA,2024,7.02438393934172,4.751852490091332,9.320610029295192,2.8885921075305876,34.59417542650353,23.42538342236774
Weißenfels,SA,2024,6.813520549025795,1.3607320343929952,6.425021692829534,1.7788120217717127,29.208408929557468,27.41776445531277
Zeitz,SA,2024,6.03793235761662,1.9678780902263882,7.531655977635257,3.467083264813901,30.789892013374992,33.04281094118292
Halberstadt,SA,2024,11.058463745681763,3.8227021312744225,7.732240952938289,2.161478489041587,28.144526456874257,29.17712797085308
Quedlinburg,SA,2024,10.115589260595682,6.510305180111309,13.460950400587121,6.531710598740139,31.38034370986484,26.973885389272827
Wernigerode,SA,2024,6.59117726209452,6.810607158382844,19.564452356801294,1.531869087295837,26.669012772476037,19.299480406566335
Burg,SA,2024,6.022499515096658,3.29734272968255,18.319648283442167,2.773647119674145,30.10603219758195,34.22771060968513
Eisleben,SA,2024,8.8532995937937,1.6448025571019511,18.485716188319902,2.274089365385896,16.784311114070718,34.39435306652461
Sangerhausen,SA,2024,9.912010695519696,1.2374467555887199,10.456114168454436,1.5172713988122999,30.329882162733572,31.418089108603052
Merseburg,SA,2024,8.83631096088846,3.02131475477685,10.839024165919385,3.980133820790508,33.85528040284197,33.657538341266005
Aschersleben,SA,2024,5.767264487246802,3.7554923038660295,7.17384696161605,3.907480586951115,18.00370298726062,28.145466604029075
Bernburg (Saale),SA,2024,16.346713205351946,3.474112856311809,8.030250145433392,10.117510180337405,26.84584060500291,28.3304246655032
Schönebeck (Elbe),SA,2024,8.424245389168828,3.81341421652561,17.71928966293234,5.914583435252679,29.50198131206888,30.191771439753435
Staßfurt,SA,2024,4.322802627463247,1.207381920550516,7.879261807944948,6.994056928370347,23.44698154519862,34.36972161401314
Stendal,SA,2024,8.348174949850959,3.1045537204026923,12.879398586453197,3.005193003505746,26.724283384263515,30.799947507545788
Wittenberg,SA,2024,7.321574441049224,3.291683054488246,16.670196351314555,1.7396302907451668,22.53048134813784,26.145886908903883
Dessau-Ro�lau,SA,2019,14.57839564577927,10.119253936878788,9.127188586096096,4.667110082718953,22.813755890095273,16.75456921505991
Halle (Saale),SA,2019,17.775088000203322,16.27813147293914,11.27450980392157,5.3702362344808305,17.41927490373985,13.987266974190844
Magdeburg,SA,2019,15.287306961214142,15.355550894994224,16.90918230451442,5.378620673584271,18.631925510914034,14.381160679509842
Gardelegen,SA,2019,14.45153018186726,5.499881904376287,25.188109457772377,3.1379694301042615,25.30957924216351,16.70546951445828
Salzwedel,SA,2019,19.88891742648003,9.313599589058688,11.788878900731989,5.695389752151021,20.431488378066007,14.739309104918455
Bitterfeld-Wolfen,SA,2019,13.416329900491029,5.494720375439969,6.096554121583453,4.184591317950724,22.517707382783644,21.520444965888846
Zerbst/Anhalt,SA,2019,8.832554571448497,6.077829695236766,24.75416695724946,7.361043308459446,17.982425552688472,15.395076365157962
K�then (Anhalt),SA,2019,22.657592399177926,4.123850274586436,17.600485158855832,7.570499646238334,19.386139281021528,16.06751794077019
