ERGART;DATUM;LEER;LEER;LEER;SART;AGS;Name;A;B;C1;C2;Gültige Stimmen;D01 - CDU;D02 - DIE LINKE;D03 - SPD;D04 - FDP;D05 - GRÜNE;D08;D09;D11;D12;D13;D14;D15;AGS 2014;NAME 2014
E;07.06.2009;;;;GEM;15090430;Ringfurth;273;120;4;116;336;139;35;75;33;8;;;;;;46;;15090546;Tangerh�tte, Stadt
E;07.06.2009;;;;GEM;15090435;Rochau;605;292;14;278;825;259;191;126;103;35;;;;;;111;;15090435;Rochau
E;07.06.2009;;;;GEM;15090440;Rossau;349;165;8;157;460;181;138;57;23;4;;;;;;57;;15090415;Osterburg (Altmark), Hansestadt
E;07.06.2009;;;;GEM;15090445;Sandau (Elbe), Stadt;872;446;9;437;1291;549;322;253;88;57;;;;;;22;;15090445;Sandau (Elbe), Stadt
E;07.06.2009;;;;GEM;15090450;Sandauerholz;142;113;3;110;327;118;45;52;4;14;;;;;;94;;15090270;Iden
E;07.06.2009;;;;GEM;15090455;Sanne;140;103;10;93;276;126;54;32;19;4;;;;;;41;;15090220;Hassel
E;07.06.2009;;;;GEM;15090460;Sch�plitz;94;58;0;58;170;96;30;26;6;5;;;;;;7;;15090070;Bismark (Altmark), Stadt
E;07.06.2009;;;;GEM;15090465;Schelldorf;98;77;2;75;221;118;15;32;28;1;;;;;;27;;15090546;Tangerh�tte, Stadt
E;07.06.2009;;;;GEM;15090470;Schernebeck;214;102;2;100;298;185;45;40;5;3;;;;;;20;;15090546;Tangerh�tte, Stadt
E;07.06.2009;;;;GEM;15090475;Schernikau;372;173;4;169;503;213;120;53;51;15;;;;;;51;;15090070;Bismark (Altmark), Stadt
E;07.06.2009;;;;GEM;15090480;Schinne;384;184;2;182;528;207;68;54;161;5;;;;;;33;;15090070;Bismark (Altmark), Stadt
E;07.06.2009;;;;GEM;15090485;Schollene;1140;582;42;540;1604;488;515;337;104;75;;;;;;85;;15090485;Schollene
E;07.06.2009;;;;GEM;15090490;Sch�nberg;473;158;5;153;450;283;93;24;11;13;;;;;;26;;15090520;Seehausen (Altmark), Hansestadt
E;07.06.2009;;;;GEM;15090495;Sch�nfeld;199;107;5;102;296;153;56;34;30;9;;;;;;14;;15090285;Kamern
E;07.06.2009;;;;GEM;15090500;Sch�nhausen (Elbe);1670;937;32;905;2673;890;482;889;264;39;;;;;;109;;15090500;Sch�nhausen (Elbe)
E;07.06.2009;;;;GEM;15090505;Sch�nwalde (Altmark);100;84;2;82;246;80;17;44;21;10;;;;;;74;;15090546;Tangerh�tte, Stadt
E;07.06.2009;;;;GEM;15090510;Schorstedt;238;122;11;111;331;104;85;76;20;18;;;;;;28;;15090070;Bismark (Altmark), Stadt
E;07.06.2009;;;;GEM;15090515;Schwarzholz;209;126;1;125;373;119;90;46;22;21;;;;;;75;;15090245;Hohenberg-Krusemark
E;07.06.2009;;;;GEM;15090520;Seehausen (Altmark), Hansestadt;3512;1098;48;1050;3102;1178;710;370;117;99;;;;;;628;;15090520;Seehausen (Altmark), Hansestadt
E;07.06.2009;;;;GEM;15090525;Staats;213;91;3;88;256;89;60;52;11;10;;;;;;34;;15090535;Stendal, Hansestadt
E;07.06.2009;;;;GEM;15090530;Steinfeld (Altmark);260;133;7;126;368;133;86;79;42;9;;;;;;19;;15090070;Bismark (Altmark), Stadt
E;07.06.2009;;;;GEM;15090535;Stendal, Stadt;29762;9691;285;9406;27838;9885;7736;5667;2404;979;445;;;;;722;;15090535;Stendal, Hansestadt
E;07.06.2009;;;;GEM;15090540;Storkau (Elbe);121;66;3;63;183;83;45;24;18;1;;;;;;12;;15090550;Tangerm�nde, Stadt
E;07.06.2009;;;;GEM;15090545;Tangerh�tte, Stadt;4813;1843;49;1794;5312;1650;1074;2064;118;90;;;;;;316;;15090546;Tangerh�tte, Stadt
E;07.06.2009;;;;GEM;15090550;Tangerm�nde, Stadt;8153;2722;66;2656;7831;3895;1595;1121;845;214;;;;;;161;;15090550;Tangerm�nde, Stadt
E;07.06.2009;;;;GEM;15090555;Uchtdorf;255;110;1;109;322;97;19;57;19;5;;;;;;125;;15090546;Tangerh�tte, Stadt
E;07.06.2009;;;;GEM;15090560;Uchtspringe;1159;325;10;315;916;414;139;241;47;27;;;;;;48;;15090535;Stendal, Hansestadt
E;07.06.2009;;;;GEM;15090565;Uenglingen;849;416;17;399;1186;349;318;282;126;56;;;;;;55;;15090535;Stendal, Hansestadt
E;07.06.2009;;;;GEM;15090570;Uetz;160;91;6;85;236;61;43;79;18;4;;;;;;31;;15090546;Tangerh�tte, Stadt
E;07.06.2009;;;;GEM;15090575;Vinzelberg;243;104;8;96;288;110;62;66;23;11;;;;;;16;;15090535;Stendal, Hansestadt
E;07.06.2009;;;;GEM;15090580;Volgfelde;157;82;3;79;231;109;43;38;20;0;;;;;;21;;15090535;Stendal, Hansestadt
E;07.06.2009;;;;GEM;15090585;Wahrenberg;305;119;2;117;344;160;41;64;24;29;;;;;;26;;15090003;Aland
E;07.06.2009;;;;GEM;15090590;Walsleben;371;243;10;233;693;170;158;72;21;0;;;;;;272;;15090415;Osterburg (Altmark), Hansestadt
E;07.06.2009;;;;GEM;15090595;Wanzer;87;54;1;53;155;80;24;22;14;3;;;;;;12;;15090003;Aland
E;07.06.2009;;;;GEM;15090600;Wei�ewarte;377;186;9;177;525;330;77;74;20;9;;;;;;15;;15090546;Tangerh�tte, Stadt
E;07.06.2009;;;;GEM;15090605;Wendemark;199;132;12;120;353;143;65;54;9;12;;;;;;70;;15090008;Altm�rkische Wische
E;07.06.2009;;;;GEM;15090610;Werben (Elbe), Hansestadt;695;303;15;288;828;301;141;135;40;50;;;;;;161;;15090610;Werben (Elbe), Hansestadt
E;07.06.2009;;;;GEM;15090615;Windberge;268;136;6;130;385;141;88;84;18;15;;;;;;39;;15090546;Tangerh�tte, Stadt
E;07.06.2009;;;;GEM;15090620;Wittenmoor;217;95;5;90;267;89;60;55;24;3;;;;;;36;;15090535;Stendal, Hansestadt
E;07.06.2009;;;;GEM;15090625;Wulkau;393;193;9;184;536;199;151;119;47;15;;;;;;5;;15090285;Kamern
E;07.06.2009;;;;GEM;15090630;Wust;712;428;14;414;1224;433;207;126;61;21;;;;;;376;;15090631;Wust-Fischbeck
