ERGART;DATUM;LEER;LEER;LEER;SART;AGS;Name;A;B;C1;C2;Gültige Stimmen;D01 - CDU;D02 - DIE LINKE;D03 - SPD;D04 - FDP;D05 - GRÜNE;D08;D09;D11;D12;D13;D14;D15;AGS 2014;NAME 2014
E;07.06.2009;;;;GEM;15081250;Kaulitz;172;114;5;109;325;86;166;18;7;46;;;;;;2;;15081030;Arendsee (Altmark), Stadt
E;07.06.2009;;;;GEM;15081255;Kerkau;194;93;2;91;263;68;64;33;80;4;;;;;;14;;15081030;Arendsee (Altmark), Stadt
E;07.06.2009;;;;GEM;15081260;Kl�den;196;109;6;103;303;115;40;80;60;6;;;;;;2;;15081030;Arendsee (Altmark), Stadt
E;07.06.2009;;;;GEM;15081265;Klein Gartz;147;86;1;85;248;161;39;20;14;10;;;;;;4;;15081455;Salzwedel, Hansestadt
E;07.06.2009;;;;GEM;15081270;Kleinau;525;250;3;247;728;218;347;50;73;27;;;;;;13;;15081030;Arendsee (Altmark), Stadt
E;07.06.2009;;;;GEM;15081275;Kloster Neuendorf;431;208;4;204;604;150;81;218;115;7;;;;;;33;;15081135;Gardelegen, Hansestadt
E;07.06.2009;;;;GEM;15081280;Kl�tze, Stadt;4526;1520;51;1469;4364;1951;815;1174;160;53;;;;;;211;;15081280;Kl�tze, Stadt
E;07.06.2009;;;;GEM;15081285;K�ckte;387;177;4;173;509;329;55;77;35;;;;;;;13;;15081135;Gardelegen, Hansestadt
E;07.06.2009;;;;GEM;15081290;Kuhfelde;455;298;11;287;848;296;85;150;262;19;;;;;;36;;15081290;Kuhfelde
E;07.06.2009;;;;GEM;15081295;Kunrau;766;323;5;318;934;305;134;142;283;10;;;;;;60;;15081280;Kl�tze, Stadt
E;07.06.2009;;;;GEM;15081300;Kusey;923;499;12;487;1442;914;186;163;141;16;;;;;;22;;15081280;Kl�tze, Stadt
E;07.06.2009;;;;GEM;15081310;Langenapel;225;82;3;79;235;100;54;42;33;3;;;;;;3;;15081455;Salzwedel, Hansestadt
E;07.06.2009;;;;GEM;15081315;Leppin;325;138;2;136;395;142;138;56;38;6;;;;;;15;;15081030;Arendsee (Altmark), Stadt
E;07.06.2009;;;;GEM;15081320;Letzlingen;1332;691;19;672;1992;828;161;528;90;;;;;;;385;;15081135;Gardelegen, Hansestadt
E;07.06.2009;;;;GEM;15081325;Liesten;260;169;10;159;465;190;109;40;60;41;;;;;;25;;15081455;Salzwedel, Hansestadt
E;07.06.2009;;;;GEM;15081330;Lindstedt;501;232;5;227;665;309;94;179;56;;;;;;;27;;15081135;Gardelegen, Hansestadt
E;07.06.2009;;;;GEM;15081335;L�delsen;241;138;5;133;392;286;23;51;8;17;;;;;;7;;15081225;J�bar
E;07.06.2009;;;;GEM;15081340;Mechau;224;97;0;97;285;72;126;55;22;5;;;;;;5;;15081030;Arendsee (Altmark), Stadt
E;07.06.2009;;;;GEM;15081345;Mehmke;234;104;0;104;310;143;62;51;26;20;;;;;;8;;15081105;Diesdorf, Flecken
E;07.06.2009;;;;GEM;15081355;Mieste;1979;715;15;700;1985;950;239;190;567;;;;;;;39;;15081135;Gardelegen, Hansestadt
E;07.06.2009;;;;GEM;15081360;Miesterhorst;610;258;9;249;729;290;151;141;100;;;;;;;47;;15081135;Gardelegen, Hansestadt
E;07.06.2009;;;;GEM;15081365;Nettgau;294;178;7;171;507;316;67;44;51;10;;;;;;19;;15081225;J�bar
E;07.06.2009;;;;GEM;15081370;Neuekrug;155;73;3;70;206;73;49;52;25;4;;;;;;3;;15081105;Diesdorf, Flecken
E;07.06.2009;;;;GEM;15081375;Neuendorf;512;233;13;220;656;244;74;218;49;6;;;;;;65;;15081280;Kl�tze, Stadt
E;07.06.2009;;;;GEM;15081385;Neuferchau;342;147;3;144;430;220;47;63;77;14;;;;;;9;;15081280;Kl�tze, Stadt
E;07.06.2009;;;;GEM;15081390;Neulingen;70;51;3;48;144;43;41;41;16;0;;;;;;3;;15081030;Arendsee (Altmark), Stadt
E;07.06.2009;;;;GEM;15081395;Osterwohle;413;187;5;182;535;202;96;111;79;16;;;;;;31;;15081455;Salzwedel, Hansestadt
E;07.06.2009;;;;GEM;15081400;Packebusch;311;143;6;137;399;106;75;71;43;15;;;;;;89;;15081240;Kalbe (Milde), Stadt
E;07.06.2009;;;;GEM;15081405;Peckfitz;142;87;4;83;245;135;43;41;24;;;;;;;2;;15081135;Gardelegen, Hansestadt
E;07.06.2009;;;;GEM;15081410;Potzehne;234;100;10;90;259;93;50;76;19;;;;;;;21;;15081135;Gardelegen, Hansestadt
E;07.06.2009;;;;GEM;15081415;Pretzier;1002;400;18;382;1128;602;228;109;115;33;;;;;;41;;15081455;Salzwedel, Hansestadt
E;07.06.2009;;;;GEM;15081420;P�ggen;45;36;1;35;102;56;20;15;8;0;;;;;;3;;15081290;Kuhfelde
E;07.06.2009;;;;GEM;15081425;Rademin;199;86;3;83;236;63;59;52;37;11;;;;;;14;;15081030;Arendsee (Altmark), Stadt
E;07.06.2009;;;;GEM;15081430;Riebau;278;129;6;123;363;146;62;44;29;37;;;;;;45;;15081455;Salzwedel, Hansestadt
E;07.06.2009;;;;GEM;15081435;Ristedt;194;86;7;79;218;111;36;42;25;1;;;;;;3;;15081280;Kl�tze, Stadt
E;07.06.2009;;;;GEM;15081440;Rohrberg;1041;414;6;408;1216;715;178;200;85;27;;;;;;11;;15081440;Rohrberg
E;07.06.2009;;;;GEM;15081445;Roxf�rde;204;98;5;93;272;117;38;80;19;;;;;;;18;;15081135;Gardelegen, Hansestadt
E;07.06.2009;;;;GEM;15081450;Sachau;125;51;1;50;145;61;17;27;28;;;;;;;12;;15081135;Gardelegen, Hansestadt
E;07.06.2009;;;;GEM;15081455;Salzwedel, Hansestadt;17758;5671;268;5403;15894;4009;4633;3287;1571;456;;;;;;1938;;15081455;Salzwedel, Hansestadt
E;07.06.2009;;;;GEM;15081460;Sanne-Kerkuhn;249;118;5;113;339;82;116;37;49;3;;;;;;52;;15081030;Arendsee (Altmark), Stadt
E;07.06.2009;;;;GEM;15081465;Schenkenhorst;149;94;5;89;267;117;27;107;15;;;;;;;1;;15081135;Gardelegen, Hansestadt
E;07.06.2009;;;;GEM;15081470;Schrampe;267;88;1;87;258;73;75;48;46;8;;;;;;8;;15081030;Arendsee (Altmark), Stadt
E;07.06.2009;;;;GEM;15081475;Schwiesau;314;113;3;110;328;163;39;74;32;9;;;;;;11;;15081280;Kl�tze, Stadt
E;07.06.2009;;;;GEM;15081480;Seebenau;521;191;7;184;539;162;82;137;92;16;;;;;;50;;15081455;Salzwedel, Hansestadt
E;07.06.2009;;;;GEM;15081485;Seethen;134;82;4;78;230;105;36;74;6;;;;;;;9;;15081135;Gardelegen, Hansestadt
E;07.06.2009;;;;GEM;15081490;Sichau;229;97;2;95;283;141;43;58;34;;;;;;;7;;15081135;Gardelegen, Hansestadt
E;07.06.2009;;;;GEM;15081495;Siedenlangenbeck;393;293;13;280;817;475;39;139;113;23;;;;;;28;;15081290;Kuhfelde
E;07.06.2009;;;;GEM;15081500;Solpke;517;269;12;257;747;387;106;173;59;;;;;;;22;;15081135;Gardelegen, Hansestadt
E;07.06.2009;;;;GEM;15081505;Steimke;334;196;6;190;551;147;74;82;212;2;;;;;;34;;15081280;Kl�tze, Stadt
E;07.06.2009;;;;GEM;15081510;Steinitz;395;219;6;213;634;226;125;133;116;15;;;;;;19;;15081455;Salzwedel, Hansestadt
E;07.06.2009;;;;GEM;15081520;Thielbeer;143;91;5;86;247;65;51;35;87;0;;;;;;9;;15081030;Arendsee (Altmark), Stadt
E;07.06.2009;;;;GEM;15081525;Tylsen;114;81;3;78;234;58;70;43;20;18;;;;;;25;;15081455;Salzwedel, Hansestadt
E;07.06.2009;;;;GEM;15081530;Valfitz;130;93;1;92;270;110;20;53;44;28;;;;;;15;;15081290;Kuhfelde
E;07.06.2009;;;;GEM;15081535;Vienau;335;150;11;139;409;171;75;57;21;3;;;;;;82;;15081240;Kalbe (Milde), Stadt
E;07.06.2009;;;;GEM;15081540;Vissum;198;134;5;129;375;221;81;24;22;10;;;;;;17;;15081030;Arendsee (Altmark), Stadt
E;07.06.2009;;;;GEM;15081545;Wallstawe;382;208;9;199;566;266;88;121;53;20;;;;;;18;;15081545;Wallstawe
E;07.06.2009;;;;GEM;15081550;Wannefeld;250;163;4;159;470;162;56;81;138;;;;;;;33;;15081135;Gardelegen, Hansestadt
E;07.06.2009;;;;GEM;15081555;Wenze;495;281;5;276;821;352;187;85;168;8;;;;;;21;;15081280;Kl�tze, Stadt
E;07.06.2009;;;;GEM;15081565;Wieblitz-Eversdorf;224;106;4;102;303;111;31;40;80;15;;;;;;26;;15081455;Salzwedel, Hansestadt
E;07.06.2009;;;;GEM;15081570;Wiepke;182;126;4;122;366;151;49;123;24;;;;;;;19;;15081135;Gardelegen, Hansestadt
E;07.06.2009;;;;GEM;15081580;Winterfeld;489;291;13;278;821;531;64;107;85;19;;;;;;15;;15081026;Apenburg-Winterfeld, Flecken
