Ausgabe;Kreis;Kreisname;Amt;Amtsname;Gemeinde;Gemeindename;Wahlbezirke insg.;erf. Wahlbezirke;Wahlberechtigte;Waehler;Wahlbeteiligung;ungueltige Stimmen;gueltige Stimmen;CDU;SPD;PDS;FDP;GRÜNE;NPD;PBC;Agrarb�ndnis;AfR;AMB;AU;AJL;Bv-L�ndlicher Raum;Bv;B�ndnis 90;BBLR;BFR;BfB;BfS;BB UER;BG;BMV;BUMV;GRAUE;Die Sozialen;ok;FORUM;Freie W�hlergemeinschaft;F-UER;HGR;MUG;RB;SAV;UWG Bansin;UWG Tramm;WG Bauernverband;Bauern;WGGM;WGK;WGLR;WG Prohn;"WG ""Rettet Prerow""";UR;WG Wittenhagen;Einzelbewerber
A;54;Ludwigslust;5414;Hagenow-Land;13054090;Pritzier;1;1;438;233;53,2;33;635;246;209;79;35;12;23;1;x;x;x;x;x;x;x;x;30;x;0;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
P;54;Ludwigslust;5414;Hagenow-Land;13054090;Pritzier;1;1;438;233;53,2;4,9;95,1;38,7;32,9;12,4;5,5;1,9;3,6;0,2;x;x;x;x;x;x;x;x;4,7;x;0;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
A;54;Ludwigslust;5414;Hagenow-Land;13054092;Redefin;1;1;469;322;68,7;50;916;359;292;145;18;21;16;0;x;x;x;x;x;x;x;x;63;x;2;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
P;54;Ludwigslust;5414;Hagenow-Land;13054092;Redefin;1;1;469;322;68,7;5,2;94,8;39,2;31,9;15,8;2;2,3;1,7;0;x;x;x;x;x;x;x;x;6,9;x;0,2;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
A;54;Ludwigslust;5414;Hagenow-Land;13054097;Setzin;1;1;440;342;77,7;48;958;445;241;109;36;19;37;0;x;x;x;x;x;x;x;x;66;x;5;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
P;54;Ludwigslust;5414;Hagenow-Land;13054097;Setzin;1;1;440;342;77,7;4,8;95,2;46,5;25,2;11,4;3,8;2;3,9;0;x;x;x;x;x;x;x;x;6,9;x;0,5;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
A;54;Ludwigslust;5414;Hagenow-Land;13054100;Strohkirchen;1;1;282;196;69,5;36;547;183;236;70;12;6;9;0;x;x;x;x;x;x;x;x;31;x;0;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
P;54;Ludwigslust;5414;Hagenow-Land;13054100;Strohkirchen;1;1;282;196;69,5;6,2;93,8;33,5;43,1;12,8;2,2;1,1;1,6;0;x;x;x;x;x;x;x;x;5,7;x;0;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
A;54;Ludwigslust;5414;Hagenow-Land;13054106;Toddin;2;2;469;294;62,7;11;834;379;209;119;48;6;32;4;x;x;x;x;x;x;x;x;37;x;0;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
P;54;Ludwigslust;5414;Hagenow-Land;13054106;Toddin;2;2;469;294;62,7;1,3;98,7;45,4;25,1;14,3;5,8;0,7;3,8;0,5;x;x;x;x;x;x;x;x;4,4;x;0;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
A;54;Ludwigslust;5414;Hagenow-Land;13054111;Warlitz;1;1;383;192;50,1;12;556;197;232;76;7;5;8;1;x;x;x;x;x;x;x;x;30;x;0;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
P;54;Ludwigslust;5414;Hagenow-Land;13054111;Warlitz;1;1;383;192;50,1;2,1;97,9;35,4;41,7;13,7;1,3;0,9;1,4;0,2;x;x;x;x;x;x;x;x;5,4;x;0;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
A;54;Ludwigslust;5416;Ludwigslust-Land;13054001;Alt Krenzlin;4;4;717;483;67,4;84;1344;488;452;151;44;70;14;5;x;x;x;x;x;x;x;x;117;x;3;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
P;54;Ludwigslust;5416;Ludwigslust-Land;13054001;Alt Krenzlin;4;4;717;483;67,4;5,9;94,1;36,3;33,6;11,2;3,3;5,2;1;0,4;x;x;x;x;x;x;x;x;8,7;x;0,2;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
A;54;Ludwigslust;5416;Ludwigslust-Land;13054017;Bresegard bei Eldena;1;1;205;146;71,2;25;413;217;67;25;20;24;3;0;x;x;x;x;x;x;x;x;57;x;0;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
P;54;Ludwigslust;5416;Ludwigslust-Land;13054017;Bresegard bei Eldena;1;1;205;146;71,2;5,7;94,3;52,5;16,2;6,1;4,8;5,8;0,7;0;x;x;x;x;x;x;x;x;13,8;x;0;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
A;54;Ludwigslust;5416;Ludwigslust-Land;13054029;Fahrbinde;1;1;296;182;61,5;27;505;232;87;84;23;11;15;1;x;x;x;x;x;x;x;x;49;x;3;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
P;54;Ludwigslust;5416;Ludwigslust-Land;13054029;Fahrbinde;1;1;296;182;61,5;5,1;94,9;45,9;17,2;16,6;4,6;2,2;3;0,2;x;x;x;x;x;x;x;x;9,7;x;0,6;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
A;54;Ludwigslust;5416;Ludwigslust-Land;13054033;Glaisin;1;1;315;215;68,3;33;606;184;98;83;68;31;21;1;x;x;x;x;x;x;x;x;120;x;0;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
P;54;Ludwigslust;5416;Ludwigslust-Land;13054033;Glaisin;1;1;315;215;68,3;5,2;94,8;30,4;16,2;13,7;11,2;5,1;3,5;0,2;x;x;x;x;x;x;x;x;19,8;x;0;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
A;54;Ludwigslust;5416;Ludwigslust-Land;13054034;G�hlen;1;1;387;226;58,4;0;672;294;152;105;16;15;18;11;x;x;x;x;x;x;x;x;57;x;4;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
P;54;Ludwigslust;5416;Ludwigslust-Land;13054034;G�hlen;1;1;387;226;58,4;0;100;43,8;22,6;15,6;2,4;2,2;2,7;1,6;x;x;x;x;x;x;x;x;8,5;x;0,6;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
A;54;Ludwigslust;5416;Ludwigslust-Land;13054042;Gro� Laasch;1;1;930;671;72,2;117;1859;806;430;281;68;112;112;1;x;x;x;x;x;x;x;x;49;x;0;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
P;54;Ludwigslust;5416;Ludwigslust-Land;13054042;Gro� Laasch;1;1;930;671;72,2;5,9;94,1;43,4;23,1;15,1;3,7;6;6;0,1;x;x;x;x;x;x;x;x;2,6;x;0;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
A;54;Ludwigslust;5416;Ludwigslust-Land;13054061;Kummer;1;1;469;269;57,4;24;779;296;145;94;24;77;24;0;x;x;x;x;x;x;x;x;118;x;1;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
P;54;Ludwigslust;5416;Ludwigslust-Land;13054061;Kummer;1;1;469;269;57,4;3;97;38;18,6;12,1;3,1;9,9;3,1;0;x;x;x;x;x;x;x;x;15,1;x;0,1;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
A;54;Ludwigslust;5416;Ludwigslust-Land;13054064;Leussow;1;1;283;212;74,9;39;596;238;184;78;13;16;33;1;x;x;x;x;x;x;x;x;32;x;1;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
P;54;Ludwigslust;5416;Ludwigslust-Land;13054064;Leussow;1;1;283;212;74,9;6,1;93,9;39,9;30,9;13,1;2,2;2,7;5,5;0,2;x;x;x;x;x;x;x;x;5,4;x;0,2;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
A;54;Ludwigslust;5416;Ludwigslust-Land;13054066;L�blow;2;2;579;350;60,4;44;968;277;194;168;38;71;34;0;x;x;x;x;x;x;x;x;183;x;3;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
P;54;Ludwigslust;5416;Ludwigslust-Land;13054066;L�blow;2;2;579;350;60,4;4,3;95,7;28,6;20;17,4;3,9;7,3;3,5;0;x;x;x;x;x;x;x;x;18,9;x;0,3;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
A;54;Ludwigslust;5416;Ludwigslust-Land;13054112;Warlow;1;1;419;289;69;87;765;327;169;89;18;45;20;6;x;x;x;x;x;x;x;x;90;x;1;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
P;54;Ludwigslust;5416;Ludwigslust-Land;13054112;Warlow;1;1;419;289;69;10,2;89,8;42,7;22,1;11,6;2,4;5,9;2,6;0,8;x;x;x;x;x;x;x;x;11,8;x;0,1;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
A;54;Ludwigslust;5416;Ludwigslust-Land;13054119;W�bbelin;1;1;824;485;58,9;39;1340;466;262;273;52;46;94;1;x;x;x;x;x;x;x;x;141;x;5;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
P;54;Ludwigslust;5416;Ludwigslust-Land;13054119;W�bbelin;1;1;824;485;58,9;2,8;97,2;34,8;19,6;20,4;3,9;3,4;7;0,1;x;x;x;x;x;x;x;x;10,5;x;0,4;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
A;54;Ludwigslust;5418;Neustadt-Glewe;13054010;Blievenstorf;1;1;443;309;69,8;63;846;277;160;299;12;25;32;3;x;x;x;x;x;x;x;x;24;x;0;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;14
P;54;Ludwigslust;5418;Neustadt-Glewe;13054010;Blievenstorf;1;1;443;309;69,8;6,9;93,1;32,7;18,9;35,3;1,4;3;3,8;0,4;x;x;x;x;x;x;x;x;2,8;x;0;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;1,7
A;54;Ludwigslust;5418;Neustadt-Glewe;13054015;Brenz;1;1;483;335;69,4;120;860;376;171;146;11;16;40;3;x;x;x;x;x;x;x;x;93;x;0;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;4
P;54;Ludwigslust;5418;Neustadt-Glewe;13054015;Brenz;1;1;483;335;69,4;12,2;87,8;43,7;19,9;17;1,3;1,9;4,7;0,3;x;x;x;x;x;x;x;x;10,8;x;0;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;0,5
A;54;Ludwigslust;5418;Neustadt-Glewe;13054081;Neustadt-Glewe, Stadt;7;7;6013;2483;41,3;159;7091;3157;1568;1371;193;215;312;4;x;x;x;x;x;x;x;x;214;x;10;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;47
P;54;Ludwigslust;5418;Neustadt-Glewe;13054081;Neustadt-Glewe, Stadt;7;7;6013;2483;41,3;2,2;97,8;44,5;22,1;19,3;2,7;3;4,4;0,1;x;x;x;x;x;x;x;x;3;x;0,1;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;0,7
A;54;Ludwigslust;5419;Rastow;13054065;L�besse;1;1;657;377;57,4;54;1073;509;258;113;94;17;45;1;x;x;x;x;x;x;x;x;31;x;5;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
P;54;Ludwigslust;5419;Rastow;13054065;L�besse;1;1;657;377;57,4;4,8;95,2;47,4;24;10,5;8,8;1,6;4,2;0,1;x;x;x;x;x;x;x;x;2,9;x;0,5;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
A;54;Ludwigslust;5419;Rastow;13054091;Rastow;2;2;1419;760;53,6;69;2169;580;1140;124;170;54;36;3;x;x;x;x;x;x;x;x;62;x;0;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
P;54;Ludwigslust;5419;Rastow;13054091;Rastow;2;2;1419;760;53,6;3,1;96,9;26,7;52,6;5,7;7,8;2,5;1,7;0,1;x;x;x;x;x;x;x;x;2,9;x;0;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
A;54;Ludwigslust;5419;Rastow;13054101;S�lstorf;3;3;833;545;65,4;65;1562;582;403;236;146;66;58;4;x;x;x;x;x;x;x;x;67;x;0;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
P;54;Ludwigslust;5419;Rastow;13054101;S�lstorf;3;3;833;545;65,4;4;96;37,3;25,8;15,1;9,3;4,2;3,7;0,3;x;x;x;x;x;x;x;x;4,3;x;0;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
A;54;Ludwigslust;5419;Rastow;13054107;Uelitz;1;1;408;269;65,9;20;702;291;198;73;39;11;39;5;x;x;x;x;x;x;x;x;46;x;0;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
P;54;Ludwigslust;5419;Rastow;13054107;Uelitz;1;1;408;269;65,9;2,8;97,2;41,5;28,2;10,4;5,6;1,6;5,6;0,7;x;x;x;x;x;x;x;x;6,6;x;0;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
A;54;Ludwigslust;5420;Stralendorf;13054027;D�mmer;3;3;1239;702;56,7;123;1969;858;391;310;104;75;30;0;x;x;x;x;x;x;x;x;194;x;7;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
P;54;Ludwigslust;5420;Stralendorf;13054027;D�mmer;3;3;1239;702;56,7;5,9;94,1;43,6;19,9;15,7;5,3;3,8;1,5;0;x;x;x;x;x;x;x;x;9,9;x;0,4;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
A;54;Ludwigslust;5420;Stralendorf;13054045;Holthusen;1;1;770;448;58,2;63;1252;521;368;196;54;36;16;3;x;x;x;x;x;x;x;x;58;x;0;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
P;54;Ludwigslust;5420;Stralendorf;13054045;Holthusen;1;1;770;448;58,2;4,8;95,2;41,6;29,4;15,7;4,3;2,9;1,3;0,2;x;x;x;x;x;x;x;x;4,6;x;0;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
A;54;Ludwigslust;5420;Stralendorf;13054054;Klein Rogahn;1;1;1122;601;53,6;73;1730;720;512;129;70;66;33;11;x;x;x;x;x;x;x;x;183;x;6;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
P;54;Ludwigslust;5420;Stralendorf;13054054;Klein Rogahn;1;1;1122;601;53,6;4;96;41,6;29,6;7,5;4;3,8;1,9;0,6;x;x;x;x;x;x;x;x;10,6;x;0,3;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
A;54;Ludwigslust;5420;Stralendorf;13054084;Pampow;2;2;2572;1303;50,7;108;3697;1975;811;386;103;82;97;16;x;x;x;x;x;x;x;x;219;x;8;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
P;54;Ludwigslust;5420;Stralendorf;13054084;Pampow;2;2;2572;1303;50,7;2,8;97,2;53,4;21,9;10,4;2,8;2,2;2,6;0,4;x;x;x;x;x;x;x;x;5,9;x;0,2;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
A;54;Ludwigslust;5420;Stralendorf;13054095;Schossin;1;1;217;135;62,2;21;378;156;119;12;21;15;1;0;x;x;x;x;x;x;x;x;54;x;0;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
P;54;Ludwigslust;5420;Stralendorf;13054095;Schossin;1;1;217;135;62,2;5,3;94,7;41,3;31,5;3,2;5,6;4;0,3;0;x;x;x;x;x;x;x;x;14,3;x;0;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
A;54;Ludwigslust;5420;Stralendorf;13054099;Stralendorf;1;1;1272;667;52,4;102;1872;621;449;295;37;56;36;12;x;x;x;x;x;x;x;x;355;x;11;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
P;54;Ludwigslust;5420;Stralendorf;13054099;Stralendorf;1;1;1272;667;52,4;5,2;94,8;33,2;24;15,8;2;3;1,9;0,6;x;x;x;x;x;x;x;x;19;x;0,6;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
A;54;Ludwigslust;5420;Stralendorf;13054113;Warsow;2;2;606;331;54,6;27;957;309;351;64;45;33;51;2;x;x;x;x;x;x;x;x;102;x;0;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
P;54;Ludwigslust;5420;Stralendorf;13054113;Warsow;2;2;606;331;54,6;2,7;97,3;32,3;36,7;6,7;4,7;3,4;5,3;0,2;x;x;x;x;x;x;x;x;10,7;x;0;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
A;54;Ludwigslust;5420;Stralendorf;13054118;Wittenf�rden;2;2;2517;1430;56,8;126;4037;1334;1519;476;196;170;52;9;x;x;x;x;x;x;x;x;280;x;1;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
P;54;Ludwigslust;5420;Stralendorf;13054118;Wittenf�rden;2;2;2517;1430;56,8;3;97;33;37,6;11,8;4,9;4,2;1,3;0,2;x;x;x;x;x;x;x;x;6,9;x;0;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
A;54;Ludwigslust;5420;Stralendorf;13054123;Z�low;1;1;159;102;64,2;15;285;62;46;34;11;14;9;0;x;x;x;x;x;x;x;x;108;x;1;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
P;54;Ludwigslust;5420;Stralendorf;13054123;Z�low;1;1;159;102;64,2;5;95;21,8;16,1;11,9;3,9;4,9;3,2;0;x;x;x;x;x;x;x;x;37,9;x;0,4;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
A;54;Ludwigslust;5421;Vellahn;13054014;Brahlstorf;1;1;682;334;49;69;895;415;227;106;23;23;37;10;x;x;x;x;x;x;x;x;39;x;15;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
P;54;Ludwigslust;5421;Vellahn;13054014;Brahlstorf;1;1;682;334;49;7,2;92,8;46,4;25,4;11,8;2,6;2,6;4,1;1,1;x;x;x;x;x;x;x;x;4,4;x;1,7;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
A;54;Ludwigslust;5421;Vellahn;13054022;Dersenow;1;1;412;227;55,1;24;642;217;176;103;12;15;20;1;x;x;x;x;x;x;x;x;69;x;29;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
P;54;Ludwigslust;5421;Vellahn;13054022;Dersenow;1;1;412;227;55,1;3,6;96,4;33,8;27,4;16;1,9;2,3;3,1;0,2;x;x;x;x;x;x;x;x;10,7;x;4,5;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
A;54;Ludwigslust;5421;Vellahn;13054109;Vellahn;7;7;2452;1373;56;177;3853;1714;997;482;145;76;140;6;x;x;x;x;x;x;x;x;275;x;18;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
P;54;Ludwigslust;5421;Vellahn;13054109;Vellahn;7;7;2452;1373;56;4,4;95,6;44,5;25,9;12,5;3,8;2;3,6;0,2;x;x;x;x;x;x;x;x;7,1;x;0,5;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
A;54;Ludwigslust;5423;Zarrentin;13054030;Gallin;1;1;459;290;63,2;39;816;559;132;47;19;15;30;0;x;x;x;x;x;x;x;x;12;x;2;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
P;54;Ludwigslust;5423;Zarrentin;13054030;Gallin;1;1;459;290;63,2;4,6;95,4;68,5;16,2;5,8;2,3;1,8;3,7;0;x;x;x;x;x;x;x;x;1,5;x;0,2;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
A;54;Ludwigslust;5423;Zarrentin;13054056;Kogel;1;1;548;269;49,1;0;762;343;204;74;47;37;15;3;x;x;x;x;x;x;x;x;25;x;14;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
P;54;Ludwigslust;5423;Zarrentin;13054056;Kogel;1;1;548;269;49,1;0;100;45;26,8;9,7;6,2;4,9;2;0,4;x;x;x;x;x;x;x;x;3,3;x;1,8;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
A;54;Ludwigslust;5423;Zarrentin;13054121;Zarrentin am Schaalsee;5;5;3882;1982;51,1;95;5581;2192;2225;422;178;206;101;28;x;x;x;x;x;x;x;x;113;x;116;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
P;54;Ludwigslust;5423;Zarrentin;13054121;Zarrentin am Schaalsee;5;5;3882;1982;51,1;1,7;98,3;39,3;39,9;7,6;3,2;3,7;1,8;0,5;x;x;x;x;x;x;x;x;2;x;2,1;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
A;54;Ludwigslust;5423;Zarrentin;13054126;L�ttow-Valluhn;2;2;629;394;62,6;18;1128;481;463;72;18;32;18;0;x;x;x;x;x;x;x;x;36;x;8;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
P;54;Ludwigslust;5423;Zarrentin;13054126;L�ttow-Valluhn;2;2;629;394;62,6;1,6;98,4;42,6;41;6,4;1,6;2,8;1,6;0;x;x;x;x;x;x;x;x;3,2;x;0,7;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
A;54;Ludwigslust;5424;Wittenburg;13054057;K�rchow;3;3;726;447;61,6;26;1197;603;209;150;65;46;49;6;x;x;x;x;x;x;x;x;64;x;5;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
P;54;Ludwigslust;5424;Wittenburg;13054057;K�rchow;3;3;726;447;61,6;2,1;97,9;50,4;17,5;12,5;5,4;3,8;4,1;0,5;x;x;x;x;x;x;x;x;5,3;x;0,4;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
A;54;Ludwigslust;5424;Wittenburg;13054063;Lehsen;1;1;267;161;60,3;9;469;331;76;19;23;2;5;3;x;x;x;x;x;x;x;x;9;x;1;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
P;54;Ludwigslust;5424;Wittenburg;13054063;Lehsen;1;1;267;161;60,3;1,9;98,1;70,6;16,2;4,1;4,9;0,4;1,1;0,6;x;x;x;x;x;x;x;x;1,9;x;0,2;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
A;54;Ludwigslust;5424;Wittenburg;13054117;Wittenburg, Stadt;7;7;4331;1823;42,1;180;4894;1985;1324;620;469;95;192;29;x;x;x;x;x;x;x;x;166;x;14;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
P;54;Ludwigslust;5424;Wittenburg;13054117;Wittenburg, Stadt;7;7;4331;1823;42,1;3,5;96,5;40,6;27,1;12,7;9,6;1,9;3,9;0,6;x;x;x;x;x;x;x;x;3,4;x;0,3;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
A;54;Ludwigslust;5424;Wittenburg;13054124;Wittend�rp;7;7;2535;1281;50,5;84;3686;1538;954;287;278;117;106;7;x;x;x;x;x;x;x;x;387;x;12;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
P;54;Ludwigslust;5424;Wittenburg;13054124;Wittend�rp;7;7;2535;1281;50,5;2,2;97,8;41,7;25,9;7,8;7,5;3,2;2,9;0,2;x;x;x;x;x;x;x;x;10,5;x;0,3;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
A;54;Ludwigslust;5425;D�mitz-Malli�;13054024;D�mitz, Stadt;7;7;2896;1520;52,5;186;4171;2172;617;823;162;106;104;16;x;x;x;x;x;x;x;x;168;x;3;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
P;54;Ludwigslust;5425;D�mitz-Malli�;13054024;D�mitz, Stadt;7;7;2896;1520;52,5;4,3;95,7;52,1;14,8;19,7;3,9;2,5;2,5;0,4;x;x;x;x;x;x;x;x;4;x;0,1;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
