Ausgabe;Kreis;Kreisname;Amt;Amtsname;Gemeinde;Gemeindename;Wahlbezirke insg.;erf. Wahlbezirke;Wahlberechtigte;Waehler;Wahlbeteiligung;ungueltige Stimmen;gueltige Stimmen;CDU;SPD;PDS;FDP;GRÜNE;NPD;PBC;Agrarb�ndnis;AfR;AMB;AU;AJL;Bv-L�ndlicher Raum;Bv;B�ndnis 90;BBLR;BFR;BfB;BfS;BB UER;BG;BMV;BUMV;GRAUE;Die Sozialen;ok;FORUM;Freie W�hlergemeinschaft;F-UER;HGR;MUG;RB;SAV;UWG Bansin;UWG Tramm;WG Bauernverband;Bauern;WGGM;WGK;WGLR;WG Prohn;"WG ""Rettet Prerow""";UR;WG Wittenhagen;Einzelbewerber
P;51;Bad Doberan;5103;K�hlungsborn, Stadt;13051042;K�hlungsborn, Stadt;7;7;6345;2836;44,7;2,4;97,6;44,2;29,6;10,8;3,8;2,8;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;0,7;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;8,1
A;51;Bad Doberan;5104;Neubukow, Stadt;13051047;Neubukow, Stadt;4;4;3669;1550;42,2;194;4275;2329;721;592;100;168;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;39;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;326
P;51;Bad Doberan;5104;Neubukow, Stadt;13051047;Neubukow, Stadt;4;4;3669;1550;42,2;4,3;95,7;54,5;16,9;13,8;2,3;3,9;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;0,9;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;7,6
A;51;Bad Doberan;5105;Tessin, Stadt;13051077;Tessin, Stadt;5;5;3606;1733;48,1;166;4851;3512;659;443;180;24;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;19;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;14
P;51;Bad Doberan;5105;Tessin, Stadt;13051077;Tessin, Stadt;5;5;3606;1733;48,1;3,3;96,7;72,4;13,6;9,1;3,7;0,5;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;0,4;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;0,3
A;51;Bad Doberan;5106;Sanitz;13051068;Sanitz;7;7;4969;2384;48;171;6870;1145;795;1104;3456;127;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;203;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;40
P;51;Bad Doberan;5106;Sanitz;13051068;Sanitz;7;7;4969;2384;48;2,4;97,6;16,7;11,6;16,1;50,3;1,8;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;3;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;0,6
A;51;Bad Doberan;5107;Satow;13051086;Satow;9;9;5050;2246;44,5;123;6511;2476;871;1464;1337;147;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;98;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;118
P;51;Bad Doberan;5107;Satow;13051086;Satow;9;9;5050;2246;44,5;1,9;98,1;38;13,4;22,5;20,5;2,3;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;1,5;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;1,8
A;51;Bad Doberan;5108;Kr�pelin, Stadt;13051041;Kr�pelin, Stadt;7;7;4395;1917;43,6;234;5415;2283;1005;939;307;121;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;52;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;708
P;51;Bad Doberan;5108;Kr�pelin, Stadt;13051041;Kr�pelin, Stadt;7;7;4395;1917;43,6;4,1;95,9;42,2;18,6;17,3;5,7;2,2;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;1;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;13,1
A;51;Bad Doberan;5111;Bad Doberan-Land;13051001;Admannshagen-Bargeshagen;2;2;2453;1320;53,8;128;3572;1724;566;555;442;156;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;90;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;39
P;51;Bad Doberan;5111;Bad Doberan-Land;13051001;Admannshagen-Bargeshagen;2;2;2453;1320;53,8;3,5;96,5;48,3;15,8;15,5;12,4;4,4;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;2,5;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;1,1
A;51;Bad Doberan;5111;Bad Doberan-Land;13051006;Bartenshagen-Parkentin;1;1;1028;633;61,6;42;1743;556;528;245;178;123;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;56;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;57
P;51;Bad Doberan;5111;Bad Doberan-Land;13051006;Bartenshagen-Parkentin;1;1;1028;633;61,6;2,4;97,6;31,9;30,3;14,1;10,2;7,1;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;3,2;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;3,3
A;51;Bad Doberan;5111;Bad Doberan-Land;13051013;B�rgerende-Rethwisch;2;2;1418;861;60,7;20;2522;581;574;244;970;66;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;47;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;40
P;51;Bad Doberan;5111;Bad Doberan-Land;13051013;B�rgerende-Rethwisch;2;2;1418;861;60,7;0,8;99,2;23;22,8;9,7;38,5;2,6;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;1,9;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;1,6
A;51;Bad Doberan;5111;Bad Doberan-Land;13051028;Hohenfelde;1;1;674;416;61,7;12;1193;480;292;202;135;45;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;17;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;22
P;51;Bad Doberan;5111;Bad Doberan-Land;13051028;Hohenfelde;1;1;674;416;61,7;1;99;40,2;24,5;16,9;11,3;3,8;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;1,4;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;1,8
A;51;Bad Doberan;5111;Bad Doberan-Land;13051049;Nienhagen;2;2;1573;925;58,8;37;2669;1008;967;355;201;93;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;26;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;19
P;51;Bad Doberan;5111;Bad Doberan-Land;13051049;Nienhagen;2;2;1573;925;58,8;1,4;98,6;37,8;36,2;13,3;7,5;3,5;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;1;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;0,7
A;51;Bad Doberan;5111;Bad Doberan-Land;13051059;Reddelich;1;1;692;413;59,7;48;1159;461;225;163;151;78;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;9;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;72
P;51;Bad Doberan;5111;Bad Doberan-Land;13051059;Reddelich;1;1;692;413;59,7;4;96;39,8;19,4;14,1;13;6,7;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;0,8;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;6,2
A;51;Bad Doberan;5111;Bad Doberan-Land;13051063;Retschow;1;1;775;417;53,8;48;1186;304;247;286;211;88;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;19;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;31
P;51;Bad Doberan;5111;Bad Doberan-Land;13051063;Retschow;1;1;775;417;53,8;3,9;96,1;25,6;20,8;24,1;17,8;7,4;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;1,6;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;2,6
A;51;Bad Doberan;5111;Bad Doberan-Land;13051074;Steffenshagen;1;1;429;231;53,8;39;646;169;179;109;114;51;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;2;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;22
P;51;Bad Doberan;5111;Bad Doberan-Land;13051074;Steffenshagen;1;1;429;231;53,8;5,7;94,3;26,2;27,7;16,9;17,6;7,9;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;0,3;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;3,4
A;51;Bad Doberan;5111;Bad Doberan-Land;13051083;Wittenbeck;1;1;639;351;54,9;25;954;357;120;118;285;47;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;11;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;16
P;51;Bad Doberan;5111;Bad Doberan-Land;13051083;Wittenbeck;1;1;639;351;54,9;2,6;97,4;37,4;12,6;12,4;29,9;4,9;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;1,2;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;1,7
A;51;Bad Doberan;5112;Carb�k;13051015;Broderstorf;2;2;2508;1055;42,1;36;3048;1019;945;527;319;133;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;74;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;31
P;51;Bad Doberan;5112;Carb�k;13051015;Broderstorf;2;2;2508;1055;42,1;1,2;98,8;33,4;31;17,3;10,5;4,4;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;2,4;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;1
