Ausgabe;Kreis;Kreisname;Amt;Amtsname;Gemeinde;Gemeindename;Wahlbezirke insg.;erf. Wahlbezirke;Wahlberechtigte;Waehler;Wahlbeteiligung;ungueltige Stimmen;gueltige Stimmen;CDU;DIE LINKE;SPD;FDP;GRÜNE;NPD;ABLR;APD;AUF;Bauernverband;B�NDNIS F�R R�GEN;BfL;BfS;BG;Freie  W�hler;Freie W�hler;Freie W�hler MSP;Freie W�hler NWM;Freie W�hler SWM;FWG Jarmen;KfV;LUL;Die PARTEI;PIRATEN;RENTNER;UWG;WG BV-LR;WGLR;Adomeit;Einzelbewerber;
P;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071064;Hohenbollentin;1;1;106;73;68,9;0,0;100,0;33,8;8,7;16,4;9,7;7,7;1,9;x;x;x;x;x;x;x;x;x;x;1,0;x;x;x;x;x;x;x;x;x;x;20,3;x;0,5;
A;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071065;Hohenmocker;2;2;474;230;48,5;12;654;384;87;85;19;36;20;x;x;x;x;x;x;x;x;x;x;1;x;x;x;x;x;x;x;x;x;x;17;x;5;
P;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071065;Hohenmocker;2;2;474;230;48,5;1,8;98,2;58,7;13,3;13,0;2,9;5,5;3,1;x;x;x;x;x;x;x;x;x;x;0,2;x;x;x;x;x;x;x;x;x;x;2,6;x;0,8;
A;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071072;Kentzlin;1;1;182;88;48,4;29;235;67;67;52;4;22;17;x;x;x;x;x;x;x;x;x;x;0;x;x;x;x;x;x;x;x;x;x;6;x;0;
P;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071072;Kentzlin;1;1;182;88;48,4;11,0;89,0;28,5;28,5;22,1;1,7;9,4;7,2;x;x;x;x;x;x;x;x;x;x;0,0;x;x;x;x;x;x;x;x;x;x;2,6;x;0,0;
A;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071076;Kletzin;2;2;666;343;51,5;17;986;279;406;141;25;68;29;x;x;x;x;x;x;x;x;x;x;23;x;x;x;x;x;x;x;x;x;x;13;x;2;
P;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071076;Kletzin;2;2;666;343;51,5;1,7;98,3;28,3;41,2;14,3;2,5;6,9;2,9;x;x;x;x;x;x;x;x;x;x;2,3;x;x;x;x;x;x;x;x;x;x;1,3;x;0,2;
A;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071089;Lindenberg;1;1;217;109;50,2;6;312;157;64;36;10;4;12;x;x;x;x;x;x;x;x;x;x;0;x;x;x;x;x;x;x;x;x;x;29;x;0;
P;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071089;Lindenberg;1;1;217;109;50,2;1,9;98,1;50,3;20,5;11,5;3,2;1,3;3,8;x;x;x;x;x;x;x;x;x;x;0,0;x;x;x;x;x;x;x;x;x;x;9,3;x;0,0;
A;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071096;Meesiger;1;1;210;114;54,3;12;318;99;47;106;6;32;19;x;x;x;x;x;x;x;x;x;x;4;x;x;x;x;x;x;x;x;x;x;1;x;4;
P;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071096;Meesiger;1;1;210;114;54,3;3,6;96,4;31,1;14,8;33,3;1,9;10,1;6,0;x;x;x;x;x;x;x;x;x;x;1,3;x;x;x;x;x;x;x;x;x;x;0,3;x;1,3;
A;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071112;Nossendorf;1;1;624;211;33,8;12;585;226;123;150;11;15;52;x;x;x;x;x;x;x;x;x;x;3;x;x;x;x;x;x;x;x;x;x;4;x;1;
P;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071112;Nossendorf;1;1;624;211;33,8;2,0;98,0;38,6;21,0;25,6;1,9;2,6;8,9;x;x;x;x;x;x;x;x;x;x;0,5;x;x;x;x;x;x;x;x;x;x;0,7;x;0,2;
