Ausgabe;Kreis;Kreisname;Amt;Amtsname;Gemeinde;Gemeindename;Wahlbezirke insg.;erf. Wahlbezirke;Wahlberechtigte;Waehler;Wahlbeteiligung;ungueltige Stimmen;gueltige Stimmen;CDU;DIE LINKE;SPD;FDP;GRÜNE;NPD;ABLR;APD;AUF;Bauernverband;B�NDNIS F�R R�GEN;BfL;BfS;BG;Freie  W�hler;Freie W�hler;Freie W�hler MSP;Freie W�hler NWM;Freie W�hler SWM;FWG Jarmen;KfV;LUL;Die PARTEI;PIRATEN;RENTNER;UWG;WG BV-LR;WGLR;Adomeit;Einzelbewerber;
A;71;Mecklenburgische Seenplatte;5163;Treptower Tollensewinkel;13071163;Wolde;2;2;550;245;44,5;16;687;202;188;131;47;38;49;x;x;x;x;x;x;x;x;x;x;7;x;x;x;x;x;x;x;x;x;x;25;x;x;
P;71;Mecklenburgische Seenplatte;5163;Treptower Tollensewinkel;13071163;Wolde;2;2;550;245;44,5;2,3;97,7;29,4;27,4;19,1;6,8;5,5;7,1;x;x;x;x;x;x;x;x;x;x;1,0;x;x;x;x;x;x;x;x;x;x;3,6;x;x;
A;71;Mecklenburgische Seenplatte;5163;Treptower Tollensewinkel;13071763;Briefwahl Treptower Tollensewinkel;2;2;0;885;0,0;5;2583;1106;498;470;137;97;72;x;x;x;x;x;x;x;x;x;x;34;x;x;x;x;x;x;x;x;x;x;169;x;x;
P;71;Mecklenburgische Seenplatte;5163;Treptower Tollensewinkel;13071763;Briefwahl Treptower Tollensewinkel;2;2;0;885;0,0;0,2;99,8;42,8;19,3;18,2;5,3;3,8;2,8;x;x;x;x;x;x;x;x;x;x;1,3;x;x;x;x;x;x;x;x;x;x;6,5;x;x;
A;71;Mecklenburgische Seenplatte;5164;Woldegk;13071054;Gro� Miltzow;4;4;979;478;48,8;88;1346;507;255;343;36;68;109;x;x;x;x;x;x;x;x;x;x;18;x;x;x;x;x;x;x;x;x;x;10;x;x;
P;71;Mecklenburgische Seenplatte;5164;Woldegk;13071054;Gro� Miltzow;4;4;979;478;48,8;6,1;93,9;37,7;18,9;25,5;2,7;5,1;8,1;x;x;x;x;x;x;x;x;x;x;1,3;x;x;x;x;x;x;x;x;x;x;0,7;x;x;
A;71;Mecklenburgische Seenplatte;5164;Woldegk;13071061;Helpt;2;2;310;139;44,8;36;381;122;39;119;29;16;49;x;x;x;x;x;x;x;x;x;x;2;x;x;x;x;x;x;x;x;x;x;5;x;x;
P;71;Mecklenburgische Seenplatte;5164;Woldegk;13071061;Helpt;2;2;310;139;44,8;8,6;91,4;32,0;10,2;31,2;7,6;4,2;12,9;x;x;x;x;x;x;x;x;x;x;0,5;x;x;x;x;x;x;x;x;x;x;1,3;x;x;
A;71;Mecklenburgische Seenplatte;5164;Woldegk;13071083;Kublank;1;1;156;96;61,5;15;252;73;46;66;4;30;26;x;x;x;x;x;x;x;x;x;x;6;x;x;x;x;x;x;x;x;x;x;1;x;x;
P;71;Mecklenburgische Seenplatte;5164;Woldegk;13071083;Kublank;1;1;156;96;61,5;5,6;94,4;29,0;18,3;26,2;1,6;11,9;10,3;x;x;x;x;x;x;x;x;x;x;2,4;x;x;x;x;x;x;x;x;x;x;0,4;x;x;
A;71;Mecklenburgische Seenplatte;5164;Woldegk;13071098;Mildenitz;1;1;448;182;40,6;35;511;166;79;145;13;23;70;x;x;x;x;x;x;x;x;x;x;10;x;x;x;x;x;x;x;x;x;x;5;x;x;
P;71;Mecklenburgische Seenplatte;5164;Woldegk;13071098;Mildenitz;1;1;448;182;40,6;6,4;93,6;32,5;15,5;28,4;2,5;4,5;13,7;x;x;x;x;x;x;x;x;x;x;2,0;x;x;x;x;x;x;x;x;x;x;1,0;x;x;
A;71;Mecklenburgische Seenplatte;5164;Woldegk;13071105;Neetzka;1;1;228;106;46,5;25;293;50;51;121;8;20;28;x;x;x;x;x;x;x;x;x;x;9;x;x;x;x;x;x;x;x;x;x;6;x;x;
P;71;Mecklenburgische Seenplatte;5164;Woldegk;13071105;Neetzka;1;1;228;106;46,5;7,9;92,1;17,1;17,4;41,3;2,7;6,8;9,6;x;x;x;x;x;x;x;x;x;x;3,1;x;x;x;x;x;x;x;x;x;x;2,0;x;x;
A;71;Mecklenburgische Seenplatte;5164;Woldegk;13071116;Petersdorf;1;1;138;76;55,1;27;201;53;23;79;15;9;16;x;x;x;x;x;x;x;x;x;x;4;x;x;x;x;x;x;x;x;x;x;2;x;x;
P;71;Mecklenburgische Seenplatte;5164;Woldegk;13071116;Petersdorf;1;1;138;76;55,1;11,8;88,2;26,4;11,4;39,3;7,5;4,5;8,0;x;x;x;x;x;x;x;x;x;x;2,0;x;x;x;x;x;x;x;x;x;x;1,0;x;x;
A;71;Mecklenburgische Seenplatte;5164;Woldegk;13071130;Sch�nbeck;1;1;386;173;44,8;28;491;152;97;149;11;27;26;x;x;x;x;x;x;x;x;x;x;21;x;x;x;x;x;x;x;x;x;x;8;x;x;
P;71;Mecklenburgische Seenplatte;5164;Woldegk;13071130;Sch�nbeck;1;1;386;173;44,8;5,4;94,6;31,0;19,8;30,3;2,2;5,5;5,3;x;x;x;x;x;x;x;x;x;x;4,3;x;x;x;x;x;x;x;x;x;x;1,6;x;x;
A;71;Mecklenburgische Seenplatte;5164;Woldegk;13071132;Sch�nhausen;1;1;220;129;58,6;9;378;79;102;101;18;31;33;x;x;x;x;x;x;x;x;x;x;8;x;x;x;x;x;x;x;x;x;x;6;x;x;
P;71;Mecklenburgische Seenplatte;5164;Woldegk;13071132;Sch�nhausen;1;1;220;129;58,6;2,3;97,7;20,9;27,0;26,7;4,8;8,2;8,7;x;x;x;x;x;x;x;x;x;x;2,1;x;x;x;x;x;x;x;x;x;x;1,6;x;x;
A;71;Mecklenburgische Seenplatte;5164;Woldegk;13071153;Voigtsdorf;1;1;99;71;71,7;10;203;39;28;50;5;22;22;x;x;x;x;x;x;x;x;x;x;36;x;x;x;x;x;x;x;x;x;x;1;x;x;
P;71;Mecklenburgische Seenplatte;5164;Woldegk;13071153;Voigtsdorf;1;1;99;71;71,7;4,7;95,3;19,2;13,8;24,6;2,5;10,8;10,8;x;x;x;x;x;x;x;x;x;x;17,7;x;x;x;x;x;x;x;x;x;x;0,5;x;x;
A;71;Mecklenburgische Seenplatte;5164;Woldegk;13071164;Woldegk, Stadt;7;7;3331;1366;41,0;269;3829;1282;529;1455;115;143;253;x;x;x;x;x;x;x;x;x;x;41;x;x;x;x;x;x;x;x;x;x;11;x;x;
P;71;Mecklenburgische Seenplatte;5164;Woldegk;13071164;Woldegk, Stadt;7;7;3331;1366;41,0;6,6;93,4;33,5;13,8;38,0;3,0;3,7;6,6;x;x;x;x;x;x;x;x;x;x;1,1;x;x;x;x;x;x;x;x;x;x;0,3;x;x;
A;71;Mecklenburgische Seenplatte;5164;Woldegk;13071764;Briefwahl Woldegk;1;1;0;443;0,0;39;1290;404;149;537;75;74;25;x;x;x;x;x;x;x;x;x;x;14;x;x;x;x;x;x;x;x;x;x;12;x;x;
P;71;Mecklenburgische Seenplatte;5164;Woldegk;13071764;Briefwahl Woldegk;1;1;0;443;0,0;2,9;97,1;31,3;11,6;41,6;5,8;5,7;1,9;x;x;x;x;x;x;x;x;x;x;1,1;x;x;x;x;x;x;x;x;x;x;0,9;x;x;
A;72;Landkreis Rostock;211;Bad Doberan, Stadt;13072006;Bad Doberan, Stadt;14;14;9844;5332;54,2;174;15074;2702;3487;5082;699;1053;790;x;29;106;x;x;x;x;x;x;165;x;x;x;x;x;x;x;x;x;x;x;x;x;961;
P;72;Landkreis Rostock;211;Bad Doberan, Stadt;13072006;Bad Doberan, Stadt;14;14;9844;5332;54,2;1,1;98,9;17,9;23,1;33,7;4,6;7,0;5,2;x;0,2;0,7;x;x;x;x;x;x;1,1;x;x;x;x;x;x;x;x;x;x;x;x;x;6,4;
A;72;Landkreis Rostock;212;Dummerstorf;13072029;Dummerstorf;12;12;5979;3415;57,1;270;9800;4126;1932;2151;282;592;449;x;34;56;x;x;x;x;x;x;108;x;x;x;x;x;x;x;x;x;x;x;x;x;70;
P;72;Landkreis Rostock;212;Dummerstorf;13072029;Dummerstorf;12;12;5979;3415;57,1;2,7;97,3;42,1;19,7;21,9;2,9;6,0;4,6;x;0,3;0,6;x;x;x;x;x;x;1,1;x;x;x;x;x;x;x;x;x;x;x;x;x;0,7;
A;72;Landkreis Rostock;213;Graal-M�ritz;13072036;Graal-M�ritz;4;4;3836;2185;57,0;147;6114;1649;1441;1926;119;626;184;x;18;37;x;x;x;x;x;x;84;x;x;x;x;x;x;x;x;x;x;x;x;x;30;
P;72;Landkreis Rostock;213;Graal-M�ritz;13072036;Graal-M�ritz;4;4;3836;2185;57,0;2,3;97,7;27,0;23,6;31,5;1,9;10,2;3,0;x;0,3;0,6;x;x;x;x;x;x;1,4;x;x;x;x;x;x;x;x;x;x;x;x;x;0,5;
A;72;Landkreis Rostock;214;G�strow, Stadt;13072043;G�strow, Stadt;21;21;25314;11130;44,0;491;31565;7259;5832;12514;1179;1919;1113;x;78;319;x;x;x;x;x;x;1146;x;x;x;x;x;x;x;x;x;x;x;x;x;206;
P;72;Landkreis Rostock;214;G�strow, Stadt;13072043;G�strow, Stadt;21;21;25314;11130;44,0;1,5;98,5;23,0;18,5;39,6;3,7;6,1;3,5;x;0,2;1,0;x;x;x;x;x;x;3,6;x;x;x;x;x;x;x;x;x;x;x;x;x;0,7;
A;72;Landkreis Rostock;215;Kr�pelin, Stadt;13072058;Kr�pelin, Stadt;7;7;4222;2041;48,3;93;5750;1679;1076;1923;150;314;298;x;15;16;x;x;x;x;x;x;214;x;x;x;x;x;x;x;x;x;x;x;x;x;65;
P;72;Landkreis Rostock;215;Kr�pelin, Stadt;13072058;Kr�pelin, Stadt;7;7;4222;2041;48,3;1,6;98,4;29,2;18,7;33,4;2,6;5,5;5,2;x;0,3;0,3;x;x;x;x;x;x;3,7;x;x;x;x;x;x;x;x;x;x;x;x;x;1,1;
A;72;Landkreis Rostock;216;K�hlungsborn, Stadt;13072060;K�hlungsborn, Stadt;7;7;6598;3481;52,8;378;9572;2710;1665;3429;361;863;281;x;26;46;x;x;x;x;x;x;134;x;x;x;x;x;x;x;x;x;x;x;x;x;57;
P;72;Landkreis Rostock;216;K�hlungsborn, Stadt;13072060;K�hlungsborn, Stadt;7;7;6598;3481;52,8;3,8;96,2;28,3;17,4;35,8;3,8;9,0;2,9;x;0,3;0,5;x;x;x;x;x;x;1,4;x;x;x;x;x;x;x;x;x;x;x;x;x;0,6;
A;72;Landkreis Rostock;217;Neubukow, Stadt;13072074;Neubukow, Stadt;4;4;3432;1633;47,6;168;4527;1866;757;1078;190;275;171;x;8;9;x;x;x;x;x;x;29;x;x;x;x;x;x;x;x;x;x;x;x;x;144;
P;72;Landkreis Rostock;217;Neubukow, Stadt;13072074;Neubukow, Stadt;4;4;3432;1633;47,6;3,6;96,4;41,2;16,7;23,8;4,2;6,1;3,8;x;0,2;0,2;x;x;x;x;x;x;0,6;x;x;x;x;x;x;x;x;x;x;x;x;x;3,2;
A;72;Landkreis Rostock;218;Sanitz;13072091;Sanitz;7;7;4890;2802;57,3;292;8095;1958;1794;1847;1594;415;350;x;31;42;x;x;x;x;x;x;37;x;x;x;x;x;x;x;x;x;x;x;x;x;27;
P;72;Landkreis Rostock;218;Sanitz;13072091;Sanitz;7;7;4890;2802;57,3;3,5;96,5;24,2;22,2;22,8;19,7;5,1;4,3;x;0,4;0,5;x;x;x;x;x;x;0,5;x;x;x;x;x;x;x;x;x;x;x;x;x;0,3;
A;72;Landkreis Rostock;219;Satow;13072093;Satow;9;9;4747;2862;60,3;174;8204;1746;1756;2582;874;470;511;x;35;42;x;x;x;x;x;x;142;x;x;x;x;x;x;x;x;x;x;x;x;x;46;
P;72;Landkreis Rostock;219;Satow;13072093;Satow;9;9;4747;2862;60,3;2,1;97,9;21,3;21,4;31,5;10,7;5,7;6,2;x;0,4;0,5;x;x;x;x;x;x;1,7;x;x;x;x;x;x;x;x;x;x;x;x;x;0,6;
A;72;Landkreis Rostock;220;Teterow, Stadt;13072106;Teterow, Stadt;6;6;7696;3596;46,7;581;10163;2774;2020;2882;178;336;403;x;45;214;x;x;x;x;x;x;335;x;x;x;x;x;x;x;x;x;x;x;x;x;976;
P;72;Landkreis Rostock;220;Teterow, Stadt;13072106;Teterow, Stadt;6;6;7696;3596;46,7;5,4;94,6;27,3;19,9;28,4;1,8;3,3;4,0;x;0,4;2,1;x;x;x;x;x;x;3,3;x;x;x;x;x;x;x;x;x;x;x;x;x;9,6;
A;72;Landkreis Rostock;5251;Bad Doberan-Land;13072001;Admannshagen-Bargeshagen;2;2;2420;1381;57,1;30;3929;1334;699;1051;261;320;122;x;8;34;x;x;x;x;x;x;59;x;x;x;x;x;x;x;x;x;x;x;x;x;41;
P;72;Landkreis Rostock;5251;Bad Doberan-Land;13072001;Admannshagen-Bargeshagen;2;2;2420;1381;57,1;0,8;99,2;34,0;17,8;26,7;6,6;8,1;3,1;x;0,2;0,9;x;x;x;x;x;x;1,5;x;x;x;x;x;x;x;x;x;x;x;x;x;1,0;
A;72;Landkreis Rostock;5251;Bad Doberan-Land;13072007;Bartenshagen-Parkentin;1;1;1053;615;58,4;15;1746;427;236;669;75;168;109;x;4;13;x;x;x;x;x;x;13;x;x;x;x;x;x;x;x;x;x;x;x;x;32;
P;72;Landkreis Rostock;5251;Bad Doberan-Land;13072007;Bartenshagen-Parkentin;1;1;1053;615;58,4;0,9;99,1;24,5;13,5;38,3;4,3;9,6;6,2;x;0,2;0,7;x;x;x;x;x;x;0,7;x;x;x;x;x;x;x;x;x;x;x;x;x;1,8;
A;72;Landkreis Rostock;5251;Bad Doberan-Land;13072017;B�rgerende-Rethwisch;2;2;1428;801;56,1;51;2233;480;386;607;386;203;79;x;4;16;x;x;x;x;x;x;36;x;x;x;x;x;x;x;x;x;x;x;x;x;36;
P;72;Landkreis Rostock;5251;Bad Doberan-Land;13072017;B�rgerende-Rethwisch;2;2;1428;801;56,1;2,2;97,8;21,5;17,3;27,2;17,3;9,1;3,5;x;0,2;0,7;x;x;x;x;x;x;1,6;x;x;x;x;x;x;x;x;x;x;x;x;x;1,6;
A;72;Landkreis Rostock;5251;Bad Doberan-Land;13072047;Hohenfelde;1;1;684;420;61,4;57;1170;233;264;409;68;96;28;x;3;2;x;x;x;x;x;x;24;x;x;x;x;x;x;x;x;x;x;x;x;x;43;
P;72;Landkreis Rostock;5251;Bad Doberan-Land;13072047;Hohenfelde;1;1;684;420;61,4;4,6;95,4;19,9;22,6;35,0;5,8;8,2;2,4;x;0,3;0,2;x;x;x;x;x;x;2,1;x;x;x;x;x;x;x;x;x;x;x;x;x;3,7;
A;72;Landkreis Rostock;5251;Bad Doberan-Land;13072075;Nienhagen;2;2;1629;891;54,7;63;2545;760;473;736;144;278;96;x;2;9;x;x;x;x;x;x;27;x;x;x;x;x;x;x;x;x;x;x;x;x;20;
P;72;Landkreis Rostock;5251;Bad Doberan-Land;13072075;Nienhagen;2;2;1629;891;54,7;2,4;97,6;29,9;18,6;28,9;5,7;10,9;3,8;x;0,1;0,4;x;x;x;x;x;x;1,1;x;x;x;x;x;x;x;x;x;x;x;x;x;0,8;
A;72;Landkreis Rostock;5251;Bad Doberan-Land;13072083;Reddelich;1;1;738;427;57,9;42;1201;268;265;383;60;133;40;x;1;4;x;x;x;x;x;x;20;x;x;x;x;x;x;x;x;x;x;x;x;x;27;
P;72;Landkreis Rostock;5251;Bad Doberan-Land;13072083;Reddelich;1;1;738;427;57,9;3,4;96,6;22,3;22,1;31,9;5,0;11,1;3,3;x;0,1;0,3;x;x;x;x;x;x;1,7;x;x;x;x;x;x;x;x;x;x;x;x;x;2,2;
A;72;Landkreis Rostock;5251;Bad Doberan-Land;13072086;Retschow;1;1;783;395;50,4;21;1137;243;272;310;78;127;74;x;2;6;x;x;x;x;x;x;12;x;x;x;x;x;x;x;x;x;x;x;x;x;13;
P;72;Landkreis Rostock;5251;Bad Doberan-Land;13072086;Retschow;1;1;783;395;50,4;1,8;98,2;21,4;23,9;27,3;6,9;11,2;6,5;x;0,2;0,5;x;x;x;x;x;x;1,1;x;x;x;x;x;x;x;x;x;x;x;x;x;1,1;
A;72;Landkreis Rostock;5251;Bad Doberan-Land;13072099;Steffenshagen;1;1;420;215;51,2;7;585;114;97;181;46;47;61;x;0;9;x;x;x;x;x;x;27;x;x;x;x;x;x;x;x;x;x;x;x;x;3;
P;72;Landkreis Rostock;5251;Bad Doberan-Land;13072099;Steffenshagen;1;1;420;215;51,2;1,2;98,8;19,5;16,6;30,9;7,9;8,0;10,4;x;0,0;1,5;x;x;x;x;x;x;4,6;x;x;x;x;x;x;x;x;x;x;x;x;x;0,5;
A;72;Landkreis Rostock;5251;Bad Doberan-Land;13072117;Wittenbeck;1;1;657;326;49,6;12;948;168;160;291;65;129;34;x;0;1;x;x;x;x;x;x;83;x;x;x;x;x;x;x;x;x;x;x;x;x;17;
P;72;Landkreis Rostock;5251;Bad Doberan-Land;13072117;Wittenbeck;1;1;657;326;49,6;1,3;98,8;17,7;16,9;30,7;6,9;13,6;3,6;x;0,0;0,1;x;x;x;x;x;x;8,8;x;x;x;x;x;x;x;x;x;x;x;x;x;1,8;
A;72;Landkreis Rostock;5251;Bad Doberan-Land;13072751;Briefwahl Bad Doberan-Land;2;2;0;742;0,0;41;2185;597;404;519;276;244;60;x;5;7;x;x;x;x;x;x;27;x;x;x;x;x;x;x;x;x;x;x;x;x;46;
P;72;Landkreis Rostock;5251;Bad Doberan-Land;13072751;Briefwahl Bad Doberan-Land;2;2;0;742;0,0;1,8;98,2;27,3;18,5;23,8;12,6;11,2;2,7;x;0,2;0,3;x;x;x;x;x;x;1,2;x;x;x;x;x;x;x;x;x;x;x;x;x;2,1;
A;72;Landkreis Rostock;5252;B�tzow-Land;13072009;Baumgarten;3;3;737;359;48,7;10;1043;241;138;463;16;104;42;x;13;5;x;x;x;x;x;x;12;x;x;x;x;x;x;x;x;x;x;x;x;x;9;
P;72;Landkreis Rostock;5252;B�tzow-Land;13072009;Baumgarten;3;3;737;359;48,7;0,9;99,1;23,1;13,2;44,4;1,5;10,0;4,0;x;1,2;0,5;x;x;x;x;x;x;1,2;x;x;x;x;x;x;x;x;x;x;x;x;x;0,9;
A;72;Landkreis Rostock;5252;B�tzow-Land;13072013;Bernitt;5;5;1399;660;47,2;82;1869;589;308;714;45;79;92;x;6;3;x;x;x;x;x;x;20;x;x;x;x;x;x;x;x;x;x;x;x;x;13;
P;72;Landkreis Rostock;5252;B�tzow-Land;13072013;Bernitt;5;5;1399;660;47,2;4,2;95,8;31,5;16,5;38,2;2,4;4,2;4,9;x;0,3;0,2;x;x;x;x;x;x;1,1;x;x;x;x;x;x;x;x;x;x;x;x;x;0,7;
A;72;Landkreis Rostock;5252;B�tzow-Land;13072020;B�tzow, Stadt;6;6;6635;2642;39,8;130;7447;1851;1337;3441;102;248;279;x;21;44;x;x;x;x;x;x;58;x;x;x;x;x;x;x;x;x;x;x;x;x;66;
P;72;Landkreis Rostock;5252;B�tzow-Land;13072020;B�tzow, Stadt;6;6;6635;2642;39,8;1,7;98,3;24,9;18,0;46,2;1,4;3,3;3,7;x;0,3;0,6;x;x;x;x;x;x;0,8;x;x;x;x;x;x;x;x;x;x;x;x;x;0,9;
A;72;Landkreis Rostock;5252;B�tzow-Land;13072028;Dreetz;1;1;180;101;56,1;12;288;90;35;128;6;15;5;x;0;2;x;x;x;x;x;x;4;x;x;x;x;x;x;x;x;x;x;x;x;x;3;
P;72;Landkreis Rostock;5252;B�tzow-Land;13072028;Dreetz;1;1;180;101;56,1;4,0;96,0;31,3;12,2;44,4;2,1;5,2;1,7;x;0,0;0,7;x;x;x;x;x;x;1,4;x;x;x;x;x;x;x;x;x;x;x;x;x;1,0;
A;72;Landkreis Rostock;5252;B�tzow-Land;13072050;J�rgenshagen;2;2;945;454;48,0;20;1295;227;188;619;54;83;75;x;12;8;x;x;x;x;x;x;16;x;x;x;x;x;x;x;x;x;x;x;x;x;13;
P;72;Landkreis Rostock;5252;B�tzow-Land;13072050;J�rgenshagen;2;2;945;454;48,0;1,5;98,5;17,5;14,5;47,8;4,2;6,4;5,8;x;0,9;0,6;x;x;x;x;x;x;1,2;x;x;x;x;x;x;x;x;x;x;x;x;x;1,0;
A;72;Landkreis Rostock;5252;B�tzow-Land;13072053;Klein Belitz;2;2;736;348;47,3;36;986;249;171;455;19;34;29;x;7;7;x;x;x;x;x;x;6;x;x;x;x;x;x;x;x;x;x;x;x;x;9;
P;72;Landkreis Rostock;5252;B�tzow-Land;13072053;Klein Belitz;2;2;736;348;47,3;3,5;96,5;25,3;17,3;46,1;1,9;3,4;2,9;x;0,7;0,7;x;x;x;x;x;x;0,6;x;x;x;x;x;x;x;x;x;x;x;x;x;0,9;
A;72;Landkreis Rostock;5252;B�tzow-Land;13072078;Penzin;1;1;127;68;53,5;3;201;76;41;70;5;6;3;x;0;0;x;x;x;x;x;x;0;x;x;x;x;x;x;x;x;x;x;x;x;x;0;
P;72;Landkreis Rostock;5252;B�tzow-Land;13072078;Penzin;1;1;127;68;53,5;1,5;98,5;37,8;20,4;34,8;2,5;3,0;1,5;x;0,0;0,0;x;x;x;x;x;x;0,0;x;x;x;x;x;x;x;x;x;x;x;x;x;0,0;
A;72;Landkreis Rostock;5252;B�tzow-Land;13072089;R�hn;1;1;536;280;52,2;18;801;336;99;280;21;22;34;x;0;2;x;x;x;x;x;x;7;x;x;x;x;x;x;x;x;x;x;x;x;x;0;
P;72;Landkreis Rostock;5252;B�tzow-Land;13072089;R�hn;1;1;536;280;52,2;2,2;97,8;41,9;12,4;35,0;2,6;2,7;4,2;x;0,0;0,2;x;x;x;x;x;x;0,9;x;x;x;x;x;x;x;x;x;x;x;x;x;0,0;
A;72;Landkreis Rostock;5252;B�tzow-Land;13072101;Steinhagen;2;2;636;324;50,9;15;938;258;139;386;94;19;20;x;3;1;x;x;x;x;x;x;11;x;x;x;x;x;x;x;x;x;x;x;x;x;7;
P;72;Landkreis Rostock;5252;B�tzow-Land;13072101;Steinhagen;2;2;636;324;50,9;1,6;98,4;27,5;14,8;41,2;10,0;2,0;2,1;x;0,3;0,1;x;x;x;x;x;x;1,2;x;x;x;x;x;x;x;x;x;x;x;x;x;0,7;
A;72;Landkreis Rostock;5252;B�tzow-Land;13072104;Tarnow;3;3;964;443;46,0;46;1251;381;234;481;15;60;46;x;1;0;x;x;x;x;x;x;10;x;x;x;x;x;x;x;x;x;x;x;x;x;23;
P;72;Landkreis Rostock;5252;B�tzow-Land;13072104;Tarnow;3;3;964;443;46,0;3,5;96,5;30,5;18,7;38,4;1,2;4,8;3,7;x;0,1;0,0;x;x;x;x;x;x;0,8;x;x;x;x;x;x;x;x;x;x;x;x;x;1,8;
A;72;Landkreis Rostock;5252;B�tzow-Land;13072114;Warnow;3;3;825;385;46,7;18;1087;344;122;445;18;60;46;x;11;21;x;x;x;x;x;x;11;x;x;x;x;x;x;x;x;x;x;x;x;x;9;
P;72;Landkreis Rostock;5252;B�tzow-Land;13072114;Warnow;3;3;825;385;46,7;1,6;98,4;31,6;11,2;40,9;1,7;5,5;4,2;x;1,0;1,9;x;x;x;x;x;x;1,0;x;x;x;x;x;x;x;x;x;x;x;x;x;0,8;
A;72;Landkreis Rostock;5252;B�tzow-Land;13072120;Zepelin;2;2;396;219;55,3;0;641;178;96;270;24;24;13;x;0;0;x;x;x;x;x;x;19;x;x;x;x;x;x;x;x;x;x;x;x;x;17;
P;72;Landkreis Rostock;5252;B�tzow-Land;13072120;Zepelin;2;2;396;219;55,3;0,0;100,0;27,8;15,0;42,1;3,7;3,7;2,0;x;0,0;0,0;x;x;x;x;x;x;3,0;x;x;x;x;x;x;x;x;x;x;x;x;x;2,7;
A;72;Landkreis Rostock;5252;B�tzow-Land;13072752;Briefwahl B�tzow-Land;1;1;0;756;0,0;6;2220;592;316;879;62;175;98;x;4;11;x;x;x;x;x;x;35;x;x;x;x;x;x;x;x;x;x;x;x;x;48;
P;72;Landkreis Rostock;5252;B�tzow-Land;13072752;Briefwahl B�tzow-Land;1;1;0;756;0,0;0,3;99,7;26,7;14,2;39,6;2,8;7,9;4,4;x;0,2;0,5;x;x;x;x;x;x;1,6;x;x;x;x;x;x;x;x;x;x;x;x;x;2,2;
A;72;Landkreis Rostock;5253;Carb�k;13072019;Broderstorf;2;2;2663;1451;54,5;156;4140;1236;962;1098;228;290;186;x;26;33;x;x;x;x;x;x;54;x;x;x;x;x;x;x;x;x;x;x;x;x;27;
P;72;Landkreis Rostock;5253;Carb�k;13072019;Broderstorf;2;2;2663;1451;54,5;3,6;96,4;29,9;23,2;26,5;5,5;7,0;4,5;x;0,6;0,8;x;x;x;x;x;x;1,3;x;x;x;x;x;x;x;x;x;x;x;x;x;0,7;
A;72;Landkreis Rostock;5253;Carb�k;13072054;Klein Kussewitz;1;1;587;284;48,4;30;736;251;137;165;35;74;43;x;4;9;x;x;x;x;x;x;15;x;x;x;x;x;x;x;x;x;x;x;x;x;3;
P;72;Landkreis Rostock;5253;Carb�k;13072054;Klein Kussewitz;1;1;587;284;48,4;3,9;96,1;34,1;18,6;22,4;4,8;10,1;5,8;x;0,5;1,2;x;x;x;x;x;x;2,0;x;x;x;x;x;x;x;x;x;x;x;x;x;0,4;
A;72;Landkreis Rostock;5253;Carb�k;13072070;Mandelshagen;1;1;217;110;50,7;0;325;81;66;115;10;24;13;x;0;8;x;x;x;x;x;x;3;x;x;x;x;x;x;x;x;x;x;x;x;x;5;
P;72;Landkreis Rostock;5253;Carb�k;13072070;Mandelshagen;1;1;217;110;50,7;0,0;100,0;24,9;20,3;35,4;3,1;7,4;4,0;x;0,0;2,5;x;x;x;x;x;x;0,9;x;x;x;x;x;x;x;x;x;x;x;x;x;1,5;
A;72;Landkreis Rostock;5253;Carb�k;13072081;Poppendorf;1;1;604;309;51,2;27;869;234;228;227;45;61;33;x;2;7;x;x;x;x;x;x;22;x;x;x;x;x;x;x;x;x;x;x;x;x;10;
P;72;Landkreis Rostock;5253;Carb�k;13072081;Poppendorf;1;1;604;309;51,2;3,0;97,0;26,9;26,2;26,1;5,2;7,0;3,8;x;0,2;0,8;x;x;x;x;x;x;2,5;x;x;x;x;x;x;x;x;x;x;x;x;x;1,2;
A;72;Landkreis Rostock;5253;Carb�k;13072087;Roggentin;2;2;2298;1309;57,0;87;3728;1001;920;1025;127;316;244;x;7;48;x;x;x;x;x;x;21;x;x;x;x;x;x;x;x;x;x;x;x;x;19;
P;72;Landkreis Rostock;5253;Carb�k;13072087;Roggentin;2;2;2298;1309;57,0;2,3;97,7;26,9;24,7;27,5;3,4;8,5;6,5;x;0,2;1,3;x;x;x;x;x;x;0,6;x;x;x;x;x;x;x;x;x;x;x;x;x;0,5;
A;72;Landkreis Rostock;5253;Carb�k;13072100;Steinfeld;1;1;467;230;49,3;15;643;207;128;136;41;74;45;x;3;3;x;x;x;x;x;x;3;x;x;x;x;x;x;x;x;x;x;x;x;x;3;
P;72;Landkreis Rostock;5253;Carb�k;13072100;Steinfeld;1;1;467;230;49,3;2,3;97,7;32,2;19,9;21,2;6,4;11,5;7,0;x;0,5;0,5;x;x;x;x;x;x;0,5;x;x;x;x;x;x;x;x;x;x;x;x;x;0,5;
A;72;Landkreis Rostock;5253;Carb�k;13072108;Thulendorf;1;1;488;257;52,7;27;716;210;141;150;73;60;51;x;2;9;x;x;x;x;x;x;11;x;x;x;x;x;x;x;x;x;x;x;x;x;9;
