Air Quality Station EoI Code,Air Pollutant,Year,Air Pollution Level,Unit Of Air Pollution Level,Air Quality Station Type,Air Quality Station Area,State,District,City,Normalized Pollution Level
DEBB066,O3,2022,52.641,ug/m3,Background,Rural,BB,Dahme-Spreewald,Lieberose/Oberspreewald,0.4102281416149509
DEBW022,O3,2015,47.905,ug/m3,Industrial,Suburban,BW,Ortenaukreis,Kehl,0.3902499417385225
DEBW022,O3,2020,52.444,ug/m3,Industrial,Suburban,BW,Ortenaukreis,Kehl,0.5769566722151722
DEBE062,O3,2014,43.042,ug/m3,Background,Rural,BE,Berlin,Berlin,0.4036821887004592
DEBE062,O3,2015,49.188,ug/m3,Background,Rural,BE,Berlin,Berlin,0.4089373106501981
DEBB092,O3,2015,50.72,ug/m3,Background,Suburban,BB,Frankfurt (Oder),Frankfurt (Oder),0.43125145653693775
DEBB092,O3,2020,56.703,ug/m3,Background,Suburban,BB,Frankfurt (Oder),Frankfurt (Oder),0.6471480132504903
DEBB092,O3,2023,58.258,ug/m3,Background,Suburban,BB,Frankfurt (Oder),Frankfurt (Oder),0.3754399113660063
DEBB055,O3,2016,47.824,ug/m3,Background,Suburban,BB,Brandenburg an der Havel,Brandenburg an der Havel,0.425432745624327
DEBB055,O3,2019,54.65,ug/m3,Background,Suburban,BB,Brandenburg an der Havel,Brandenburg an der Havel,0.3736615833874108
DEBB007,O3,2019,54.598,ug/m3,Background,Suburban,BB,Elbe-Elster,Elsterwerda,0.37260707332900717
DEBB007,O3,2013,50.285,ug/m3,Background,Suburban,BB,Elbe-Elster,Elsterwerda,0.5563072241693156
DEBE051,O3,2018,49.423,ug/m3,Background,Suburban,BE,Berlin,Berlin,0.21283402681460933
DEBB007,O3,2014,45.895,ug/m3,Background,Suburban,BB,Elbe-Elster,Elsterwerda,0.4482338611449453
DEBB083,O3,2017,49.556,ug/m3,Background,Suburban,BB,Spree-Neiße,Spremberg,0.3993375426974433
DEBB083,O3,2025,62.465,ug/m3,Background,Suburban,BB,Spree-Neiße,Spremberg,0.6157731019881962
DEBW006,O3,2013,41.561,ug/m3,Background,Urban,BW,Mannheim,Mannheim,0.43779715814926506
DEBB063,O3,2013,57.086,ug/m3,Background,Suburban,BB,Prignitz,Wittenberge,0.6486945417991142
DEBB063,O3,2018,59.761,ug/m3,Background,Suburban,BB,Prignitz,Wittenberge,0.4040129449838188
DEBB110,O3,2019,49.628,ug/m3,Background,Suburban,BB,Havelland,Dallgow-Döberitz,0.2718202465931214
DEBB110,O3,2023,59.018,ug/m3,Background,Suburban,BB,Havelland,Dallgow-Döberitz,0.3878226016684046
DEBB065,O3,2015,50.091,ug/m3,Background,Rural,BB,Potsdam-Mittelmark,Bad Belzig,0.42208983919832205
DEBB065,O3,2021,52.725,ug/m3,Background,Rural,BB,Potsdam-Mittelmark,Bad Belzig,0.48390427029563593
DEBB065,O3,2024,55.581,ug/m3,Background,Rural,BB,Potsdam-Mittelmark,Bad Belzig,0.3762599386464659
DEBB111,O3,2024,55.979,ug/m3,Background,Urban,BB,Elbe-Elster,Elsterwerda,0.38248920052588736
DEBB021,O3,2023,57.217,ug/m3,Background,Urban,BB,Potsdam,Potsdam,0.3584788842544317
DEBB066,O3,2023,53.286,ug/m3,Background,Rural,BB,Dahme-Spreewald,Lieberose/Oberspreewald,0.29443104796663194
DEBB066,O3,2025,62.047,ug/m3,Background,Rural,BB,Dahme-Spreewald,Lieberose/Oberspreewald,0.6108292232906362
DEBB007,O3,2016,45.874,ug/m3,Background,Suburban,BB,Elbe-Elster,Elsterwerda,0.39409183689869665
DEBE010,O3,2015,46.586,ug/m3,Background,Urban,BE,Berlin,Berlin,0.37103821952924726
DEBB021,O3,2013,50.913,ug/m3,Background,Urban,BB,Potsdam,Potsdam,0.5648382101230743
DEBB021,O3,2020,55.57,ug/m3,Background,Urban,BB,Potsdam,Potsdam,0.6284753695799067
DEBB064,O3,2022,58.433,ug/m3,Background,Urban,BB,Cottbus,Cottbus,0.5132208332592421
DEBB021,O3,2024,58.034,ug/m3,Background,Urban,BB,Potsdam,Potsdam,0.4146528516872221
DEBB111,O3,2025,61.372,ug/m3,Background,Urban,BB,Elbe-Elster,Elsterwerda,0.6028456871163468
DEBB075,O3,2014,44.036,ug/m3,Background,Suburban,BB,Potsdam,Potsdam,0.4192042224928949
DEBE027,O3,2018,55.707,ug/m3,Background,Rural,BE,Berlin,Berlin,0.32904299583911234
DEBE027,O3,2024,54.688,ug/m3,Background,Rural,BE,Berlin,Berlin,0.36228322794716084
DEBW031,O3,2014,81.229,ug/m3,Background,Rural,BW,Breisgau-Hochschwarzwald,Staufen-Münstertal,1.0
DEBE032,O3,2016,43.955,ug/m3,Background,Rural,BE,Berlin,Berlin,0.36324916826049924
DEBE032,O3,2018,51.27,ug/m3,Background,Rural,BE,Berlin,Berlin,0.24699029126213595
DEBE032,O3,2020,47.021,ug/m3,Background,Rural,BE,Berlin,Berlin,0.4875817855200488
DEBB112,O3,2023,54.432,ug/m3,Background,Suburban,BB,Dahme-Spreewald,Wildau,0.31310284150156414
DEBE065,O3,2022,46.817,ug/m3,Traffic,Urban,BE,Berlin,Berlin,0.306666429574835
DEBW004,O3,2022,51.374,ug/m3,Background,Rural,BW,Karlsruhe,Eggenstein-Leopoldshafen,0.38769849031776227
DEBB065,O3,2013,51.917,ug/m3,Background,Rural,BB,Potsdam-Mittelmark,Bad Belzig,0.5784769201510582
DEBB065,O3,2016,47.959,ug/m3,Background,Rural,BB,Potsdam-Mittelmark,Bad Belzig,0.4276025008437938
DEBB053,O3,2018,58.261,ug/m3,Background,Rural,BB,Märkisch-Oderland,Märkische Schweiz,0.3762736939435969
DEBB053,O3,2022,58.992,ug/m3,Background,Rural,BB,Märkisch-Oderland,Märkische Schweiz,0.5231609082988067
DEBE034,O3,2015,45.276,ug/m3,Background,Urban,BE,Berlin,Berlin,0.35195758564437196
DEBE034,O3,2017,42.491,ug/m3,Background,Urban,BE,Berlin,Berlin,0.27745574992236827
DEBB021,O3,2019,52.824,ug/m3,Background,Urban,BB,Potsdam,Potsdam,0.3366320571057755
DEBW010,O3,2019,51.832,ug/m3,Background,Suburban,BW,Rhein-Neckar-Kreis,Wiesloch,0.31651524983776774
DEBW010,O3,2013,46.527,ug/m3,Background,Suburban,BW,Rhein-Neckar-Kreis,Wiesloch,0.5052571521721412
DEBB086,O3,2013,48.989,ug/m3,Background,Suburban,BB,Teltow-Fläming,Blankenfelde-Mahlow,0.5387018773602846
DEBB086,O3,2018,52.963,ug/m3,Background,Suburban,BB,Teltow-Fläming,Blankenfelde-Mahlow,0.278298659269533
DEBW023,O3,2015,48.601,ug/m3,Background,Suburban,BW,Lörrach,Weil am Rhein,0.4003874388254486
DEBW023,O3,2025,22.736,ug/m3,Background,Suburban,BW,Lörrach,Weil am Rhein,0.14587990396101672
DEBB032,O3,2024,55.699,ug/m3,Industrial,Suburban,BB,Oder-Spree,Eisenhüttenstadt,0.378106805233832
DEBB021,O3,2018,54.355,ug/m3,Background,Urban,BB,Potsdam,Potsdam,0.3040406842348589
DEBB021,O3,2022,60.031,ug/m3,Background,Urban,BB,Potsdam,Potsdam,0.5416362892757436
DEBE056,O3,2017,50.333,ug/m3,Background,Rural,BE,Berlin,Berlin,0.41274195217886345
DEBW027,O3,2017,49.775,ug/m3,Background,Urban,BW,Reutlingen,Reutlingen,0.4031156195010868
DEBE010,O3,2018,49.193,ug/m3,Background,Urban,BE,Berlin,Berlin,0.2085806749884419
DEBE034,O3,2024,53.304,ug/m3,Background,Urban,BE,Berlin,Berlin,0.34062167407500155
DEBB092,O3,2018,59.973,ug/m3,Background,Suburban,BB,Frankfurt (Oder),Frankfurt (Oder),0.4079334257975034
DEBB064,O3,2024,57.207,ug/m3,Background,Urban,BB,Cottbus,Cottbus,0.4017091341639015
DEBB029,O3,2014,49.422,ug/m3,Industrial,Suburban,BB,Uckermark,Schwedt/Oder,0.5033105343702177
DEBB029,O3,2023,54.571,ug/m3,Industrial,Suburban,BB,Uckermark,Schwedt/Oder,0.31536757038581853
DEBB048,O3,2016,43.069,ug/m3,Background,Suburban,BB,Ostprignitz-Ruppin,Neuruppin,0.3490091451164436
DEBB048,O3,2024,56.246,ug/m3,Background,Suburban,BB,Ostprignitz-Ruppin,Neuruppin,0.3866681274650973
DEBE065,O3,2020,42.696,ug/m3,Traffic,Urban,BE,Berlin,Berlin,0.4163027176689684
DEBE065,O3,2023,46.876,ug/m3,Traffic,Urban,BE,Berlin,Berlin,0.1899928310740354
DEBW019,O3,2022,48.462,ug/m3,Background,Urban,BW,Ulm,Ulm,0.3359176342977043
DEBB029,O3,2021,53.083,ug/m3,Industrial,Suburban,BB,Uckermark,Schwedt/Oder,0.4881041764429845
DEBE051,O3,2022,46.397,ug/m3,Background,Suburban,BE,Berlin,Berlin,0.2991980368796343
DEBB063,O3,2016,49.816,ug/m3,Background,Suburban,BB,Prignitz,Wittenberge,0.45744868930712496
DEBB063,O3,2021,56.265,ug/m3,Background,Suburban,BB,Prignitz,Wittenberge,0.5254340685124355
DEBB029,O3,2024,56.067,ug/m3,Industrial,Suburban,BB,Uckermark,Schwedt/Oder,0.38386652476053335
DEBE062,O3,2022,50.85,ug/m3,Background,Rural,BE,Berlin,Berlin,0.37838078133613096
DEBE062,O3,2023,50.485,ug/m3,Background,Rural,BE,Berlin,Berlin,0.2487943169968717
DEBE034,O3,2018,51.17,ug/m3,Background,Urban,BE,Berlin,Berlin,0.24514100785945445
DEBE034,O3,2021,47.561,ug/m3,Background,Urban,BE,Berlin,Berlin,0.42332238385734405
DEBW005,O3,2013,44.087,ug/m3,Industrial,Suburban,BW,Mannheim,Mannheim,0.47211128317983
DEBW005,O3,2019,47.841,ug/m3,Industrial,Suburban,BW,Mannheim,Mannheim,0.23558160285528884
DEBW005,O3,2021,44.895,ug/m3,Industrial,Suburban,BW,Mannheim,Mannheim,0.39204598779915545
DEBW005,O3,2023,53.714,ug/m3,Industrial,Suburban,BW,Mannheim,Mannheim,0.3014044577685088
DEBW013,O3,2013,39.484,ug/m3,Background,Urban,BW,Stuttgart,Stuttgart,0.40958241638818704
DEBW013,O3,2017,42.222,ug/m3,Background,Urban,BW,Stuttgart,Stuttgart,0.2728150985060208
DEBB021,O3,2016,45.002,ug/m3,Background,Urban,BB,Potsdam,Potsdam,0.3800768254070301
DEBB021,O3,2021,53.194,ug/m3,Background,Urban,BB,Potsdam,Potsdam,0.48940638198029096
DEBB048,O3,2015,46.709,ug/m3,Background,Suburban,BB,Ostprignitz-Ruppin,Neuruppin,0.37282975996271267
DEBB048,O3,2018,53.722,ug/m3,Background,Suburban,BB,Ostprignitz-Ruppin,Neuruppin,0.2923347202958853
DEBB048,O3,2025,54.595,ug/m3,Background,Suburban,BB,Ostprignitz-Ruppin,Neuruppin,0.5226909839264805
DEBB055,O3,2020,53.168,ug/m3,Background,Suburban,BB,Brandenburg an der Havel,Brandenburg an der Havel,0.5888887057698964
DEBW024,O3,2018,52.172,ug/m3,Background,Suburban,BW,Ludwigsburg,Ludwigsburg,0.2636708275543226
DEBW024,O3,2019,50.42,ug/m3,Background,Suburban,BW,Ludwigsburg,Ludwigsburg,0.2878812459441922
DEBW019,O3,2015,41.808,ug/m3,Background,Urban,BW,Ulm,Ulm,0.30144488464227454
DEBW042,O3,2018,48.406,ug/m3,Background,Suburban,BW,Esslingen,Filderstadt,0.19402681460933882
DEBW042,O3,2022,51.355,ug/m3,Background,Suburban,BW,Esslingen,Filderstadt,0.3873606344577412
DEBB053,O3,2014,50.818,ug/m3,Background,Rural,BB,Märkisch-Oderland,Märkische Schweiz,0.5251100908835379
DEBB111,O3,2022,57.143,ug/m3,Background,Urban,BB,Elbe-Elster,Elsterwerda,0.4902821985525543
DEBB042,O3,2013,53.41,ug/m3,Background,Suburban,BB,Frankfurt (Oder),Frankfurt (Oder),0.598758388350042
DEBB029,O3,2019,54.319,ug/m3,Industrial,Suburban,BB,Uckermark,Schwedt/Oder,0.36694922128488006
DEBW022,O3,2016,42.538,ug/m3,Industrial,Suburban,BW,Ortenaukreis,Kehl,0.3404747745865411
DEBW024,O3,2016,44.177,ug/m3,Background,Suburban,BW,Ludwigsburg,Ludwigsburg,0.3668172101769556
