Air Quality Station EoI Code,Air Pollutant,Year,Air Pollution Level,Unit Of Air Pollution Level,Air Quality Station Type,Air Quality Station Area,State,District,City,Normalized Pollution Level
DEUB020,SO2,1990,668.55,ug/m3,Background,rural,MV,Schwerin,Schwerin,0.012754237288135592
DEUB020,SO2,1990,242.394,ug/m3,Background,rural,MV,Schwerin,Schwerin,0.005672881355932203
DEUB020,SO2,1990,449.6,ug/m3,Background,rural,MV,Schwerin,Schwerin,0.009115985377201728
DENW054,SO2,1990,105.0,ug/m3,Background,suburban,NW,Leverkusen,Leverkusen,0.003389830508474576
DENW054,SO2,1990,20.0,ug/m3,Background,suburban,NW,Leverkusen,Leverkusen,0.0019774011299435027
DENW055,SO2,1990,122.0,ug/m3,Background,suburban,NW,Köln,Köln,0.003672316384180791
DENW055,SO2,1990,20.0,ug/m3,Background,suburban,NW,Köln,Köln,0.0019774011299435027
DESH012,SO2,1990,14.708,ug/m3,Background,suburban,SH,Kiel,Kiel,0.00188946493851778
DENW048,SO2,1990,0.0,count,Background,suburban,NW,Düsseldorf,Düsseldorf,0.0016450648055832502
DEUB020,SO2,1990,212.615,ug/m3,Background,rural,MV,Schwerin,Schwerin,0.005178049185776005
DENW056,SO2,1990,156.0,ug/m3,Background,suburban,NW,Köln,Köln,0.00423728813559322
DESH012,SO2,1990,214.0,ug/m3,Background,suburban,SH,Kiel,Kiel,0.005201063476237952
DENW023,SO2,1990,0.0,count,Background,suburban,NW,Herne,Herne,0.0016450648055832502
DENW054,SO2,1990,65.522,ug/m3,Background,suburban,NW,Leverkusen,Leverkusen,0.0027338318378198737
DENW026,SO2,1990,22.082,ug/m3,Background,suburban,NW,Essen,Essen,0.002011997341309405
DESN009,SO2,1990,128.954,ug/m3,Background,suburban,SN,Chemnitz,Chemnitz,0.0037878697241608508
DENW036,SO2,1990,170.0,ug/m3,Background,suburban,NW,Wesel,Moers,0.004469923562645397
DEBE034,SO2,1990,750.0,ug/m3,Background,urban,BE,Berlin,Berlin,0.014107676969092722
DEBW083,SO2,1990,0.0,count,Traffic,urban,BW,Freiburg im Breisgau,Freiburg im Breisgau,0.0016450648055832502
DEBW083,O3,1990,148.544,ug/m3,Traffic,urban,BW,Freiburg im Breisgau,Freiburg im Breisgau,0.004113393153871718
DEBW036,SO2,1990,50.548,ug/m3,Background,urban,BW,Tübingen,Tübingen,0.0024850116317713528
DEBW036,O3,1990,209.75,ug/m3,Background,urban,BW,Tübingen,Tübingen,0.0051304420073113996
DEBE009,SO2,1990,22.0,ug/m3,Background,suburban,BE,Berlin,Berlin,0.0020106347623795283
DEBE012,SO2,1990,27.0,ug/m3,Background,suburban,BE,Berlin,Berlin,0.002093718843469591
DEBE014,SO2,1990,344.0,ug/m3,Traffic,urban,BE,Berlin,Berlin,0.007361249584579594
DEBE015,SO2,1990,27.0,count,Traffic,urban,BE,Berlin,Berlin,0.002093718843469591
DEBE016,SO2,1990,32.0,ug/m3,Background,urban,BE,Berlin,Berlin,0.0021768029245596543
DEBE017,SO2,1990,147.625,ug/m3,Background,suburban,BE,Berlin,Berlin,0.004098122299767365
DEBE018,SO2,1990,35.875,ug/m3,Background,urban,BE,Berlin,Berlin,0.0022411930874044533
DEBE018,SO2,1990,29.0,count,Background,urban,BE,Berlin,Berlin,0.0021269524759056167
DEBE018,SO2,1990,15.0,count,Background,urban,BE,Berlin,Berlin,0.0018943170488534397
DEBE021,SO2,1990,240.875,ug/m3,Background,suburban,BE,Berlin,Berlin,0.005647640412097042
DEBE021,SO2,1990,27.0,count,Background,suburban,BE,Berlin,Berlin,0.002093718843469591
DEBE026,SO2,1990,7.0,count,Industrial,rural,BE,Berlin,Berlin,0.0017613825191093386
DEBE027,SO2,1990,416.0,ug/m3,Industrial,rural,BE,Berlin,Berlin,0.008557660352276503
DEBW001,SO2,1990,0.0,count,Traffic,urban,BW,Karlsruhe (Stadtkreis),Karlsruhe,0.0016450648055832502
DEBE032,SO2,1990,283.0,ug/m3,Background,rural,BE,Berlin,Berlin,0.006347623795280824
DEBW002,SO2,1990,23.242,ug/m3,Traffic,urban,BW,Karlsruhe (Stadtkreis),Karlsruhe,0.0020312728481223
DEBW002,SO2,1990,19.75,ug/m3,Traffic,urban,BW,Karlsruhe (Stadtkreis),Karlsruhe,0.0019732469258889997
DEBE033,NO2,1990,111.0,ug/m3,Industrial,urban,BE,Berlin,Berlin,0.003489531405782652
DEBY043,SO2,1990,130.0,ug/m3,Traffic,urban,BY,München (Kreisfreie Stadt),München,0.003805250913924892
DEBY045,NO2,1990,50.521,ug/m3,Traffic,urban,BY,München (Kreisfreie Stadt),München,0.0024845629777334667
DEBW001,SO2,1990,81.47,ug/m3,Traffic,urban,BW,Karlsruhe (Stadtkreis),Karlsruhe,0.002998836822864739
DEBW007,SO2,1990,25.976,ug/m3,Background,urban,BW,Mannheim,Mannheim,0.002076703223662346
DEBW009,SO2,1990,15.152,ug/m3,Traffic,urban,BW,Heidelberg,Heidelberg,0.0018968428049185777
DEBW039,SO2,1990,143.05,ug/m3,Background,suburban,BW,Schwarzwald-Baar-Kreis,Villingen-Schwenningen,0.004022100365569957
DEBW011,SO2,1990,13.624,ug/m3,Traffic,urban,BW,Stuttgart,Stuttgart,0.0018714523097374542
DEBW011,SO2,1990,176.45,ug/m3,Traffic,urban,BW,Stuttgart,Stuttgart,0.004577102027251578
DEBW012,SO2,1990,84.533,ug/m3,Background,urban,BW,Stuttgart,Stuttgart,0.003049734130940512
DEBW012,O3,1990,193.9,ug/m3,Background,urban,BW,Stuttgart,Stuttgart,0.004867065470255899
DEBW014,SO2,1990,14.05,ug/m3,Industrial,suburban,BW,Stuttgart,Stuttgart,0.0018785310734463277
DEBY054,SO2,1990,12.0,ug/m3,Traffic,urban,BY,Nürnberg,Nürnberg,0.0018444666001994018
DEBY054,SO2,1990,0.0,count,Traffic,urban,BY,Nürnberg,Nürnberg,0.0016450648055832502
DEBW024,SO2,1990,133.1,ug/m3,Background,suburban,BW,Ludwigsburg,Ludwigsburg,0.003856763044200731
DEBY057,SO2,1990,223.0,ug/m3,Background,urban,BY,Nürnberg,Nürnberg,0.005350614822200067
DEBY057,SO2,1990,148.0,ug/m3,Background,urban,BY,Nürnberg,Nürnberg,0.004104353605849119
DEBY058,SO2,1990,76.833,ug/m3,Background,urban,BY,Nürnberg,Nürnberg,0.0029217846460618145
DEBY057,SO2,1990,89.083,ug/m3,Background,urban,BY,Nürnberg,Nürnberg,0.003125340644732469
DEBY057,SO2,1990,0.0,count,Background,urban,BY,Nürnberg,Nürnberg,0.0016450648055832502
DEBW025,NO2,1990,46.045,ug/m3,Background,urban,BW,Esslingen,Esslingen am Neckar,0.002410186108341642
DEBY057,NO2,1990,132.0,ug/m3,Background,urban,BY,Nürnberg,Nürnberg,0.003838484546360917
