Air Quality Station EoI Code,Air Pollutant,Year,Air Pollution Level,Unit Of Air Pollution Level,Air Quality Station Type,Air Quality Station Area,State,District,City,Normalized Pollution Level
DEBB044,NO2,2013,32.703,ug/m3,Traffic,Urban,BB,Cottbus,Cottbus,0.34894231880707444
DEBB044,NO2,2024,16.46,ug/m3,Traffic,Urban,BB,Cottbus,Cottbus,0.3626363182779349
DEBE069,NO2,2017,46.975,ug/m3,Traffic,Urban,BE,Berlin,Berlin,0.5907362826736124
DEBB045,NO2,2015,37.081,ug/m3,Traffic,Urban,BB,Frankfurt (Oder),Frankfurt (Oder),0.4079377634017638
DEBB045,NO2,2018,34.49,ug/m3,Traffic,Urban,BB,Frankfurt (Oder),Frankfurt (Oder),0.4710483765240572
DEBB045,NO2,2020,27.755,ug/m3,Traffic,Urban,BB,Frankfurt (Oder),Frankfurt (Oder),0.4976610834465067
DEBB045,NO2,2024,27.267,ug/m3,Traffic,Urban,BB,Frankfurt (Oder),Frankfurt (Oder),0.6194017439235905
DEBB048,NO2,2020,11.279,ug/m3,Background,Suburban,BB,Ostprignitz-Ruppin,Neuruppin,0.18688697751622152
DEBB048,NO2,2025,6.932,ug/m3,Background,Suburban,BB,Ostprignitz-Ruppin,Neuruppin,0.15439828955406232
DEBB055,NO2,2020,10.843,ug/m3,Background,Suburban,BB,Brandenburg an der Havel,Brandenburg an der Havel,0.1786630451184548
DEBB055,NO2,2024,7.459,ug/m3,Background,Suburban,BB,Brandenburg an der Havel,Brandenburg an der Havel,0.14877996626196868
DEBB048,NO2,2024,7.32,ug/m3,Background,Suburban,BB,Ostprignitz-Ruppin,Neuruppin,0.1454774406614555
DEBB075,NO2,2013,14.144,ug/m3,Background,Suburban,BB,Potsdam,Potsdam,0.13441220668130854
DEBB075,NO2,2023,8.04,ug/m3,Background,Suburban,BB,Potsdam,Potsdam,0.16636923351476757
DEBB075,NO2,2025,4.568,ug/m3,Background,Suburban,BB,Potsdam,Potsdam,0.0942272449602932
DEBE061,NO2,2014,49.063,ug/m3,Traffic,Urban,BE,Berlin,Berlin,0.5395463120385682
DEBB063,NO2,2013,11.025,ug/m3,Background,Suburban,BB,Prignitz,Wittenberge,0.09835857126343776
DEBB063,NO2,2016,9.793,ug/m3,Background,Suburban,BB,Prignitz,Wittenberge,0.09569564779367318
DEBB063,NO2,2020,7.69,ug/m3,Background,Suburban,BB,Prignitz,Wittenberge,0.11919043307680702
DEBB109,NO2,2020,11.989,ug/m3,Background,Urban,BB,Teltow-Fläming,Luckenwalde,0.20027916100799759
DEBB053,NO2,2013,9.728,ug/m3,Background,Rural,BB,Märkisch-Oderland,Märkische Schweiz,0.08336608484568259
DEBB053,NO2,2018,9.063,ug/m3,Background,Rural,BB,Märkisch-Oderland,Märkische Schweiz,0.100656965141517
DEBB053,NO2,2021,7.291,ug/m3,Background,Rural,BB,Märkisch-Oderland,Märkische Schweiz,0.13869169844529186
DEBB053,NO2,2022,6.842,ug/m3,Background,Rural,BB,Märkisch-Oderland,Märkische Schweiz,0.11605700014690758
DEBB088,NO2,2014,9.27,ug/m3,Industrial,Suburban,BB,Havelland,Premnitz,0.0761580920884086
DEBB032,NO2,2015,11.832,ug/m3,Industrial,Suburban,BB,Oder-Spree,Eisenhüttenstadt,0.10987026171953396
DEBB092,NO2,2018,12.87,ug/m3,Background,Suburban,BB,Frankfurt (Oder),Frankfurt (Oder),0.1561129805241154
DEBB092,NO2,2024,8.634,ug/m3,Background,Suburban,BB,Frankfurt (Oder),Frankfurt (Oder),0.17669699921594717
DEBE018,NO2,2015,25.771,ug/m3,Background,Urban,BE,Berlin,Berlin,0.2744218441960123
DEBB007,NO2,2016,13.353,ug/m3,Background,Suburban,BB,Elbe-Elster,Elsterwerda,0.14052740278057624
DEBE018,NO2,2016,26.073,ug/m3,Background,Urban,BE,Berlin,Berlin,0.30071277453153333
DEBE027,NO2,2018,13.824,ug/m3,Background,Rural,BE,Berlin,Berlin,0.17000975979256797
DEBE027,NO2,2022,9.479,ug/m3,Background,Rural,BE,Berlin,Berlin,0.1713991899095469
DEBW022,NO2,2024,18.293,ug/m3,Industrial,Suburban,BW,Ortenaukreis,Kehl,0.4061868896861413
DEBE083,NO2,2020,26.204,ug/m3,Traffic,Urban,BE,Berlin,Berlin,0.4684057642975706
DEBE083,NO2,2022,22.335,ug/m3,Traffic,Urban,BE,Berlin,Berlin,0.441205481751978
DEBE083,NO2,2024,20.048,ug/m3,Traffic,Urban,BE,Berlin,Berlin,0.44788424528974313
DEBE085,NO2,2022,30.909,ug/m3,Traffic,Urban,BE,Berlin,Berlin,0.6211462989779428
DEBE087,NO2,2022,30.384,ug/m3,Traffic,Urban,BE,Berlin,Berlin,0.6101282293437428
DEBE088,NO2,2021,29.409,ug/m3,Traffic,Urban,BE,Berlin,Berlin,0.5712330106580619
DEBE088,NO2,2024,25.262,ug/m3,Traffic,Urban,BE,Berlin,Berlin,0.5717645940744613
DEBE089,NO2,2020,36.529,ug/m3,Traffic,Urban,BE,Berlin,Berlin,0.6631582918364268
DEBE062,NO2,2016,13.234,ug/m3,Background,Rural,BE,Berlin,Berlin,0.1390288132178118
DEBE090,NO2,2019,42.2,ug/m3,Traffic,Urban,BE,Berlin,Berlin,0.6632450602607198
DEBE062,NO2,2019,10.951,ug/m3,Background,Rural,BE,Berlin,Berlin,0.15084037058293023
DEBE091,NO2,2022,32.442,ug/m3,Traffic,Urban,BE,Berlin,Berlin,0.6533190623098071
DEBE094,NO2,2019,40.123,ug/m3,Traffic,Urban,BE,Berlin,Berlin,0.6291875051242108
DEBE094,NO2,2023,21.982,ug/m3,Traffic,Urban,BE,Berlin,Berlin,0.47738020879807264
