"Ergebnisse der Wahl der Stadtverordnetenversammlungen (SVV) in den kreisfreien Städten
sowie der Wahl der Vertretungen der kreisangehörigen Städte und Gemeinden
am 26. September 2003 im Land Brandenburg",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,LV,Listenvereingung
"Kreisfreie Stadt
bzw.
Landkreis",AGS,Gemeindename,"Wahlberechtigte
insgesamt",Wähler,,Ungültige Stimmzettel,Gültige Stimmen,Sitze,,,Verteilung der gültigen Stimmen und Sitze,,,,,,WG,Wählergemeinschaft
,,,,insgesamt,mit Wahlschein,,,insgesamt,weiblich,"Unions-
bürger",Wahlvorschlagsträger,Art,Stimmen,Sitze,Sitze weiblich,"Sitze
Unions-
bürger",EB,Einzelbewerber
,,,,,,,,,,,,,,,,,PV,Politische Vereinigung
,,,A,B,B1,C,D,E,E1,E2,,,,,,,,
,,,,,,,,,,,,,,,,,,
Elbe-Elster          ,12062440,Schilda                      ,520,254,9,9,721,8,3,x,SPD                      ,PA,25,0,0,x,,
Elbe-Elster          ,12062440,Schilda                      ,520,254,9,9,721,8,3,x,Einzelbewerber           ,EB,696,8,3,x,,
Elbe-Elster          ,12062445,Schlieben                    ,2546,1327,99,58,3789,16,4,x,CDU                      ,PA,995,4,2,x,,
Elbe-Elster          ,12062445,Schlieben                    ,2546,1327,99,58,3789,16,4,x,SPD                      ,PA,1627,7,1,x,,
Elbe-Elster          ,12062445,Schlieben                    ,2546,1327,99,58,3789,16,4,x,PDS                      ,PA,372,2,0,x,,
Elbe-Elster          ,12062445,Schlieben                    ,2546,1327,99,58,3789,16,4,x,Wählergruppen            ,WG,795,3,1,x,,
Elbe-Elster          ,12062453,Schönborn                    ,1655,897,45,20,2592,12,1,x,CDU                      ,PA,398,2,0,x,,
Elbe-Elster          ,12062453,Schönborn                    ,1655,897,45,20,2592,12,1,x,SPD                      ,PA,289,1,0,x,,
Elbe-Elster          ,12062453,Schönborn                    ,1655,897,45,20,2592,12,1,x,PDS                      ,PA,111,1,0,x,,
Elbe-Elster          ,12062453,Schönborn                    ,1655,897,45,20,2592,12,1,x,Wählergruppen            ,WG,1688,8,1,x,,
Elbe-Elster          ,12062453,Schönborn                    ,1655,897,45,20,2592,12,1,x,Einzelbewerber           ,EB,106,0,0,x,,
Elbe-Elster          ,12062461,Schönewalde                  ,3110,1724,95,66,4923,16,4,x,CDU                      ,PA,1272,4,1,x,,
Elbe-Elster          ,12062461,Schönewalde                  ,3110,1724,95,66,4923,16,4,x,SPD                      ,PA,449,1,1,x,,
Elbe-Elster          ,12062461,Schönewalde                  ,3110,1724,95,66,4923,16,4,x,PDS                      ,PA,562,2,1,x,,
Elbe-Elster          ,12062461,Schönewalde                  ,3110,1724,95,66,4923,16,4,x,FDP                      ,PA,71,0,0,x,,
Elbe-Elster          ,12062461,Schönewalde                  ,3110,1724,95,66,4923,16,4,x,Wählergruppen            ,WG,2569,9,1,x,,
Elbe-Elster          ,12062464,Schraden                     ,533,267,25,12,759,8,4,x,Einzelbewerber           ,EB,759,8,4,x,,
Elbe-Elster          ,12062469,Sonnewalde                   ,3157,1985,72,36,5712,16,2,x,CDU                      ,PA,1709,5,0,x,,
Elbe-Elster          ,12062469,Sonnewalde                   ,3157,1985,72,36,5712,16,2,x,SPD                      ,PA,1241,4,1,x,,
Elbe-Elster          ,12062469,Sonnewalde                   ,3157,1985,72,36,5712,16,2,x,Wählergruppen            ,WG,2581,7,1,x,,
Elbe-Elster          ,12062469,Sonnewalde                   ,3157,1985,72,36,5712,16,2,x,Einzelbewerber           ,EB,181,0,0,x,,
Elbe-Elster          ,12062492,Tröbitz                      ,724,375,16,26,1019,10,2,x,CDU                      ,PA,214,2,0,x,,
Elbe-Elster          ,12062492,Tröbitz                      ,724,375,16,26,1019,10,2,x,SPD                      ,PA,387,4,1,x,,
Elbe-Elster          ,12062492,Tröbitz                      ,724,375,16,26,1019,10,2,x,PDS                      ,PA,98,1,0,x,,
Elbe-Elster          ,12062492,Tröbitz                      ,724,375,16,26,1019,10,2,x,Wählergruppen            ,WG,262,3,1,x,,
Elbe-Elster          ,12062492,Tröbitz                      ,724,375,16,26,1019,10,2,x,Einzelbewerber           ,EB,58,0,0,x,,
Elbe-Elster          ,12062500,Uebigau-Wahrenbrück          ,5497,2709,126,111,7680,18,5,x,CDU                      ,PA,2932,7,2,x,,
Elbe-Elster          ,12062500,Uebigau-Wahrenbrück          ,5497,2709,126,111,7680,18,5,x,SPD                      ,PA,620,1,0,x,,
Elbe-Elster          ,12062500,Uebigau-Wahrenbrück          ,5497,2709,126,111,7680,18,5,x,FDP                      ,PA,1217,3,0,x,,
Elbe-Elster          ,12062500,Uebigau-Wahrenbrück          ,5497,2709,126,111,7680,18,5,x,Wählergruppen            ,WG,1655,4,2,x,,
Elbe-Elster          ,12062500,Uebigau-Wahrenbrück          ,5497,2709,126,111,7680,18,5,x,Einzelbewerber           ,EB,1256,3,1,x,,
Havelland            ,12063036,Brieselang                   ,7576,3931,0,142,11198,18,4,x,CDU                      ,PA,3611,6,1,x,,
Havelland            ,12063036,Brieselang                   ,7576,3931,0,142,11198,18,4,x,SPD                      ,PA,2622,4,1,x,,
Havelland            ,12063036,Brieselang                   ,7576,3931,0,142,11198,18,4,x,PDS                      ,PA,1202,2,1,x,,
Havelland            ,12063036,Brieselang                   ,7576,3931,0,142,11198,18,4,x,Wählergruppen            ,WG,3364,5,1,x,,
Havelland            ,12063036,Brieselang                   ,7576,3931,0,142,11198,18,4,x,Einzelbewerber           ,EB,399,1,0,x,,
Havelland            ,12063056,Dallgow-Döberitz             ,5377,2640,158,73,7591,18,4,x,CDU                      ,PA,2674,6,1,x,,
Havelland            ,12063056,Dallgow-Döberitz             ,5377,2640,158,73,7591,18,4,x,SPD                      ,PA,1337,3,1,x,,
Havelland            ,12063056,Dallgow-Döberitz             ,5377,2640,158,73,7591,18,4,x,PDS                      ,PA,567,1,1,x,,
Havelland            ,12063056,Dallgow-Döberitz             ,5377,2640,158,73,7591,18,4,x,FDP                      ,PA,206,1,0,x,,
Havelland            ,12063056,Dallgow-Döberitz             ,5377,2640,158,73,7591,18,4,x,Wählergruppen            ,WG,2717,7,1,x,,
Havelland            ,12063056,Dallgow-Döberitz             ,5377,2640,158,73,7591,18,4,x,Einzelbewerber           ,EB,90,0,0,x,,
Havelland            ,12063080,Falkensee                    ,28758,13641,1436,359,38781,36,13,x,CDU                      ,PA,14130,13,4,x,,
Havelland            ,12063080,Falkensee                    ,28758,13641,1436,359,38781,36,13,x,SPD                      ,PA,10323,10,3,x,,
Havelland            ,12063080,Falkensee                    ,28758,13641,1436,359,38781,36,13,x,PDS                      ,PA,5525,5,3,x,,
Havelland            ,12063080,Falkensee                    ,28758,13641,1436,359,38781,36,13,x,FDP                      ,PA,2064,2,0,x,,
Havelland            ,12063080,Falkensee                    ,28758,13641,1436,359,38781,36,13,x,GRÜNE/B 90               ,PA,4324,4,3,x,,
Havelland            ,12063080,Falkensee                    ,28758,13641,1436,359,38781,36,13,x,Wählergruppen            ,WG,2233,2,0,x,,
Havelland            ,12063080,Falkensee                    ,28758,13641,1436,359,38781,36,13,x,Einzelbewerber           ,EB,182,0,0,x,,
Havelland            ,12063088,Friesack                     ,2325,1040,46,24,3023,16,1,x,CDU                      ,PA,793,4,0,x,,
Havelland            ,12063088,Friesack                     ,2325,1040,46,24,3023,16,1,x,SPD                      ,PA,905,5,0,x,,
Havelland            ,12063088,Friesack                     ,2325,1040,46,24,3023,16,1,x,PDS                      ,PA,419,2,1,x,,
Havelland            ,12063088,Friesack                     ,2325,1040,46,24,3023,16,1,x,FDP                      ,PA,402,2,0,x,,
Havelland            ,12063088,Friesack                     ,2325,1040,46,24,3023,16,1,x,Wählergruppen            ,WG,504,3,0,x,,
Havelland            ,12063094,Gollenberg                   ,412,276,0,6,786,8,1,x,CDU                      ,PA,83,1,0,x,,
Havelland            ,12063094,Gollenberg                   ,412,276,0,6,786,8,1,x,SPD                      ,PA,352,4,0,x,,
Havelland            ,12063094,Gollenberg                   ,412,276,0,6,786,8,1,x,FDP                      ,PA,50,0,0,x,,
Havelland            ,12063094,Gollenberg                   ,412,276,0,6,786,8,1,x,Wählergruppen            ,WG,212,2,1,x,,
Havelland            ,12063094,Gollenberg                   ,412,276,0,6,786,8,1,x,Einzelbewerber           ,EB,89,1,0,x,,
Havelland            ,12063112,Großderschau                 ,430,326,0,13,937,8,1,x,CDU                      ,PA,104,1,0,x,,
Havelland            ,12063112,Großderschau                 ,430,326,0,13,937,8,1,x,SPD                      ,PA,127,1,0,x,,
Havelland            ,12063112,Großderschau                 ,430,326,0,13,937,8,1,x,Wählergruppen            ,WG,602,5,1,x,,
Havelland            ,12063112,Großderschau                 ,430,326,0,13,937,8,1,x,Einzelbewerber           ,EB,104,1,0,x,,
Havelland            ,12063134,Havelaue                     ,834,497,40,12,1442,10,0,x,SPD                      ,PA,171,1,0,x,,
Havelland            ,12063134,Havelaue                     ,834,497,40,12,1442,10,0,x,FDP                      ,PA,686,5,0,x,,
Havelland            ,12063134,Havelaue                     ,834,497,40,12,1442,10,0,x,GRÜNE/B 90               ,PA,40,0,0,x,,
Havelland            ,12063134,Havelaue                     ,834,497,40,12,1442,10,0,x,Wählergruppen            ,WG,420,3,0,x,,
Havelland            ,12063134,Havelaue                     ,834,497,40,12,1442,10,0,x,Einzelbewerber           ,EB,125,1,0,x,,
Havelland            ,12063142,Wiesenaue                    ,653,388,11,13,1107,10,2,x,CDU                      ,PA,75,1,0,x,,
Havelland            ,12063142,Wiesenaue                    ,653,388,11,13,1107,10,2,x,Wählergruppen            ,WG,962,8,2,x,,
Havelland            ,12063142,Wiesenaue                    ,653,388,11,13,1107,10,2,x,Einzelbewerber           ,EB,70,1,0,x,,
Havelland            ,12063148,Ketzin                       ,5449,2375,0,115,6732,18,3,x,SPD                      ,PA,2009,5,1,x,,
Havelland            ,12063148,Ketzin                       ,5449,2375,0,115,6732,18,3,x,PDS                      ,PA,690,2,1,x,,
Havelland            ,12063148,Ketzin                       ,5449,2375,0,115,6732,18,3,x,Wählergruppen            ,WG,936,3,0,x,,
Havelland            ,12063148,Ketzin                       ,5449,2375,0,115,6732,18,3,x,Listenvereinigungen      ,LV,2647,7,1,x,,
Havelland            ,12063148,Ketzin                       ,5449,2375,0,115,6732,18,3,x,Einzelbewerber           ,EB,450,1,0,x,,
Havelland            ,12063161,Kleßen-Görne                 ,380,268,8,8,776,8,2,x,SPD                      ,PA,183,2,1,x,,
Havelland            ,12063161,Kleßen-Görne                 ,380,268,8,8,776,8,2,x,FDP                      ,PA,205,2,0,x,,
Havelland            ,12063161,Kleßen-Görne                 ,380,268,8,8,776,8,2,x,Wählergruppen            ,WG,388,4,1,x,,
Havelland            ,12063165,Kotzen                       ,504,274,6,3,805,8,4,x,Wählergruppen            ,WG,568,6,2,x,,
Havelland            ,12063165,Kotzen                       ,504,274,6,3,805,8,4,x,Einzelbewerber           ,EB,237,2,2,x,,
Havelland            ,12063186,Märkisch Luch                ,1110,625,30,13,1802,10,3,x,CDU                      ,PA,147,1,0,x,,
Havelland            ,12063186,Märkisch Luch                ,1110,625,30,13,1802,10,3,x,Wählergruppen            ,WG,988,5,1,x,,
Havelland            ,12063186,Märkisch Luch                ,1110,625,30,13,1802,10,3,x,Einzelbewerber           ,EB,667,4,2,x,,
Havelland            ,12063189,Milower Land                 ,4065,2414,0,68,6994,26,5,x,CDU                      ,PA,3344,13,3,x,,
Havelland            ,12063189,Milower Land                 ,4065,2414,0,68,6994,26,5,x,SPD                      ,PA,776,3,0,x,,
Havelland            ,12063189,Milower Land                 ,4065,2414,0,68,6994,26,5,x,PDS                      ,PA,777,3,2,x,,
Havelland            ,12063189,Milower Land                 ,4065,2414,0,68,6994,26,5,x,FDP                      ,PA,1127,4,0,x,,
Havelland            ,12063189,Milower Land                 ,4065,2414,0,68,6994,26,5,x,GRÜNE/B 90               ,PA,58,0,0,x,,
Havelland            ,12063189,Milower Land                 ,4065,2414,0,68,6994,26,5,x,Wählergruppen            ,WG,818,3,0,x,,
Havelland            ,12063189,Milower Land                 ,4065,2414,0,68,6994,26,5,x,Einzelbewerber           ,EB,94,0,0,x,,
Havelland            ,12063202,Mühlenberge                  ,665,382,15,14,1103,15,3,x,CDU                      ,PA,62,1,0,x,,
Havelland            ,12063202,Mühlenberge                  ,665,382,15,14,1103,15,3,x,SPD                      ,PA,74,1,0,x,,
Havelland            ,12063202,Mühlenberge                  ,665,382,15,14,1103,15,3,x,Wählergruppen            ,WG,967,13,3,x,,
Havelland            ,12063208,Nauen                        ,13884,5315,0,218,14254,28,5,x,CDU                      ,PA,2218,4,0,x,,
Havelland            ,12063208,Nauen                        ,13884,5315,0,218,14254,28,5,x,SPD                      ,PA,3913,8,1,x,,
Havelland            ,12063208,Nauen                        ,13884,5315,0,218,14254,28,5,x,PDS                      ,PA,2545,5,2,x,,
Havelland            ,12063208,Nauen                        ,13884,5315,0,218,14254,28,5,x,FDP                      ,PA,638,1,0,x,,
Havelland            ,12063208,Nauen                        ,13884,5315,0,218,14254,28,5,x,Wählergruppen            ,WG,4940,10,2,x,,
Havelland            ,12063212,Nennhausen                   ,1710,965,43,18,2579,12,4,x,CDU                      ,PA,662,3,1,x,,
Havelland            ,12063212,Nennhausen                   ,1710,965,43,18,2579,12,4,x,SPD                      ,PA,299,1,1,x,,
Havelland            ,12063212,Nennhausen                   ,1710,965,43,18,2579,12,4,x,PDS                      ,PA,497,2,1,x,,
Havelland            ,12063212,Nennhausen                   ,1710,965,43,18,2579,12,4,x,FDP                      ,PA,83,0,0,x,,
Havelland            ,12063212,Nennhausen                   ,1710,965,43,18,2579,12,4,x,Wählergruppen            ,WG,849,5,1,x,,
Havelland            ,12063212,Nennhausen                   ,1710,965,43,18,2579,12,4,x,Einzelbewerber           ,EB,189,1,0,x,,
Havelland            ,12063228,Paulinenaue                  ,1123,591,28,29,1663,10,0,x,SPD                      ,PA,689,4,0,x,,
Havelland            ,12063228,Paulinenaue                  ,1123,591,28,29,1663,10,0,x,PDS                      ,PA,466,3,0,x,,
Havelland            ,12063228,Paulinenaue                  ,1123,591,28,29,1663,10,0,x,Wählergruppen            ,WG,508,3,0,x,,
Havelland            ,12063240,Pessin                       ,576,308,3,15,874,10,3,x,CDU                      ,PA,301,3,0,x,,
Havelland            ,12063240,Pessin                       ,576,308,3,15,874,10,3,x,Wählergruppen            ,WG,347,4,3,x,,
Havelland            ,12063240,Pessin                       ,576,308,3,15,874,10,3,x,Einzelbewerber           ,EB,226,3,0,x,,
Havelland            ,12063244,Premnitz                     ,8659,3562,0,131,10143,22,6,x,CDU                      ,PA,2728,6,1,x,,
Havelland            ,12063244,Premnitz                     ,8659,3562,0,131,10143,22,6,x,SPD                      ,PA,2726,6,2,x,,
Havelland            ,12063244,Premnitz                     ,8659,3562,0,131,10143,22,6,x,PDS                      ,PA,2597,6,3,x,,
Havelland            ,12063244,Premnitz                     ,8659,3562,0,131,10143,22,6,x,Wählergruppen            ,WG,2092,4,0,x,,
Havelland            ,12063252,Rathenow                     ,22902,9121,1012,309,26295,32,5,x,CDU                      ,PA,5949,7,1,x,,
Havelland            ,12063252,Rathenow                     ,22902,9121,1012,309,26295,32,5,x,SPD                      ,PA,3729,5,0,x,,
Havelland            ,12063252,Rathenow                     ,22902,9121,1012,309,26295,32,5,x,PDS                      ,PA,7960,10,3,x,,
Havelland            ,12063252,Rathenow                     ,22902,9121,1012,309,26295,32,5,x,FDP                      ,PA,2717,3,0,x,,
Havelland            ,12063252,Rathenow                     ,22902,9121,1012,309,26295,32,5,x,GRÜNE/B 90               ,PA,502,1,1,x,,
Havelland            ,12063252,Rathenow                     ,22902,9121,1012,309,26295,32,5,x,Wählergruppen            ,WG,4537,5,0,x,,
Havelland            ,12063252,Rathenow                     ,22902,9121,1012,309,26295,32,5,x,FORUM                    ,PV,901,1,0,x,,
Havelland            ,12063256,Retzow                       ,495,198,7,12,551,8,3,x,Wählergruppen            ,WG,551,8,3,x,,
Havelland            ,12063260,Rhinow                       ,1595,624,55,22,1779,12,2,x,CDU                      ,PA,229,2,0,x,,
Havelland            ,12063260,Rhinow                       ,1595,624,55,22,1779,12,2,x,SPD                      ,PA,474,3,1,x,,
Havelland            ,12063260,Rhinow                       ,1595,624,55,22,1779,12,2,x,PDS                      ,PA,201,1,0,x,,
Havelland            ,12063260,Rhinow                       ,1595,624,55,22,1779,12,2,x,FDP                      ,PA,875,6,1,x,,
Havelland            ,12063273,Schönwalde-Glien             ,6408,4081,0,111,11619,18,7,x,CDU                      ,PA,6392,10,4,x,,
Havelland            ,12063273,Schönwalde-Glien             ,6408,4081,0,111,11619,18,7,x,SPD                      ,PA,3591,6,2,x,,
Havelland            ,12063273,Schönwalde-Glien             ,6408,4081,0,111,11619,18,7,x,PDS                      ,PA,674,1,1,x,,
Havelland            ,12063273,Schönwalde-Glien             ,6408,4081,0,111,11619,18,7,x,GRÜNE/B 90               ,PA,654,1,0,x,,
Havelland            ,12063273,Schönwalde-Glien             ,6408,4081,0,111,11619,18,7,x,Wählergruppen            ,WG,129,0,0,x,,
Havelland            ,12063273,Schönwalde-Glien             ,6408,4081,0,111,11619,18,7,x,Schill                   ,PA,179,0,0,x,,
Havelland            ,12063274,Seeblick                     ,840,487,43,15,1395,10,4,x,CDU                      ,PA,340,2,0,x,,
Havelland            ,12063274,Seeblick                     ,840,487,43,15,1395,10,4,x,SPD                      ,PA,379,3,2,x,,
Havelland            ,12063274,Seeblick                     ,840,487,43,15,1395,10,4,x,FDP                      ,PA,286,2,2,x,,
Havelland            ,12063274,Seeblick                     ,840,487,43,15,1395,10,4,x,Wählergruppen            ,WG,222,2,0,x,,
Havelland            ,12063274,Seeblick                     ,840,487,43,15,1395,10,4,x,Einzelbewerber           ,EB,168,1,0,x,,
Havelland            ,12063293,Stechow-Ferchesar            ,731,484,24,10,1413,10,1,x,SPD                      ,PA,129,1,0,x,,
Havelland            ,12063293,Stechow-Ferchesar            ,731,484,24,10,1413,10,1,x,FDP                      ,PA,40,0,0,x,,
Havelland            ,12063293,Stechow-Ferchesar            ,731,484,24,10,1413,10,1,x,Wählergruppen            ,WG,1186,8,1,x,,
Havelland            ,12063293,Stechow-Ferchesar            ,731,484,24,10,1413,10,1,x,Einzelbewerber           ,EB,58,1,0,x,,
Havelland            ,12063357,Wustermark                   ,5978,2720,0,118,7656,18,4,x,CDU                      ,PA,3412,8,0,x,,
Havelland            ,12063357,Wustermark                   ,5978,2720,0,118,7656,18,4,x,SPD                      ,PA,2789,7,3,x,,
Havelland            ,12063357,Wustermark                   ,5978,2720,0,118,7656,18,4,x,PDS                      ,PA,1269,3,1,x,,
Havelland            ,12063357,Wustermark                   ,5978,2720,0,118,7656,18,4,x,Einzelbewerber           ,EB,186,0,0,x,,
Märkisch-Oderland    ,12064009,Alt Tucheband                ,814,499,0,16,1429,10,1,x,CDU                      ,PA,135,1,0,x,,
Märkisch-Oderland    ,12064009,Alt Tucheband                ,814,499,0,16,1429,10,1,x,SPD                      ,PA,59,0,0,x,,
Märkisch-Oderland    ,12064009,Alt Tucheband                ,814,499,0,16,1429,10,1,x,Wählergruppen            ,WG,1235,9,1,x,,
Märkisch-Oderland    ,12064029,Altlandsberg                 ,6732,3131,0,71,9044,18,3,x,CDU                      ,PA,1678,3,0,x,,
Märkisch-Oderland    ,12064029,Altlandsberg                 ,6732,3131,0,71,9044,18,3,x,SPD                      ,PA,2987,6,1,x,,
Märkisch-Oderland    ,12064029,Altlandsberg                 ,6732,3131,0,71,9044,18,3,x,PDS                      ,PA,1199,2,0,x,,
Märkisch-Oderland    ,12064029,Altlandsberg                 ,6732,3131,0,71,9044,18,3,x,GRÜNE/B 90               ,PA,113,0,0,x,,
Märkisch-Oderland    ,12064029,Altlandsberg                 ,6732,3131,0,71,9044,18,3,x,Wählergruppen            ,WG,2663,6,2,x,,
Märkisch-Oderland    ,12064029,Altlandsberg                 ,6732,3131,0,71,9044,18,3,x,Einzelbewerber           ,EB,404,1,0,x,,
Märkisch-Oderland    ,12064044,Bad Freienwalde (Oder)       ,11208,4237,0,223,11835,22,2,x,CDU                      ,PA,2843,5,0,x,,
Märkisch-Oderland    ,12064044,Bad Freienwalde (Oder)       ,11208,4237,0,223,11835,22,2,x,SPD                      ,PA,2705,5,0,x,,
Märkisch-Oderland    ,12064044,Bad Freienwalde (Oder)       ,11208,4237,0,223,11835,22,2,x,PDS                      ,PA,2825,5,0,x,,
Märkisch-Oderland    ,12064044,Bad Freienwalde (Oder)       ,11208,4237,0,223,11835,22,2,x,FDP                      ,PA,418,1,0,x,,
Märkisch-Oderland    ,12064044,Bad Freienwalde (Oder)       ,11208,4237,0,223,11835,22,2,x,Wählergruppen            ,WG,2784,6,2,x,,
Märkisch-Oderland    ,12064044,Bad Freienwalde (Oder)       ,11208,4237,0,223,11835,22,2,x,Einzelbewerber           ,EB,260,0,0,x,,
Märkisch-Oderland    ,12064053,Beiersdorf-Freudenberg       ,509,375,0,14,1066,8,3,x,CDU                      ,PA,146,1,1,x,,
Märkisch-Oderland    ,12064053,Beiersdorf-Freudenberg       ,509,375,0,14,1066,8,3,x,SPD                      ,PA,26,0,0,x,,
Märkisch-Oderland    ,12064053,Beiersdorf-Freudenberg       ,509,375,0,14,1066,8,3,x,Einzelbewerber           ,EB,894,7,2,x,,
Märkisch-Oderland    ,12064057,Bleyen-Genschmar             ,497,320,0,12,909,8,0,x,CDU                      ,PA,138,1,0,x,,
Märkisch-Oderland    ,12064057,Bleyen-Genschmar             ,497,320,0,12,909,8,0,x,SPD                      ,PA,297,3,0,x,,
Märkisch-Oderland    ,12064057,Bleyen-Genschmar             ,497,320,0,12,909,8,0,x,Wählergruppen            ,WG,474,4,0,x,,
Märkisch-Oderland    ,12064061,Bliesdorf                    ,832,438,0,17,1263,10,3,x,CDU                      ,PA,456,3,0,x,,
Märkisch-Oderland    ,12064061,Bliesdorf                    ,832,438,0,17,1263,10,3,x,Wählergruppen            ,WG,352,3,3,x,,
Märkisch-Oderland    ,12064061,Bliesdorf                    ,832,438,0,17,1263,10,3,x,Einzelbewerber           ,EB,455,4,0,x,,
Märkisch-Oderland    ,12064084,Buckow (Märkische Schweiz)   ,1330,873,1,24,2518,12,2,x,CDU                      ,PA,1214,6,0,x,,
Märkisch-Oderland    ,12064084,Buckow (Märkische Schweiz)   ,1330,873,1,24,2518,12,2,x,SPD                      ,PA,900,4,2,x,,
Märkisch-Oderland    ,12064084,Buckow (Märkische Schweiz)   ,1330,873,1,24,2518,12,2,x,PDS                      ,PA,404,2,0,x,,
Märkisch-Oderland    ,12064125,Falkenberg                   ,2050,967,0,85,2611,16,2,x,CDU                      ,PA,521,3,0,x,,
Märkisch-Oderland    ,12064125,Falkenberg                   ,2050,967,0,85,2611,16,2,x,SPD                      ,PA,624,4,1,x,,
Märkisch-Oderland    ,12064125,Falkenberg                   ,2050,967,0,85,2611,16,2,x,FDP                      ,PA,155,1,1,x,,
Märkisch-Oderland    ,12064125,Falkenberg                   ,2050,967,0,85,2611,16,2,x,Wählergruppen            ,WG,1178,8,0,x,,
Märkisch-Oderland    ,12064125,Falkenberg                   ,2050,967,0,85,2611,16,2,x,Einzelbewerber           ,EB,133,0,0,x,,
Märkisch-Oderland    ,12064128,Falkenhagen (Mark)           ,648,422,0,6,1238,10,2,x,CDU                      ,PA,475,4,1,x,,
Märkisch-Oderland    ,12064128,Falkenhagen (Mark)           ,648,422,0,6,1238,10,2,x,SPD                      ,PA,466,4,1,x,,
Märkisch-Oderland    ,12064128,Falkenhagen (Mark)           ,648,422,0,6,1238,10,2,x,PDS                      ,PA,41,0,0,x,,
Märkisch-Oderland    ,12064128,Falkenhagen (Mark)           ,648,422,0,6,1238,10,2,x,FDP                      ,PA,146,1,0,x,,
Märkisch-Oderland    ,12064128,Falkenhagen (Mark)           ,648,422,0,6,1238,10,2,x,Wählergruppen            ,WG,110,1,0,x,,
Märkisch-Oderland    ,12064130,Fichtenhöhe                  ,471,314,0,17,886,8,0,x,CDU                      ,PA,114,1,0,x,,
Märkisch-Oderland    ,12064130,Fichtenhöhe                  ,471,314,0,17,886,8,0,x,Wählergruppen            ,WG,620,5,0,x,,
Märkisch-Oderland    ,12064130,Fichtenhöhe                  ,471,314,0,17,886,8,0,x,Einzelbewerber           ,EB,152,2,0,x,,
Märkisch-Oderland    ,12064136,Fredersdorf-Vogelsdorf       ,9694,3878,0,31,11522,22,5,x,CDU                      ,PA,2935,6,0,x,,
Märkisch-Oderland    ,12064136,Fredersdorf-Vogelsdorf       ,9694,3878,0,31,11522,22,5,x,SPD                      ,PA,2296,4,0,x,,
Märkisch-Oderland    ,12064136,Fredersdorf-Vogelsdorf       ,9694,3878,0,31,11522,22,5,x,PDS                      ,PA,2582,5,2,x,,
Märkisch-Oderland    ,12064136,Fredersdorf-Vogelsdorf       ,9694,3878,0,31,11522,22,5,x,FDP                      ,PA,550,1,1,x,,
Märkisch-Oderland    ,12064136,Fredersdorf-Vogelsdorf       ,9694,3878,0,31,11522,22,5,x,GRÜNE/B 90               ,PA,490,1,1,x,,
Märkisch-Oderland    ,12064136,Fredersdorf-Vogelsdorf       ,9694,3878,0,31,11522,22,5,x,Wählergruppen            ,WG,2669,5,1,x,,
Märkisch-Oderland    ,12064153,Garzau-Garzin                ,423,242,0,11,679,10,3,x,Wählergruppen            ,WG,679,10,3,x,,
Märkisch-Oderland    ,12064172,Golzow                       ,846,406,0,17,1130,10,3,x,SPD                      ,PA,70,1,0,x,,
Märkisch-Oderland    ,12064172,Golzow                       ,846,406,0,17,1130,10,3,x,FDP                      ,PA,401,3,1,x,,
Märkisch-Oderland    ,12064172,Golzow                       ,846,406,0,17,1130,10,3,x,Wählergruppen            ,WG,659,6,2,x,,
Märkisch-Oderland    ,12064190,Gusow-Platkow                ,1177,620,0,29,1760,10,3,x,PDS                      ,PA,128,1,0,x,,
Märkisch-Oderland    ,12064190,Gusow-Platkow                ,1177,620,0,29,1760,10,3,x,Wählergruppen            ,WG,1632,9,3,x,,
Märkisch-Oderland    ,12064205,Heckelberg-Brunow            ,653,364,0,7,1062,10,2,x,Wählergruppen            ,WG,1040,10,2,x,,
Märkisch-Oderland    ,12064205,Heckelberg-Brunow            ,653,364,0,7,1062,10,2,x,Einzelbewerber           ,EB,22,0,0,x,,
Märkisch-Oderland    ,12064222,Höhenland                    ,892,530,0,21,1498,10,4,x,CDU                      ,PA,325,2,1,x,,
Märkisch-Oderland    ,12064222,Höhenland                    ,892,530,0,21,1498,10,4,x,Wählergruppen            ,WG,988,7,3,x,,
Märkisch-Oderland    ,12064222,Höhenland                    ,892,530,0,21,1498,10,4,x,Einzelbewerber           ,EB,185,1,0,x,,
Märkisch-Oderland    ,12064227,Hoppegarten                  ,11196,4897,12,170,14004,22,7,x,CDU                      ,PA,3667,6,1,x,,
Märkisch-Oderland    ,12064227,Hoppegarten                  ,11196,4897,12,170,14004,22,7,x,SPD                      ,PA,2442,4,1,x,,
Märkisch-Oderland    ,12064227,Hoppegarten                  ,11196,4897,12,170,14004,22,7,x,PDS                      ,PA,3189,5,3,x,,
Märkisch-Oderland    ,12064227,Hoppegarten                  ,11196,4897,12,170,14004,22,7,x,FDP                      ,PA,383,1,0,x,,
Märkisch-Oderland    ,12064227,Hoppegarten                  ,11196,4897,12,170,14004,22,7,x,Wählergruppen            ,WG,3271,5,2,x,,
Märkisch-Oderland    ,12064227,Hoppegarten                  ,11196,4897,12,170,14004,22,7,x,Einzelbewerber           ,EB,1052,1,0,x,,
Märkisch-Oderland    ,12064266,Küstriner Vorland            ,2445,1021,0,50,2866,16,6,x,CDU                      ,PA,280,2,1,x,,
