Wahl,Ebene,Schlüssel,Bezeichnung,Ebene 1,Ortnummer,Ortname,WB_OSVM,WB_MSVM,WB_A3,Wahlberechtigte,Wähler,Wähler_MWS,Briefwähler,ungültige Stimmzettel,gültige Stimmzettel,gültige Stimmen,CDU,DIE LINKE,SPD,AfD,FDP,NPD,GRÜNE,DSU,PIRATEN,Aufbruch deutscher Patrioten,III. Weg,Blaue #TeamPetry,FREIE WÄHLER,Die Partei,Tierschutzpartei,Wählervereinigungen,Einzelvorschläge,,Wahlbeteiligung,ungültige Stimmzettel in %,gültige Stimmzettel in %,CDU in %,DIE LINKE in %,SPD in %,AfD in %,FDP in %,NPD in %,GRÜNE in %,DSU in %,PIRATEN in %,Aufbruch deutscher Patrioten in %,III. Weg in %,Blaue #TeamPetry in %,FREIE WÄHLER in %,Die Partei in %,Tierschutzpartei in %,Wählervereinigungen in %,Einzelvorschläge in %
GR19,LK,14729,Leipzig,GE,14729150,"Geithain, Stadt","5,231",607,0,"5,838","3,523",472,472,102,"3,421","9,858","1,895","1,321",x,x,x,x,x,x,x,x,x,x,x,x,x,"6,642",x,x,60.3,2.9,97.1,19.2,13.4,x,x,x,x,x,x,x,x,x,x,x,x,x,67.4,x
GR19,LK,14729,Leipzig,GE,14729160,"Grimma, Stadt","20,458","2,972",0,"23,430","13,448","2,542","2,538",362,"13,086","37,908","2,460","2,667","2,012","6,133",x,x,"1,105",x,x,x,x,x,x,x,x,"23,531",x,x,57.4,2.7,97.3,6.5,7.0,5.3,16.2,x,x,2.9,x,x,x,x,x,x,x,x,62.1,x
GR19,LK,14729,Leipzig,GE,14729170,"Groitzsch, Stadt","5,647",666,0,"6,313","3,825",637,636,78,"3,747","10,813","4,573",x,"1,370","1,500","2,195",x,"1,175",x,x,x,x,x,x,x,x,x,x,x,60.6,2.0,98.0,42.3,x,12.7,13.9,20.3,x,10.9,x,x,x,x,x,x,x,x,x,x
GR19,LK,14729,Leipzig,GE,14729190,Großpösna,"3,709",687,0,"4,396","3,165",632,632,39,"3,126","9,090","1,877","1,109","1,857","1,469","1,466",x,877,x,x,x,x,x,x,x,x,435,x,x,72.0,1.2,98.8,20.6,12.2,20.4,16.2,16.1,x,9.6,x,x,x,x,x,x,x,x,4.8,x
GR19,LK,14729,Leipzig,GE,14729220,"Kitzscher, Stadt","3,875",333,0,"4,208","2,392",312,312,55,"2,337","6,838","1,886",866,x,"1,042",x,x,x,x,x,x,x,x,x,x,x,"3,044",x,x,56.8,2.3,97.7,27.6,12.7,x,15.2,x,x,x,x,x,x,x,x,x,x,x,44.5,x
GR19,LK,14729,Leipzig,GE,14729245,Lossatal,"4,242",813,0,"5,055","3,193",736,736,74,"3,119","9,143","2,673","1,088",490,"1,259",x,x,424,x,x,x,x,x,x,x,x,"3,209",x,x,63.2,2.3,97.7,29.2,11.9,5.4,13.8,x,x,4.6,x,x,x,x,x,x,x,x,35.1,x
GR19,LK,14729,Leipzig,GE,14729250,Machern,"4,721",701,0,"5,422","3,634",626,626,56,"3,578","10,443","3,506",945,726,"1,468",x,x,652,x,x,x,x,x,x,x,x,"3,146",x,x,67.0,1.5,98.5,33.6,9.0,7.0,14.1,x,x,6.2,x,x,x,x,x,x,x,x,30.1,x
GR19,LK,14729,Leipzig,GE,14729260,"Markkleeberg, Stadt","17,024","3,194",0,"20,218","13,097","2,799","2,793",266,"12,831","37,257","9,543","4,456","8,866","5,659","2,852",x,"5,881",x,x,x,x,x,x,x,x,x,x,x,64.8,2.0,98.0,25.6,12.0,23.8,15.2,7.7,x,15.8,x,x,x,x,x,x,x,x,x,x
GR19,LK,14729,Leipzig,GE,14729270,"Markranstädt, Stadt","11,614","1,467",0,"13,081","8,225","1,380","1,376",294,"7,931","22,852","9,374","2,195","2,095","4,191",x,x,"1,768",x,x,x,x,x,x,x,x,"3,229",x,x,62.9,3.6,96.4,41.0,9.6,9.2,18.3,x,x,7.7,x,x,x,x,x,x,x,x,14.1,x
GR19,LK,14729,Leipzig,GE,14729300,"Naunhof, Stadt","6,122","1,039",0,"7,161","4,777",907,904,111,"4,666","13,604","1,853","1,851",x,"2,147",936,x,"1,050",x,x,x,x,x,x,x,x,"5,767",x,x,66.7,2.3,97.7,13.6,13.6,x,15.8,6.9,x,7.7,x,x,x,x,x,x,x,x,42.4,x
