Wahl,Ebene,Schlüssel,Bezeichnung,Ebene 1,Ortnummer,Ortname,WB_OSVM,WB_MSVM,WB_A3,Wahlberechtigte,Wähler,Wähler_MWS,Briefwähler,ungültige Stimmzettel,gültige Stimmzettel,gültige Stimmen,CDU,DIE LINKE,SPD,AfD,FDP,NPD,GRÜNE,DSU,PIRATEN,Aufbruch deutscher Patrioten,III. Weg,Blaue #TeamPetry,FREIE WÄHLER,Die Partei,Tierschutzpartei,Wählervereinigungen,Einzelvorschläge,,Wahlbeteiligung,ungültige Stimmzettel in %,gültige Stimmzettel in %,CDU in %,DIE LINKE in %,SPD in %,AfD in %,FDP in %,NPD in %,GRÜNE in %,DSU in %,PIRATEN in %,Aufbruch deutscher Patrioten in %,III. Weg in %,Blaue #TeamPetry in %,FREIE WÄHLER in %,Die Partei in %,Tierschutzpartei in %,Wählervereinigungen in %,Einzelvorschläge in %
GR19,LK,14729,Leipzig,GE,14729320,Neukieritzsch,"5,181",601,0,"5,782","3,475",549,549,130,"3,345","9,680","2,790","1,038",892,"1,418",208,x,x,x,x,x,x,x,x,x,x,"3,334",x,x,60.1,3.7,96.3,28.8,10.7,9.2,14.6,2.1,x,x,x,x,x,x,x,x,x,x,34.4,x
GR19,LK,14729,Leipzig,GE,14729330,Otterwisch,"1,019",104,0,"1,123",795,101,101,30,765,"2,225",527,164,x,x,x,x,x,x,x,x,x,x,x,x,x,"1,534",x,x,70.8,3.8,96.2,23.7,7.4,x,x,x,x,x,x,x,x,x,x,x,x,x,68.9,x
GR19,LK,14729,Leipzig,GE,14729340,Parthenstein,"2,576",340,0,"2,916","2,047",291,289,50,"1,997","5,863",x,515,x,"1,401",364,94,x,x,x,x,x,x,x,x,x,"3,489",x,x,70.2,2.4,97.6,x,8.8,x,23.9,6.2,1.6,x,x,x,x,x,x,x,x,x,59.5,x
GR19,LK,14729,Leipzig,GE,14729350,"Pegau, Stadt","4,618",740,0,"5,358","3,192",650,650,85,"3,107","9,058","1,707",x,628,722,x,x,x,x,x,x,x,x,x,x,x,"6,001",x,x,59.6,2.7,97.3,18.8,x,6.9,8.0,x,x,x,x,x,x,x,x,x,x,x,66.3,x
GR19,LK,14729,Leipzig,GE,14729360,"Regis-Breitingen, Stadt","2,947",351,0,"3,298","1,919",322,322,58,"1,861","5,385",729,460,574,x,876,x,133,x,x,x,x,x,x,x,x,"2,613",x,x,58.2,3.0,97.0,13.5,8.5,10.7,x,16.3,x,2.5,x,x,x,x,x,x,x,x,48.5,x
GR19,LK,14729,Leipzig,GE,14729370,"Rötha, Stadt","4,378",622,0,"5,000","3,019",564,563,87,"2,932","8,539","1,275",879,"1,547","1,101",x,x,x,x,x,x,x,x,x,x,x,"3,737",x,x,60.4,2.9,97.1,14.9,10.3,18.1,12.9,x,x,x,x,x,x,x,x,x,x,x,43.8,x
GR19,LK,14729,Leipzig,GE,14729380,Thallwitz,"2,637",277,0,"2,914","1,933",245,245,78,"1,855","5,326",640,420,x,"1,114",x,x,x,x,x,x,x,x,x,x,x,"3,152",x,x,66.3,4.0,96.0,12.0,7.9,x,20.9,x,x,x,x,x,x,x,x,x,x,x,59.2,x
GR19,LK,14729,Leipzig,GE,14729400,"Trebsen/Mulde, Stadt","2,838",331,0,"3,169","2,055",314,314,61,"1,994","5,810","1,776",285,280,x,x,574,x,x,x,x,x,x,x,x,x,"2,895",x,x,64.8,3.0,97.0,30.6,4.9,4.8,x,x,9.9,x,x,x,x,x,x,x,x,x,49.8,x
GR19,LK,14729,Leipzig,GE,14729410,"Wurzen, Stadt","12,131","1,453",0,"13,584","7,505","1,322","1,322",149,"7,356","21,346","5,187","2,571","2,321","3,354",x,x,680,x,x,x,x,x,x,x,x,"7,233",x,x,55.2,2.0,98.0,24.3,12.0,10.9,15.7,x,x,3.2,x,x,x,x,x,x,x,x,33.9,x
GR19,LK,14729,Leipzig,GE,14729430,"Zwenkau, Stadt","6,741",847,0,"7,588","4,821",746,743,149,"4,672","13,605","5,697","1,063",946,x,x,x,x,x,x,x,x,x,x,x,x,"5,899",x,x,63.5,3.1,96.9,41.9,7.8,7.0,x,x,x,x,x,x,x,x,x,x,x,x,43.4,x
GR19,LK,14730,Nordsachsen,GE,14730010,Arzberg,"1,491",131,0,"1,622",839,113,113,26,813,"2,373",526,184,x,x,x,x,x,x,x,x,x,x,x,x,x,"1,663",x,x,51.7,3.1,96.9,22.2,7.8,x,x,x,x,x,x,x,x,x,x,x,x,x,70.1,x
GR19,LK,14730,Nordsachsen,GE,14730020,"Bad Düben, Stadt","5,688",817,0,"6,505","3,690",748,695,104,"3,586","10,348","2,868","1,588","1,624",x,x,x,x,x,x,x,x,x,x,x,x,"4,268",x,x,56.7,2.8,97.2,27.7,15.3,15.7,x,x,x,x,x,x,x,x,x,x,x,x,41.2,x
GR19,LK,14730,Nordsachsen,GE,14730030,Beilrode,"3,154",277,0,"3,431","1,954",202,202,59,"1,895","5,276","1,069",349,231,x,532,x,x,x,x,x,x,x,x,x,x,"3,095",x,x,57.0,3.0,97.0,20.3,6.6,4.4,x,10.1,x,x,x,x,x,x,x,x,x,x,58.7,x
GR19,LK,14730,Nordsachsen,GE,14730045,"Belgern-Schildau, Stadt","5,620",747,0,"6,367","3,651",653,650,95,"3,556","10,305","2,365",845,627,x,x,x,998,x,x,x,x,x,x,x,x,"5,470",x,x,57.3,2.6,97.4,23.0,8.2,6.1,x,x,x,9.7,x,x,x,x,x,x,x,x,53.1,x
GR19,LK,14730,Nordsachsen,GE,14730050,Cavertitz,"1,601",221,0,"1,822","1,192",207,207,35,"1,157","3,381","1,865",x,470,x,x,x,x,x,x,x,x,x,x,x,x,"1,046",x,x,65.4,2.9,97.1,55.2,x,13.9,x,x,x,x,x,x,x,x,x,x,x,x,30.9,x
GR19,LK,14730,Nordsachsen,GE,14730060,"Dahlen, Stadt","3,076",510,0,"3,586","2,198",437,433,82,"2,116","6,125",692,x,430,x,x,x,x,x,x,x,x,x,x,x,x,"5,003",x,x,61.3,3.7,96.3,11.3,x,7.0,x,x,x,x,x,x,x,x,x,x,x,x,81.7,x
GR19,LK,14730,Nordsachsen,GE,14730070,"Delitzsch, Stadt","18,563","2,375",0,"20,938","11,264","2,153","2,150",285,"10,979","31,537","8,171","3,159","4,520","5,036",x,x,989,x,x,x,x,x,x,x,x,"9,662",x,x,53.8,2.5,97.5,25.9,10.0,14.3,16.0,x,x,3.1,x,x,x,x,x,x,x,x,30.6,x
GR19,LK,14730,Nordsachsen,GE,14730080,Doberschütz,"3,088",329,0,"3,417","2,381",302,302,49,"2,332","6,767","1,662",x,283,907,x,x,x,x,x,x,x,x,x,x,x,"3,915",x,x,69.7,2.1,97.9,24.6,x,4.2,13.4,x,x,x,x,x,x,x,x,x,x,x,57.9,x
GR19,LK,14730,Nordsachsen,GE,14730090,"Dommitzsch, Stadt","1,876",239,0,"2,115","1,161",214,212,23,"1,138","3,293",815,317,609,839,x,x,125,x,x,x,x,x,x,x,x,588,x,x,54.9,2.0,98.0,24.7,9.6,18.5,25.5,x,x,3.8,x,x,x,x,x,x,x,x,17.9,x
GR19,LK,14730,Nordsachsen,GE,14730100,Dreiheide,"1,600",140,0,"1,740","1,181",130,130,24,"1,157","3,411","1,040",x,x,x,682,x,x,x,x,x,x,x,x,x,x,"1,689",x,x,67.9,2.0,98.0,30.5,x,x,x,20.0,x,x,x,x,x,x,x,x,x,x,49.5,x
GR19,LK,14730,Nordsachsen,GE,14730110,"Eilenburg, Stadt","11,354","1,473",0,"12,827","6,784","1,360","1,360",191,"6,593","19,072","3,875","2,476","2,656","4,094",x,392,971,x,x,x,x,x,x,x,x,"4,608",x,x,52.9,2.8,97.2,20.3,13.0,13.9,21.5,x,2.1,5.1,x,x,x,x,x,x,x,x,24.2,x
GR19,LK,14730,Nordsachsen,GE,14730120,Elsnig,"1,072",96,0,"1,168",754,85,85,24,730,"2,122",658,x,x,188,687,x,x,x,x,x,x,x,x,x,x,589,x,x,64.6,3.2,96.8,31.0,x,x,8.9,32.4,x,x,x,x,x,x,x,x,x,x,27.8,x
GR19,LK,14730,Nordsachsen,GE,14730140,Jesewitz,"2,229",282,0,"2,511","1,761",266,266,61,"1,700","4,943",192,x,x,x,x,x,x,x,x,x,x,x,x,x,x,"4,751",x,x,70.1,3.5,96.5,3.9,x,x,x,x,x,x,x,x,x,x,x,x,x,x,96.1,x
GR19,LK,14730,Nordsachsen,GE,14730150,Krostitz,"2,824",399,0,"3,223","2,213",374,372,35,"2,178","6,383","3,911",440,647,x,662,x,x,x,x,x,x,x,x,x,x,723,x,x,68.7,1.6,98.4,61.3,6.9,10.1,x,10.4,x,x,x,x,x,x,x,x,x,x,11.3,x
GR19,LK,14730,Nordsachsen,GE,14730160,Laußig,"2,921",220,0,"3,141","1,993",199,199,77,"1,916","5,488","1,016",305,896,x,x,x,x,x,x,x,x,x,x,x,x,"3,271",x,x,63.5,3.9,96.1,18.5,5.6,16.3,x,x,x,x,x,x,x,x,x,x,x,x,59.6,x
GR19,LK,14730,Nordsachsen,GE,14730170,Liebschützberg,"2,257",206,0,"2,463","1,621",188,181,52,"1,569","4,528","2,120",253,x,x,x,x,x,x,x,x,x,x,x,x,x,"2,155",x,x,65.8,3.2,96.8,46.8,5.6,x,x,x,x,x,x,x,x,x,x,x,x,x,47.6,x
GR19,LK,14730,Nordsachsen,GE,14730180,Löbnitz,"1,501",195,0,"1,696","1,180",178,178,35,"1,145","3,353","1,941",255,"1,157",x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,69.6,3.0,97.0,57.9,7.6,34.5,x,x,x,x,x,x,x,x,x,x,x,x,x,x
GR19,LK,14730,Nordsachsen,GE,14730190,Mockrehna,"3,777",400,0,"4,177","2,685",375,247,57,"2,628","7,584","2,087",599,x,x,x,x,x,x,x,x,x,x,x,x,x,"4,898",x,x,64.3,2.1,97.9,27.5,7.9,x,x,x,x,x,x,x,x,x,x,x,x,x,64.6,x
GR19,LK,14730,Nordsachsen,GE,14730200,"Mügeln, Stadt","4,459",510,0,"4,969","2,896",477,477,61,"2,835","8,244","1,250",542,"1,484","1,559",503,x,267,x,x,x,x,x,x,x,x,"2,639",x,x,58.3,2.1,97.9,15.2,6.6,18.0,18.9,6.1,x,3.2,x,x,x,x,x,x,x,x,32.0,x
GR19,LK,14730,Nordsachsen,GE,14730210,Naundorf,"1,663",224,0,"1,887","1,291",208,208,35,"1,256","3,698",x,x,64,x,x,x,121,x,x,x,x,x,x,x,x,"3,513",x,x,68.4,2.7,97.3,x,x,1.7,x,x,x,3.3,x,x,x,x,x,x,x,x,95.0,x
GR19,LK,14730,Nordsachsen,GE,14730230,"Oschatz, Stadt","10,945","1,320",0,"12,265","6,542","1,144","1,144",132,"6,410","18,582","4,340","2,208","1,239","4,198","1,072",216,"1,714",x,x,x,x,x,x,x,x,"3,595",x,x,53.3,2.0,98.0,23.4,11.9,6.7,22.6,5.8,1.2,9.2,x,x,x,x,x,x,x,x,19.3,x
GR19,LK,14730,Nordsachsen,GE,14730250,Rackwitz,"3,605",407,0,"4,012","2,470",377,376,47,"2,423","7,004","1,720",897,736,"1,674",x,x,409,x,x,x,x,x,x,x,x,"1,568",x,x,61.6,1.9,98.1,24.6,12.8,10.5,23.9,x,x,5.8,x,x,x,x,x,x,x,x,22.4,x
GR19,LK,14730,Nordsachsen,GE,14730270,"Schkeuditz, Stadt","13,136","1,631",0,"14,767","7,723","1,493","1,482",260,"7,463","21,287","4,297","2,209","2,129",x,"2,405",x,"2,477",x,x,x,x,x,"7,770",x,x,x,x,x,52.3,3.4,96.6,20.2,10.4,10.0,x,11.3,x,11.6,x,x,x,x,x,36.5,x,x,x,x
GR19,LK,14730,Nordsachsen,GE,14730280,Schönwölkau,"1,891",211,0,"2,102","1,295",178,107,56,"1,239","3,587","2,045",579,384,x,x,x,157,x,x,x,x,x,x,x,x,422,x,x,61.6,4.3,95.7,57.0,16.1,10.7,x,x,x,4.4,x,x,x,x,x,x,x,x,11.8,x
GR19,LK,14730,Nordsachsen,GE,14730300,"Taucha, Stadt","11,237","1,657",0,"12,894","7,998","1,513","1,513",127,"7,871","22,844","5,061","2,386","3,903","3,948","2,558",x,"2,973",x,x,x,x,x,x,x,x,"2,015",x,x,62.0,1.6,98.4,22.2,10.4,17.1,17.3,11.2,x,13.0,x,x,x,x,x,x,x,x,8.8,x
GR19,LK,14730,Nordsachsen,GE,14730310,"Torgau, Stadt","14,823","1,586",0,"16,409","8,527","1,437","1,424",251,"8,276","23,949","7,250","3,003","3,507","4,356","1,934",x,x,x,x,x,x,x,x,x,x,"3,899",x,x,52.0,2.9,97.1,30.3,12.5,14.6,18.2,8.1,x,x,x,x,x,x,x,x,x,x,16.3,x
GR19,LK,14730,Nordsachsen,GE,14730320,Trossin,984,86,0,"1,070",725,81,81,18,707,"2,053",412,109,x,222,x,x,x,x,x,x,x,x,x,x,x,"1,310",x,x,67.8,2.5,97.5,20.1,5.3,x,10.8,x,x,x,x,x,x,x,x,x,x,x,63.8,x
GR19,LK,14730,Nordsachsen,GE,14730330,Wermsdorf,"3,748",610,0,"4,358","2,777",552,551,86,"2,691","7,716","2,717",x,"1,589","1,513",x,x,415,x,x,x,x,x,x,x,x,"1,482",x,x,63.7,3.1,96.9,35.2,x,20.6,19.6,x,x,5.4,x,x,x,x,x,x,x,x,19.2,x
GR19,LK,14730,Nordsachsen,GE,14730340,Wiedemar,"3,802",524,0,"4,326","2,398",457,457,64,"2,334","6,809","3,185",x,899,x,x,x,x,x,x,x,x,x,x,x,x,"2,725",x,x,55.4,2.7,97.3,46.8,x,13.2,x,x,x,x,x,x,x,x,x,x,x,x,40.0,x
GR19,LK,14730,Nordsachsen,GE,14730360,Zschepplin,"2,156",148,0,"2,304","1,435",139,137,58,"1,377","4,010","1,488",x,x,x,x,x,x,x,x,x,x,x,x,x,x,"2,522",x,x,62.3,4.0,96.0,37.1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,62.9,x
