Bremen;HB;2023;9;9;23;4;21;0;72
Bremerhaven;HB;2023;1;2;4;1;3;0;15
Bremen;HB;2019;9;13;19;4;20;4;69
Bremerhaven;HB;2019;1;3;4;1;4;1;15
Bremen;HB;2015;7;12;24;5;16;4;68
Bremerhaven;HB;2015;1;2;6;1;4;0;15
Bremen;HB;2011;5;17;30;0;16;0;68
Bremerhaven;HB;2011;0;4;6;0;4;0;15
Bremen;HB;2007;6;12;27;4;19;0;68
Bremerhaven;HB;2007;1;2;5;1;4;0;15
Bremen;HB;2003;0;10;34;0;23;0;67
Bremerhaven;HB;2003;0;2;6;1;6;0;16
Bremen;HB;1999;0;8;38;0;34;0;80
Bremerhaven;HB;1999;0;2;9;0;8;0;20
