Air Quality Station EoI Code,Air Pollutant,Year,Air Pollution Level,Unit Of Air Pollution Level,Air Quality Station Type,Air Quality Station Area,Longitude,Latitude,State,District,City,Yearly Difference,Yearly Mean Difference,Normalized Difference
DEBB006,SO2,2001,5.484,ug/m3,Background,urban,14.3228,51.7408,BB,Cottbus,Cottbus,-0.014000000000000234,-0.2467912087912088,0.056728114703002104
DEBB006,SO2,2002,5.239,ug/m3,Background,urban,14.3228,51.7408,BB,Cottbus,Cottbus,-0.2450000000000001,0.051846153846153854,-4.725519287833829
DEBB064,SO2,2002,15.803,ug/m3,Background,urban,14.3345,51.7468,BB,Cottbus,Cottbus,10.564,0.051846153846153854,203.75667655786347
DEBB064,SO2,2003,5.912,ug/m3,Background,urban,14.3345,51.7468,BB,Cottbus,Cottbus,-9.891000000000002,0.14543142857142857,-68.0114339600401
DEBB064,SO2,2004,4.526,ug/m3,Background,urban,14.3345,51.7468,BB,Cottbus,Cottbus,-1.3860000000000001,-0.4348024691358025,3.1876543910957156
DEBB064,SO2,2005,4.881,ug/m3,Background,urban,14.3345,51.7468,BB,Cottbus,Cottbus,0.3550000000000004,0.11199680511182111,3.1697332762801342
DEBB064,SO2,2006,5.333,ug/m3,Background,urban,14.3345,51.7468,BB,Cottbus,Cottbus,0.45199999999999996,-0.00441059602649007,-102.48048048048038
DEBB064,SO2,2007,4.79,ug/m3,Background,urban,14.3345,51.7468,BB,Cottbus,Cottbus,-0.5430000000000001,-0.38034262948207176,1.427660109358306
DEBB064,SO2,2008,3.766,ug/m3,Background,urban,14.3345,51.7468,BB,Cottbus,Cottbus,-1.024,-0.1936810344827586,5.28704321894334
DEBB064,SO2,2009,2.88,ug/m3,Background,urban,14.3345,51.7468,BB,Cottbus,Cottbus,-0.8860000000000001,-0.1544830917874396,5.735255488148103
DEBB064,SO2,2010,3.942,ug/m3,Background,urban,14.3345,51.7468,BB,Cottbus,Cottbus,1.0620000000000003,-0.15287745098039215,-6.946740629108284
DEBB064,SO2,2011,2.742,ug/m3,Background,urban,14.3345,51.7468,BB,Cottbus,Cottbus,-1.2000000000000002,-0.32179802955665027,3.729047072330655
DEBB064,SO2,2012,2.864,ug/m3,Background,urban,14.3345,51.7468,BB,Cottbus,Cottbus,0.12199999999999989,-0.07368877551020409,-1.655611715017654
DEBB064,SO2,2013,2.451,ug/m3,Background,Urban,14.3345,51.7468,BB,Cottbus,Cottbus,-0.4129999999999998,-0.0844,4.89336492890995
DEBB064,SO2,2014,2.698,ug/m3,Background,Urban,14.3345,51.7468,BB,Cottbus,Cottbus,0.2469999999999999,-0.12961971830985913,-1.9055742692600233
DEBB064,SO2,2015,1.811,ug/m3,Background,Urban,14.3345,51.7468,BB,Cottbus,Cottbus,-0.887,-0.26913868613138686,3.2956986331091342
DEBB064,SO2,2016,2.307,ug/m3,Background,Urban,14.3345,51.7468,BB,Cottbus,Cottbus,0.496,-0.13095620437956207,-3.7875257789420873
DEBB064,SO2,2017,1.937,ug/m3,Background,Urban,14.3345,51.7468,BB,Cottbus,Cottbus,-0.3699999999999999,0.0027596899224806336,-134.07303370786448
DEBB064,SO2,2018,1.795,ug/m3,Background,Urban,14.3345,51.7468,BB,Cottbus,Cottbus,-0.14200000000000013,0.009551999999999996,-14.865996649916267
DEBB064,SO2,2019,1.432,ug/m3,Background,Urban,14.3345,51.7468,BB,Cottbus,Cottbus,-0.363,-0.24638938053097345,1.4732777817685512
DEBB064,SO2,2020,1.613,ug/m3,Background,Urban,14.3345,51.7468,BB,Cottbus,Cottbus,0.18100000000000005,0.005776785714285719,31.332302936630587
DEBB064,SO2,2021,2.286,ug/m3,Background,Urban,14.3345,51.7468,BB,Cottbus,Cottbus,0.673,0.0001759259259259189,3825.4736842106795
DEBB064,SO2,2022,1.538,ug/m3,Background,Urban,14.3345,51.7468,BB,Cottbus,Cottbus,-0.748,0.10300934579439251,-7.261477045908184
DEBB064,SO2,2023,1.5,ug/m3,Background,Urban,14.3345,51.7468,BB,Cottbus,Cottbus,-0.038000000000000034,-0.1334190476190476,0.28481690341923077
DEBB064,SO2,2024,1.568,ug/m3,Background,Urban,14.3345,51.7468,BB,Cottbus,Cottbus,0.06800000000000006,0.06028865979381443,1.1279069767441872
DEBB064,SO2,2025,1.676,ug/m3,Background,Urban,14.3345,51.7468,BB,Cottbus,Cottbus,0.10799999999999987,0.1794494382022472,0.6018408365161848
DEBB110,SO2,2019,1.578,ug/m3,Background,Suburban,13.0488,52.5395,BB,Havelland,Dallgow-Döberitz,,-0.24638938053097345,
DEBB110,SO2,2020,1.576,ug/m3,Background,Suburban,13.0488,52.5395,BB,Havelland,Dallgow-Döberitz,-0.0020000000000000018,0.005776785714285719,-0.34621329211746527
DEBB110,SO2,2021,1.805,ug/m3,Background,Suburban,13.0488,52.5395,BB,Havelland,Dallgow-Döberitz,0.22899999999999987,0.0001759259259259189,1301.684210526367
DEBB110,SO2,2022,1.805,ug/m3,Background,Suburban,13.0488,52.5395,BB,Havelland,Dallgow-Döberitz,0.0,0.10300934579439251,0.0
DEBB110,SO2,2023,2.067,ug/m3,Background,Suburban,13.0488,52.5395,BB,Havelland,Dallgow-Döberitz,0.26200000000000023,-0.1334190476190476,-1.963737597258907
DEBB110,SO2,2024,1.351,ug/m3,Background,Suburban,13.0488,52.5395,BB,Havelland,Dallgow-Döberitz,-0.7160000000000002,0.06028865979381443,-11.87619699042408
DEBB110,SO2,2025,1.228,ug/m3,Background,Suburban,13.0488,52.5395,BB,Havelland,Dallgow-Döberitz,-0.123,0.1794494382022472,-0.685429841587878
DEUB023,SO2,1991,30.863,ug/m3,Background,rural,13.5747,51.6454,BB,Elbe-Elster,Doberlug-Kirchhain,,0.557659375,
DEUB023,SO2,1992,33.162,ug/m3,Background,rural,13.5747,51.6454,BB,Elbe-Elster,Doberlug-Kirchhain,2.2989999999999995,-4.076051470588236,-0.5640262436794546
DEUB023,SO2,1993,32.283,ug/m3,Background,rural,13.5747,51.6454,BB,Elbe-Elster,Doberlug-Kirchhain,-0.8789999999999978,-0.5780514541387024,1.5206258780366
DEUB023,SO2,1994,20.378,ug/m3,Background,rural,13.5747,51.6454,BB,Elbe-Elster,Doberlug-Kirchhain,-11.905000000000001,-3.604141818181818,3.303144160405352
DEUB023,SO2,1995,16.437,ug/m3,Background,rural,13.5747,51.6454,BB,Elbe-Elster,Doberlug-Kirchhain,-3.940999999999999,-3.681575313807531,1.0704656740878045
DEUB023,SO2,1996,19.058,ug/m3,Background,rural,13.5747,51.6454,BB,Elbe-Elster,Doberlug-Kirchhain,2.6209999999999987,0.18959964412811386,13.82386560930974
DEUB023,SO2,1997,12.832,ug/m3,Background,rural,13.5747,51.6454,BB,Elbe-Elster,Doberlug-Kirchhain,-6.225999999999999,-2.4013371900826446,2.592722099050873
DEUB023,SO2,1998,5.566,ug/m3,Background,rural,13.5747,51.6454,BB,Elbe-Elster,Doberlug-Kirchhain,-7.266000000000001,-1.3280461285008238,5.471195498459294
DEBB034,SO2,1997,7.788,ug/m3,Traffic,suburban,13.8007,52.8351,BB,Barnim,Eberswalde,,-2.4013371900826446,
DEBB032,SO2,1994,28.316,ug/m3,Industrial,suburban,14.6382,52.1463,BB,Oder-Spree,Eisenhüttenstadt,,-3.604141818181818,
DEBB032,SO2,1995,28.05,ug/m3,Industrial,suburban,14.6382,52.1463,BB,Oder-Spree,Eisenhüttenstadt,-0.26599999999999824,-3.681575313807531,0.07225167960095259
DEBB032,SO2,1996,17.608,ug/m3,Industrial,suburban,14.6382,52.1463,BB,Oder-Spree,Eisenhüttenstadt,-10.442,0.18959964412811386,-55.073943034113846
DEBB032,SO2,1997,11.28,ug/m3,Industrial,suburban,14.6382,52.1463,BB,Oder-Spree,Eisenhüttenstadt,-6.328000000000001,-2.4013371900826446,2.6351984328290925
DEBB032,SO2,1998,8.012,ug/m3,Industrial,suburban,14.6382,52.1463,BB,Oder-Spree,Eisenhüttenstadt,-3.267999999999999,-1.3280461285008238,2.4607578982885996
DEBB032,SO2,1999,5.865,ug/m3,Industrial,suburban,14.6382,52.1463,BB,Oder-Spree,Eisenhüttenstadt,-2.1470000000000002,-0.9107466063348416,2.3574065333498946
DEBB032,SO2,2000,5.357,ug/m3,Industrial,suburban,14.6382,52.1463,BB,Oder-Spree,Eisenhüttenstadt,-0.508,-0.5910747863247863,0.8594513109900479
DEBB032,SO2,2001,6.066,ug/m3,Industrial,suburban,14.6382,52.1463,BB,Oder-Spree,Eisenhüttenstadt,0.7089999999999996,-0.2467912087912088,-2.8728738088876997
DEBB032,SO2,2002,5.692,ug/m3,Industrial,suburban,14.6382,52.1463,BB,Oder-Spree,Eisenhüttenstadt,-0.37399999999999967,0.051846153846153854,-7.21364985163204
DEBB032,SO2,2003,5.923,ug/m3,Industrial,suburban,14.6382,52.1463,BB,Oder-Spree,Eisenhüttenstadt,0.23099999999999987,0.14543142857142857,1.5883774385571985
DEBB032,SO2,2004,5.141,ug/m3,Industrial,suburban,14.6382,52.1463,BB,Oder-Spree,Eisenhüttenstadt,-0.782,-0.4348024691358025,1.7985178454811324
DEBB032,SO2,2005,5.123,ug/m3,Industrial,suburban,14.6382,52.1463,BB,Oder-Spree,Eisenhüttenstadt,-0.017999999999999794,0.11199680511182111,-0.16071887034659632
DEBB032,SO2,2006,5.243,ug/m3,Industrial,suburban,14.6382,52.1463,BB,Oder-Spree,Eisenhüttenstadt,0.1200000000000001,-0.00441059602649007,-27.207207207207208
DEBB032,SO2,2007,4.456,ug/m3,Industrial,suburban,14.6382,52.1463,BB,Oder-Spree,Eisenhüttenstadt,-0.7869999999999999,-0.38034262948207176,2.069186935662958
DEBB032,SO2,2008,3.881,ug/m3,Industrial,suburban,14.6382,52.1463,BB,Oder-Spree,Eisenhüttenstadt,-0.5750000000000006,-0.1936810344827586,2.968798682512132
DEBB032,SO2,2009,3.121,ug/m3,Industrial,suburban,14.6382,52.1463,BB,Oder-Spree,Eisenhüttenstadt,-0.7599999999999998,-0.1544830917874396,4.919632247169928
DEBB032,SO2,2010,3.759,ug/m3,Industrial,suburban,14.6382,52.1463,BB,Oder-Spree,Eisenhüttenstadt,0.6379999999999999,-0.15287745098039215,-4.173277327091416
DEBB032,SO2,2011,3.473,ug/m3,Industrial,suburban,14.6382,52.1463,BB,Oder-Spree,Eisenhüttenstadt,-0.28600000000000003,-0.32179802955665027,0.8887562189054726
DEBB032,SO2,2012,2.922,ug/m3,Industrial,suburban,14.6382,52.1463,BB,Oder-Spree,Eisenhüttenstadt,-0.5509999999999997,-0.07368877551020409,7.477393893235473
DEBB032,SO2,2013,2.515,ug/m3,Industrial,Suburban,14.6382,52.1463,BB,Oder-Spree,Eisenhüttenstadt,-0.40700000000000003,-0.0844,4.822274881516588
DEBB032,SO2,2014,3.259,ug/m3,Industrial,Suburban,14.6382,52.1463,BB,Oder-Spree,Eisenhüttenstadt,0.7439999999999998,-0.12961971830985913,-5.739867434532217
DEBB032,SO2,2015,2.223,ug/m3,Industrial,Suburban,14.6382,52.1463,BB,Oder-Spree,Eisenhüttenstadt,-1.036,-0.26913868613138686,3.8493165545671513
DEBB032,SO2,2016,2.111,ug/m3,Industrial,Suburban,14.6382,52.1463,BB,Oder-Spree,Eisenhüttenstadt,-0.11199999999999966,-0.13095620437956207,0.8552477565353074
DEBB032,SO2,2017,2.172,ug/m3,Industrial,Suburban,14.6382,52.1463,BB,Oder-Spree,Eisenhüttenstadt,0.06099999999999994,0.0027596899224806336,22.103932584269536
