KreisNr,GemeindeNr,Gemeindename,Anzahl Stimmbezirke,Zu vergebene Sitze,Mehrheitswahl,Wahlberechtiget,Wähler,Wahlbeteiligung,Ungültige Stimmabgaben,Gültige Stimmabgaben,Gültige Stimmen,CDU,DIE LINKE,SPD,FDP,GRÜNE,Sonstige
61,61092,Steinrode,8,,461,314,68.1,32,282,836,-,-,-,-,-,100
61,61093,St�ckey,6,,363,286,78.8,7,279,836,36.2,-,-,63.8,-,-
61,61094,Tastungen,6,x,225,160,71.1,21,139,613,-,-,-,-,-,100
61,61096,Thalwenden,6,x,311,179,57.6,7,172,1019,-,-,-,-,-,100
61,61097,Uder,14,,2092,1114,53.3,40,1074,2864,69,-,-,-,-,31
61,61098,Volkerode,6,x,233,130,55.8,14,116,589,95.9,-,-,-,-,4.1
61,61099,Vollenborn,6,x,225,148,65.8,3,145,748,-,-,-,-,-,100
61,61101,Wachstedt,8,,477,386,80.9,7,379,1125,49.2,-,-,50.8,-,-
61,61102,Wahlhausen,6,x,253,194,76.7,3,191,1049,-,-,-,-,-,100
61,61103,Wehnde,6,,320,232,72.5,8,224,658,21.6,-,-,-,-,78.4
61,61104,Wei�enborn-L�derode,12,x,1203,657,54.6,23,634,6023,99.5,-,-,-,-,0.5
61,61105,Wiesenfeld,6,x,206,112,54.4,1,111,609,-,-,-,-,-,100
61,61107,Wingerode,12,,996,624,62.7,30,594,1757,78.8,-,-,-,-,21.2
61,61111,W�stheuterode,8,,524,371,70.8,35,336,989,60.2,-,-,-,-,39.8
61,61112,Zwinge,6,x,363,154,42.4,12,142,641,-,-,-,-,-,100
61,61113,Schimberg,14,,1918,1272,66.3,72,1200,3548,41.2,-,-,-,-,58.8
61,61114,Teistungen,14,,2005,1125,56.1,43,1082,3227,70.6,9.8,-,19.6,-,-
61,61115,"Leinefelde-Worbis, Stadt",30,,16614,8049,48.4,367,7682,22914,54.2,14.7,11.4,1.2,-,18.6
62,62001,Auleben,12,,928,649,69.9,35,614,1813,28.6,-,29.6,-,-,41.8
62,62002,"Bleicherode, Stadt",20,,5390,2339,43.4,65,2274,6746,45,31.4,23.6,-,-,-
62,62004,Buchholz,6,,189,143,75.7,17,126,370,-,-,-,-,-,100
62,62005,"Ellrich, Stadt",20,,5219,2399,46,93,2306,6838,31.9,24.1,27.6,10.2,-,6.2
62,62006,Etzelsrode,6,x,85,67,78.8,2,65,355,-,-,-,-,-,100
62,62007,Friedrichsthal,6,,233,165,70.8,8,157,468,-,-,-,-,-,100
62,62008,G�rsbach,12,,984,552,56.1,46,506,1477,24.1,5.5,-,-,-,70.4
62,62009,Gro�lohra,12,,888,463,52.1,19,444,1321,33.4,-,-,-,-,66.6
