KreisNr,GemeindeNr,Gemeindename,Zu vergebene Sitze,Mehrheitswahl,Wahlberechtiget,Wähler,Wahlbeteiligung,Ungültige Stimmabgaben,Gültige Stimmabgaben,Gültige Stimmen,CDU,SPD,DIE LINKE,FDP,GRÜNE,Sonstige
73,73052,Lositz-Jehmichen,6,,87,76,87.4,3,73,219,-,-,-,-,-,6
73,73053,Marktgölitz,8,,528,398,75.4,14,384,1145,-,-,1,-,-,7
73,73054,Mellenbach-Glasbach,12,,1178,1007,85.5,47,960,2829,4,3,3,2,-,-
73,73055,Meura,8,,438,369,84.2,24,345,1012,5,3,-,-,-,-
73,73056,Meuselbach-Schwarzmühle,12,,1371,1032,75.3,98,934,2743,5,-,-,2,-,5
73,73057,Milbitz b. Teichel,6,x,69,58,84.1,9,49,243,-,-,-,-,-,6
73,73058,Munschwitz,6,x,98,87,88.8,1,86,460,-,-,-,-,-,6
73,73059,Neckeroda,6,x,144,108,75,26,82,359,-,-,-,-,-,6
73,73061,Neuenbeuthen,6,,80,76,95,4,72,216,-,-,-,2,-,4
73,73062,Niederkrossen,6,,247,206,83.4,22,184,538,2,-,-,-,-,4
73,73063,Oberhain,8,,690,558,80.9,40,518,1527,-,-,-,-,-,8
73,73064,Oberpreilipp,6,,86,73,84.9,-,73,219,-,-,-,-,-,6
73,73065,"Oberweißbach/Thür. Wald, Stadt",12,,1481,1219,82.3,30,1189,3538,4,4,-,1,-,3
73,73066,Piesau,12,,799,644,80.6,55,589,1747,-,-,2,-,-,10
73,73067,Probstzella,16,,2834,2054,72.5,89,1965,5807,4,2,2,5,2,1
73,73068,Reichmannsdorf,8,,805,614,76.3,47,567,1684,-,-,-,-,-,8
73,73069,Reitzengeschwenda,6,,205,169,82.4,10,159,470,-,-,-,-,-,6
73,73071,"Remda, Stadt",12,,878,722,82.2,20,702,2064,3,1,-,3,-,5
73,73072,Reschwitz,6,,305,236,77.4,12,224,642,-,-,1,5,-,-
73,73073,Rödelwitz,6,x,63,61,96.8,5,56,270,6,-,-,-,-,-
73,73074,Rohrbach,6,,193,181,93.8,5,176,523,3,2,-,1,-,-
73,73075,Rottenbach,14,,1744,1400,80.3,58,1342,3892,3,-,-,1,-,10
73,73076,"Rudolstadt, Stadt",30,,23110,14968,64.8,459,14509,42726,7,7,5,2,2,7
73,73077,"Saalfeld/Saale, Stadt",36,,25210,16047,63.7,582,15465,45789,11,10,7,2,3,3
73,73078,Schloßkulm,6,x,56,54,96.4,-,54,314,-,-,-,-,-,6
73,73079,Schmiedefeld,12,,1126,894,79.4,67,827,2407,3,-,-,4,-,5
73,73081,Schmieden,6,x,38,37,97.4,1,36,202,-,-,-,-,-,6
73,73082,Schwarzburg,8,,607,483,79.6,39,444,1312,-,-,-,5,-,3
73,73083,Schweinbach,6,,128,102,79.7,5,97,289,-,-,-,-,-,6
