City,Year,Average,Air Quality Station Type
Annaberg-Buchholz,2009,43.46,Background
Annaberg-Buchholz,2010,46.11,Background
Annaberg-Buchholz,2011,44.049,Background
Annaberg-Buchholz,2012,46.767,Background
Annaberg-Buchholz,2013,48.037,Background
Annaberg-Buchholz,2014,43.11,Background
Annaberg-Buchholz,2015,49.837,Background
Annaberg-Buchholz,2016,45.908,Background
Annaberg-Buchholz,2017,48.498,Background
Annaberg-Buchholz,2018,50.955,Background
Annaberg-Buchholz,2019,51.623,Background
Annaberg-Buchholz,2020,47.78,Background
Annaberg-Buchholz,2021,46.678,Background
Annaberg-Buchholz,2022,50.019,Background
Annaberg-Buchholz,2023,52.513,Background
Annaberg-Buchholz,2024,50.961,Background
Annaberg-Buchholz,2025,69.807,Background
Ansbach,1988,37.695,Background
Ansbach,1989,46.813,Background
Ansbach,1990,18.431,Traffic
Ansbach,1990,42.003,Background
Ansbach,1991,32.707,Traffic
Ansbach,1991,37.947,Background
Ansbach,1992,33.702,Traffic
Ansbach,1992,48.306,Background
Ansbach,1993,35.4,Traffic
Ansbach,1993,58.627,Background
Ansbach,1994,41.176,Traffic
Ansbach,1994,45.516,Background
Ansbach,1995,38.573,Traffic
Ansbach,1995,52.029,Background
Ansbach,1996,32.591,Traffic
Ansbach,1996,54.3255,Background
Ansbach,1997,31.902,Traffic
Ansbach,1997,42.541,Background
Ansbach,1998,37.044,Traffic
Ansbach,1998,43.9075,Background
Ansbach,1999,33.841,Traffic
Ansbach,1999,52.0245,Background
Ansbach,2000,32.984,Traffic
Ansbach,2000,48.9255,Background
Ansbach,2001,35.647,Traffic
Ansbach,2001,23.5735,Background
Ansbach,2002,36.063,Traffic
Ansbach,2003,39.808,Traffic
Ansbach,2004,35.259,Traffic
Ansbach,2005,36.567,Traffic
Ansbach,2006,38.071,Traffic
Ansbach,2007,37.196,Traffic
Ansbach,2008,36.331,Traffic
Ansbach,2009,33.917,Traffic
Ansbach,2010,34.73,Traffic
Ansbach,2011,34.096,Traffic
Ansbach,2012,30.661,Traffic
Arnstadt,1996,31.492,Background
Arnstadt,1997,37.909,Background
Arnstadt,1998,46.964,Background
Arnstadt,1999,49.237,Background
Arnstadt,2000,48.317,Background
Arnstadt,2001,46.913,Background
Arnstadt,2002,46.18,Background
Arnstadt,2003,52.593,Background
Arnstadt,2004,48.593,Background
Arzberg,1990,33.818,Background
Arzberg,1991,34.558,Background
Arzberg,1992,34.059,Background
Arzberg,1993,38.838,Background
Arzberg,1994,41.318,Background
Arzberg,1995,40.146,Background
Arzberg,1996,38.81,Background
