,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Wahlen zu den Kreistagen und Stadtverordnetenversammlungen  der Stadtkreise nach Gemeinden in Mecklenburg - Vorpommern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,          am 06. Mai 1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,                                         hier: nach dem Landkreisneuordnungsgesetz  - Gebietsstand: 01.Juli 1993 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,                   S t i m m z e t t e l,,,,Stimmen,                  Von den insgesamt abgegebenen Stimmen entfielen auf,,,,,,,,,               Von den insgesamt abgegebenen Stimmen entfielen auf,,,,,,,,,,              Von den insgesamt abgegebenen Stimmen entfielen auf,,,,,,,,
Gemeinde-,Stadtkreise,Wahl-,Wähler,Wahl-,        g ü   l   t   i  g ,,      u n g ü l t i g ,,ins-,          Bauern,,               B.F.D.,,               CDU,,                DBD,,              DFD,,              DSU,,        Grünen,,          NF      u.a.,,             PDS,,              SPD,,            B V,,            VS,,            EV,,       Sonstige,
Nummer,Landkreis,berechtigte,,beteiligung,,,,,gesamt,,,                  u.a.,,                 u.a.,,,,                 u.a.,,,,           u.a.,,      einschl. Bü. 90     ,,,,              u.a.,,,,,,,,,
,Gemeinde,                 A n z a h l,,%,Anzahl,%,Anzahl,%,Anzahl,Anzahl,%,Anzahl,%,Anzahl,%,Anzahl,%,Anzahl,%,Anzahl,%,Anzahl,%,Anzahl,%,Anzahl,%,Anzahl,%,Anzahl,%,Anzahl,%,Anzahl,%,Anzahl,%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stadtkreise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
006,BARTENSHAGEN-PARKENTIN,577,485,84.06,440,90.72,45,9.28,1287,9,0.70,55,4.27,251,19.50,59,4.58,9,0.70,0,0.00,0,0.00,596,46.31,105,8.16,182,14.14,0,0.00,21,1.63,0,0.00,0,0.00
007,BASTORF,754,597,79.18,533,89.28,64,10.72,1487,49,3.30,33,2.22,441,29.66,359,24.14,41,2.76,0,0.00,0,0.00,0,0.00,131,8.81,375,25.22,0,0.00,21,1.41,0,0.00,37,2.49
008,BENITZ,156,120,76.92,119,99.17,1,0.83,300,58,19.33,5,1.67,21,7.00,94,31.33,0,0.00,3,1.00,0,0.00,0,0.00,54,18.00,65,21.67,0,0.00,0,0.00,0,0.00,0,0.00
009,BENTWISCH,900,705,78.33,606,85.96,99,14.04,1776,104,5.86,64,3.60,507,28.55,142,8.00,0,0.00,0,0.00,0,0.00,185,10.42,424,23.87,350,19.71,0,0.00,0,0.00,0,0.00,0,0.00
010,BIENDORF,601,439,73.04,429,97.72,10,2.28,1263,35,2.77,21,1.66,324,25.65,178,14.09,22,1.74,0,0.00,0,0.00,0,0.00,79,6.25,562,44.50,0,0.00,16,1.27,0,0.00,26,2.06
011,BLANKENHAGEN,517,399,77.18,358,89.72,41,10.28,1037,61,5.88,67,6.46,181,17.45,143,13.79,0,0.00,0,0.00,0,0.00,100,9.64,285,27.48,200,19.29,0,0.00,0,0.00,0,0.00,0,0.00
012,BÖLKOW,839,665,79.26,619,93.08,46,6.92,1726,343,19.87,34,1.97,174,10.08,222,12.86,25,1.45,0,0.00,0,0.00,0,0.00,657,38.06,167,9.68,0,0.00,36,2.09,42,2.43,26,1.51
013,BÖRGERENDE-RETHWISCH,596,506,84.90,470,92.89,36,7.11,1355,6,0.44,101,7.45,281,20.74,81,5.98,10,0.74,0,0.00,0,0.00,626,46.20,85,6.27,152,11.22,0,0.00,13,0.96,0,0.00,0,0.00
014,BRÖBBEROW,241,179,74.27,153,85.47,26,14.53,446,16,3.59,9,2.02,187,41.93,59,13.23,0,0.00,16,3.59,0,0.00,0,0.00,111,24.89,48,10.76,0,0.00,0,0.00,0,0.00,0,0.00
015,BRODERSTORF,942,694,73.67,633,91.21,61,8.79,1841,0,0.00,40,2.17,571,31.02,453,24.61,0,0.00,0,0.00,52,2.82,107,5.81,283,15.37,316,17.16,0,0.00,0,0.00,0,0.00,19,1.03
016,CAMMIN,709,576,81.24,523,90.80,53,9.20,1510,143,9.47,32,2.12,319,21.13,271,17.95,23,1.52,0,0.00,0,0.00,98,6.49,609,40.33,0,0.00,0,0.00,15,0.99,0,0.00,0,0.00
017,DAMM,297,249,83.84,223,89.56,26,10.44,623,0,0.00,12,1.93,113,18.14,158,25.36,95,15.25,0,0.00,20,3.21,73,11.72,80,12.84,72,11.56,0,0.00,0,0.00,0,0.00,0,0.00
018,DUMMERSTORF,1693,1329,78.50,1208,90.90,121,9.10,3385,0,0.00,86,2.54,908,26.82,178,5.26,34,1.00,0,0.00,611,18.05,325,9.60,799,23.60,444,13.12,0,0.00,0,0.00,0,0.00,0,0.00
019,ELMENHORST/LICHTENHAGEN,876,747,85.27,646,86.48,101,13.52,1877,40,2.13,46,2.45,845,45.02,92,4.90,64,3.41,0,0.00,0,0.00,122,6.50,279,14.86,389,20.72,0,0.00,0,0.00,0,0.00,0,0.00
020,GELBENSANDE,1438,1046,72.74,1018,97.32,28,2.68,2516,50,1.99,648,25.76,455,18.08,74,2.94,0,0.00,0,0.00,0,0.00,227,9.02,746,29.65,316,12.56,0,0.00,0,0.00,0,0.00,0,0.00
021,GNEWITZ,161,122,75.78,109,89.34,13,10.66,310,52,16.77,11,3.55,51,16.45,105,33.87,6,1.94,0,0.00,0,0.00,44,14.19,36,11.61,0,0.00,0,0.00,5,1.61,0,0.00,0,0.00
022,"GRAAL-MÜRITZ, SEEHEILBAD",2879,2189,76.03,1977,90.32,212,9.68,5638,71,1.26,373,6.62,1444,25.61,109,1.93,0,0.00,0,0.00,0,0.00,845,14.99,1692,30.01,1104,19.58,0,0.00,0,0.00,0,0.00,0,0.00
023,GRAMMOW,184,142,77.17,135,95.07,7,4.93,376,180,47.87,3,0.80,82,21.81,22,5.85,5,1.33,0,0.00,0,0.00,30,7.98,48,12.77,0,0.00,0,0.00,6,1.60,0,0.00,0,0.00
024,GROß LÜSEWITZ,823,680,82.62,616,90.59,64,9.41,1811,0,0.00,98,5.41,207,11.43,383,21.15,0,0.00,0,0.00,120,6.63,334,18.44,364,20.10,292,16.12,0,0.00,0,0.00,0,0.00,13,0.72
025,GUBKOW,228,200,87.72,156,78.00,44,22.00,456,0,0.00,55,12.06,100,21.93,67,14.69,0,0.00,0,0.00,23,5.04,19,4.17,93,20.39,93,20.39,0,0.00,0,0.00,0,0.00,6,1.32
026,HANSTORF,478,366,76.57,290,79.23,76,20.77,821,25,3.05,21,2.56,144,17.54,160,19.49,19,2.31,0,0.00,0,0.00,52,6.33,134,16.32,248,30.21,0,0.00,18,2.19,0,0.00,0,0.00
027,HEILIGENHAGEN,303,271,89.44,265,97.79,6,2.21,681,41,6.02,43,6.31,176,25.84,172,25.26,13,1.91,0,0.00,0,0.00,0,0.00,32,4.70,107,15.71,0,0.00,15,2.20,71,10.43,11,1.62
028,HOHENFELDE,332,281,84.64,265,94.31,16,5.69,780,12,1.54,39,5.00,222,28.46,94,12.05,16,2.05,0,0.00,0,0.00,97,12.44,98,12.56,195,25.00,0,0.00,7,0.90,0,0.00,0,0.00
029,JENNEWITZ,368,303,82.34,251,82.84,52,17.16,739,66,8.93,34,4.60,196,26.52,94,12.72,34,4.60,0,0.00,0,0.00,0,0.00,113,15.29,153,20.70,0,0.00,24,3.25,0,0.00,25,3.38
030,JÖRNSTORF,133,94,70.68,91,96.81,3,3.19,255,2,0.78,10,3.92,104,40.78,38,14.90,21,8.24,0,0.00,0,0.00,0,0.00,19,7.45,47,18.43,0,0.00,3,1.18,0,0.00,11,4.31
031,KAMIN,216,173,80.09,155,89.60,18,10.40,460,56,12.17,23,5.00,133,28.91,71,15.43,24,5.22,0,0.00,0,0.00,0,0.00,62,13.48,72,15.65,0,0.00,12,2.61,2,0.43,5,1.09
032,KARIN,219,162,73.97,137,84.57,25,15.43,381,37,9.71,12,3.15,116,30.45,34,8.92,16,4.20,0,0.00,0,0.00,0,0.00,28,7.35,131,34.38,0,0.00,2,0.52,1,0.26,4,1.05
033,KASSOW,325,277,85.23,220,79.42,57,20.58,644,47,7.30,28,4.35,182,28.26,86,13.35,0,0.00,30,4.66,0,0.00,0,0.00,144,22.36,127,19.72,0,0.00,0,0.00,0,0.00,0,0.00
034,KAVELSTORF,814,647,79.48,566,87.48,81,12.52,1633,0,0.00,128,7.84,249,15.25,91,5.57,51,3.12,0,0.00,71,4.35,337,20.64,415,25.41,291,17.82,0,0.00,0,0.00,0,0.00,0,0.00
035,KESSIN,357,296,82.91,276,93.24,20,6.76,751,0,0.00,41,5.46,147,19.57,73,9.72,11,1.46,0,0.00,49,6.52,159,21.17,147,19.57,124,16.51,0,0.00,0,0.00,0,0.00,0,0.00
036,KIRCH MULSOW,258,244,94.57,223,91.39,21,8.61,659,205,31.11,59,8.95,102,15.48,91,13.81,27,4.10,0,0.00,0,0.00,0,0.00,70,10.62,70,10.62,0,0.00,26,3.95,4,0.61,5,0.76
037,KLEIN KUSSEWITZ,377,266,70.56,217,81.58,49,18.42,614,18,2.93,16,2.61,360,58.63,39,6.35,0,0.00,0,0.00,0,0.00,40,6.51,111,18.08,30,4.89,0,0.00,0,0.00,0,0.00,0,0.00
038,KOWALZ,110,91,82.73,79,86.81,12,13.19,227,42,18.50,4,1.76,30,13.22,27,11.89,23,10.13,0,0.00,0,0.00,76,33.48,20,8.81,0,0.00,0,0.00,5,2.20,0,0.00,0,0.00
039,KREMPIN,142,111,78.17,98,88.29,13,11.71,285,125,43.86,1,0.35,53,18.60,47,16.49,9,3.16,0,0.00,0,0.00,0,0.00,10,3.51,27,9.47,0,0.00,4,1.40,7,2.46,2,0.70
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
040,KRITZMOW,949,767,80.82,680,88.66,87,11.34,1959,46,2.35,170,8.68,637,32.52,134,6.84,79,4.03,0,0.00,0,0.00,84,4.29,233,11.89,576,29.40,0,0.00,0,0.00,0,0.00,0,0.00
041,"KRÖPELIN,STADT",3299,2608,79.05,2366,90.72,242,9.28,6987,157,2.25,299,4.28,3212,45.97,316,4.52,155,2.22,0,0.00,0,0.00,0,0.00,565,8.09,1903,27.24,0,0.00,280,4.01,0,0.00,100,1.43
042,"KÜHLUNGSBORN,OSTSEEBAD",5835,4318,74.00,4135,95.76,183,4.24,11997,403,3.36,660,5.50,4327,36.07,230,1.92,97,0.81,0,0.00,0,0.00,0,0.00,1402,11.69,4611,38.43,0,0.00,210,1.75,0,0.00,57,0.48
043,LAMBRECHTSHAGEN,765,600,78.43,525,87.50,75,12.50,1527,205,13.43,52,3.41,464,30.39,53,3.47,302,19.78,0,0.00,0,0.00,79,5.17,191,12.51,181,11.85,0,0.00,0,0.00,0,0.00,0,0.00
044,LIEBLINGSHOF,349,291,83.38,234,80.41,57,19.59,658,0,0.00,141,21.43,230,34.95,37,5.62,1,0.15,0,0.00,43,6.53,64,9.73,74,11.25,68,10.33,0,0.00,0,0.00,0,0.00,0,0.00
045,MANDELSHAGEN,152,106,69.74,91,85.85,15,14.15,256,13,5.08,8,3.13,49,19.14,79,30.86,0,0.00,0,0.00,0,0.00,24,9.38,68,26.56,15,5.86,0,0.00,0,0.00,0,0.00,0,0.00
046,MÖNCHHAGEN,426,344,80.75,291,84.59,53,15.41,855,76,8.89,49,5.73,256,29.94,56,6.55,0,0.00,0,0.00,0,0.00,49,5.73,286,33.45,83,9.71,0,0.00,0,0.00,0,0.00,0,0.00
047,"NEUBUKOW,STADT",3637,2804,77.10,2451,87.41,353,12.59,7046,221,3.14,700,9.93,2886,40.96,354,5.02,279,3.96,0,0.00,0,0.00,0,0.00,823,11.68,1429,20.28,0,0.00,295,4.19,14,0.20,45,0.64
048,NIEKRENZ,217,162,74.65,135,83.33,27,16.67,385,0,0.00,7,1.82,43,11.17,84,21.82,0,0.00,0,0.00,18,4.68,13,3.38,158,41.04,56,14.55,0,0.00,0,0.00,0,0.00,6,1.56
049,"NIENHAGEN,OSTSEEBAD",482,407,84.44,368,90.42,39,9.58,1068,5,0.47,48,4.49,297,27.81,26,2.43,23,2.15,0,0.00,0,0.00,141,13.20,199,18.63,327,30.62,0,0.00,2,0.19,0,0.00,0,0.00
050,NUSTROW,142,111,78.17,93,83.78,18,16.22,275,45,16.36,4,1.45,59,21.45,52,18.91,15,5.45,0,0.00,0,0.00,61,22.18,34,12.36,0,0.00,0,0.00,5,1.82,0,0.00,0,0.00
051,PAPENDORF,806,620,76.92,574,92.58,46,7.42,1578,194,12.29,38,2.41,384,24.33,67,4.25,44,2.79,0,0.00,0,0.00,109,6.91,303,19.20,439,27.82,0,0.00,0,0.00,0,0.00,0,0.00
