Berechnungsdatum;Ausgabe;Kreis;Kreisname;Amt;Amtsname;Gemeinde;Gemeindename;Wahlbezirke insg.;Erf. Wahlbezirke;Wahlberechtigte;W�hler;Wahlbeteiligung;Ung�ltige Stimmen;G�ltige Stimmen;CDU;DIE LINKE;SPD;GRÜNE;AfD;FDP;NPD;PIRATEN;ASK Schwerin;AWD;AWGV;ABLR;AfL;AUFBRUCH 09;B�ndnis C;B�rger f�r Stralsund;BVR;B�rgerb�ndnis "Landleben Tollensetal";BG;DKP;DF;FREIE W�HLER;Freier Horizont LUP;Freier Horizont MSE;Freier Horizont VG;Freier Horizont LRO;FPA;FR;Graue;KfV;Die PARTEI;Tierschutzpartei;Pro Aktiv;UB;UFR;Rostocker Bund;WGW;WGK;LUL;W�hlergruppe Adomeit;WLD;Einzelbewerber
05.06.2019 13:48:38;P;71;Mecklenburgische Seenplatte;114;Neustrelitz, Stadt;13071110;Neustrelitz, Stadt;16;16;17557;9063;51,6;1,4;98,6;26,2;16,7;19,6;10,6;13,8;7,2;0,8;0,6;x;x;x;x;x;x;x;x;x;x;x;x;x;2,8;x;0,7;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;1,0
05.06.2019 13:48:38;A;71;Mecklenburgische Seenplatte;115;Waren (M�ritz), Stadt;13071156;Waren (M�ritz), Stadt;20;20;18040;8857;49,1;498;25318;5798;4055;4393;2578;3878;3285;127;91;x;x;x;x;x;x;x;x;x;x;x;x;x;579;x;134;x;x;x;x;x;x;336;x;x;x;x;x;x;x;x;x;x;64
05.06.2019 13:48:38;P;71;Mecklenburgische Seenplatte;115;Waren (M�ritz), Stadt;13071156;Waren (M�ritz), Stadt;20;20;18040;8857;49,1;1,9;98,1;22,9;16,0;17,4;10,2;15,3;13,0;0,5;0,4;x;x;x;x;x;x;x;x;x;x;x;x;x;2,3;x;0,5;x;x;x;x;x;x;1,3;x;x;x;x;x;x;x;x;x;x;0,3
05.06.2019 13:48:38;A;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071008;Beggerow;1;1;417;230;55,2;12;660;235;102;58;45;116;15;7;1;x;x;x;x;x;x;x;x;x;x;x;x;x;43;x;32;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;6
05.06.2019 13:48:38;P;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071008;Beggerow;1;1;417;230;55,2;1,8;98,2;35,6;15,5;8,8;6,8;17,6;2,3;1,1;0,2;x;x;x;x;x;x;x;x;x;x;x;x;x;6,5;x;4,8;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;0,9
05.06.2019 13:48:38;A;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071014;Borrentin;1;1;653;325;49,8;6;946;325;148;81;67;173;35;3;0;x;x;x;x;x;x;x;x;x;x;x;x;x;73;x;37;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;4
05.06.2019 13:48:38;P;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071014;Borrentin;1;1;653;325;49,8;0,6;99,4;34,4;15,6;8,6;7,1;18,3;3,7;0,3;0,0;x;x;x;x;x;x;x;x;x;x;x;x;x;7,7;x;3,9;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;0,4
05.06.2019 13:48:38;A;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071064;Hohenbollentin;1;1;100;71;71,0;6;207;39;25;10;14;43;73;0;0;x;x;x;x;x;x;x;x;x;x;x;x;x;1;x;2;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;0
05.06.2019 13:48:38;P;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071064;Hohenbollentin;1;1;100;71;71,0;2,8;97,2;18,8;12,1;4,8;6,8;20,8;35,3;0,0;0,0;x;x;x;x;x;x;x;x;x;x;x;x;x;0,5;x;1,0;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;0,0
05.06.2019 13:48:38;A;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071065;Hohenmocker;1;1;395;231;58,5;3;678;309;95;52;17;117;8;6;3;x;x;x;x;x;x;x;x;x;x;x;x;x;48;x;20;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;3
