Ausgabe;Kreis;Kreisname;Amt;Amtsname;Gemeinde;Gemeindename;Wahlbezirke insg.;erf. Wahlbezirke;Wahlberechtigte;Waehler;Wahlbeteiligung;ungueltige Stimmen;gueltige Stimmen;CDU;DIE LINKE;SPD;FDP;GRÜNE;NPD;DIE GRAUEN;REP;Adomeit;AWK;"BfL";RP;Agrarb�ndnis;AfR;APD;AUFBRUCH 09;AUF;Bauernverband;Bv;BBLR;BFR;BsG;BfB;BfS;BB UER;BfP;BG;FORUM;Freie  W�hler;Freie W�hler;FWG;FWG Niepars;F�R Rostock - pro OB;Haus und Grund Rostock;IfA;MUG;Rostocker Bund;SAV;UB;UBL 94;UWG;WG Bv-L�ndlicher Raum;Bauern;WG;WGW;WIK;WGK;KL;WGLR;WPL;WG Prohn;WG SVS 93;WIP;Einzelbewerber;
P;5;Stralsund;0;kreisfreie Stadt;13005000;Stralsund, Hansestadt;57;57;49801;19740;39,6;1,7;98,3;32,0;18,3;11,6;4,9;x;3,1;x;0,7;5,8;x;x;x;x;x;x;x;x;x;x;x;x;x;x;12,7;x;x;x;8,7;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;2,1;
A;6;Wismar;0;kreisfreie Stadt;13006000;Wismar, Hansestadt;38;38;36921;15746;42,6;1233;45457;9613;8990;15655;5359;2045;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;3795;
P;6;Wismar;0;kreisfreie Stadt;13006000;Wismar, Hansestadt;38;38;36921;15746;42,6;2,6;97,4;21,1;19,8;34,4;11,8;4,5;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;8,3;
A;51;Bad Doberan;5101;Bad Doberan, Stadt;13051004;Bad Doberan, Stadt;14;14;9875;4878;49,4;305;13993;3039;3269;3479;1851;979;900;x;x;x;x;x;x;x;x;33;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;443;
P;51;Bad Doberan;5101;Bad Doberan, Stadt;13051004;Bad Doberan, Stadt;14;14;9875;4878;49,4;2,1;97,9;21,7;23,4;24,9;13,2;7,0;6,4;x;x;x;x;x;x;x;x;0,2;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;3,2;
A;51;Bad Doberan;5102;Graal-M�ritz;13051022;Graal-M�ritz;4;4;3764;2082;55,3;114;6035;1660;1386;1881;665;303;107;x;x;x;x;x;x;x;x;27;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;6;
P;51;Bad Doberan;5102;Graal-M�ritz;13051022;Graal-M�ritz;4;4;3764;2082;55,3;1,9;98,1;27,5;23,0;31,2;11,0;5,0;1,8;x;x;x;x;x;x;x;x;0,4;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;0,1;
A;51;Bad Doberan;5103;K�hlungsborn, Stadt;13051042;K�hlungsborn, Stadt;7;7;6537;3423;52,4;187;9841;2300;1303;2318;629;459;186;x;x;x;x;x;x;x;x;31;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;38;x;x;x;x;x;2577;
P;51;Bad Doberan;5103;K�hlungsborn, Stadt;13051042;K�hlungsborn, Stadt;7;7;6537;3423;52,4;1,9;98,1;23,4;13,2;23,6;6,4;4,7;1,9;x;x;x;x;x;x;x;x;0,3;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;0,4;x;x;x;x;x;26,2;
A;51;Bad Doberan;5104;Neubukow, Stadt;13051047;Neubukow, Stadt;4;4;3530;1933;54,8;210;5480;2800;839;1038;385;153;99;x;x;x;x;x;x;x;x;1;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;165;
P;51;Bad Doberan;5104;Neubukow, Stadt;13051047;Neubukow, Stadt;4;4;3530;1933;54,8;3,7;96,3;51,1;15,3;18,9;7,0;2,8;1,8;x;x;x;x;x;x;x;x;0,0;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;3,0;
A;51;Bad Doberan;5106;Sanitz;13051068;Sanitz;7;7;4906;2365;48,2;138;6867;1430;1321;1157;2600;159;164;x;x;x;x;x;x;x;x;14;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;22;
P;51;Bad Doberan;5106;Sanitz;13051068;Sanitz;7;7;4906;2365;48,2;2,0;98,0;20,8;19,2;16,8;37,9;2,3;2,4;x;x;x;x;x;x;x;x;0,2;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;0,3;
A;51;Bad Doberan;5107;Satow;13051086;Satow;8;8;4794;2582;53,9;219;7437;1981;1978;1057;1639;274;408;x;x;x;x;x;x;x;x;13;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;87;
P;51;Bad Doberan;5107;Satow;13051086;Satow;8;8;4794;2582;53,9;2,9;97,1;26,6;26,6;14,2;22,0;3,7;5,5;x;x;x;x;x;x;x;x;0,2;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;1,2;
A;51;Bad Doberan;5108;Kr�pelin, Stadt;13051041;Kr�pelin, Stadt;7;7;4295;1996;46,5;249;5639;1628;889;972;358;147;190;x;x;x;x;x;x;x;x;12;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;437;x;x;x;x;x;1006;
P;51;Bad Doberan;5108;Kr�pelin, Stadt;13051041;Kr�pelin, Stadt;7;7;4295;1996;46,5;4,2;95,8;28,9;15,8;17,2;6,3;2,6;3,4;x;x;x;x;x;x;x;x;0,2;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;7,7;x;x;x;x;x;17,8;
A;51;Bad Doberan;5109;Dummerstorf;13051089;Dummerstorf;11;11;6086;3193;52,5;249;9218;4499;1758;1594;656;356;272;x;x;x;x;x;x;x;x;31;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;52;
P;51;Bad Doberan;5109;Dummerstorf;13051089;Dummerstorf;11;11;6086;3193;52,5;2,6;97,4;48,8;19,1;17,3;7,1;3,9;3,0;x;x;x;x;x;x;x;x;0,3;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;0,6;
A;51;Bad Doberan;5111;Bad Doberan-Land;13051001;Admannshagen-Bargeshagen;2;2;2443;1465;60,0;96;3999;1522;643;501;908;242;125;x;x;x;x;x;x;x;x;20;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;38;
P;51;Bad Doberan;5111;Bad Doberan-Land;13051001;Admannshagen-Bargeshagen;2;2;2443;1465;60,0;2,3;97,7;38,1;16,1;12,5;22,7;6,1;3,1;x;x;x;x;x;x;x;x;0,5;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;1,0;
A;51;Bad Doberan;5111;Bad Doberan-Land;13051006;Bartenshagen-Parkentin;1;1;1055;619;58,7;45;1780;455;228;595;229;160;81;x;x;x;x;x;x;x;x;7;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;25;
P;51;Bad Doberan;5111;Bad Doberan-Land;13051006;Bartenshagen-Parkentin;1;1;1055;619;58,7;2,5;97,5;25,6;12,8;33,4;12,9;9,0;4,6;x;x;x;x;x;x;x;x;0,4;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;1,4;
A;51;Bad Doberan;5111;Bad Doberan-Land;13051013;B�rgerende-Rethwisch;2;2;1432;886;61,9;45;2576;486;332;565;932;121;100;x;x;x;x;x;x;x;x;4;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;36;
P;51;Bad Doberan;5111;Bad Doberan-Land;13051013;B�rgerende-Rethwisch;2;2;1432;886;61,9;1,7;98,3;18,9;12,9;21,9;36,2;4,7;3,9;x;x;x;x;x;x;x;x;0,2;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;1,4;
A;51;Bad Doberan;5111;Bad Doberan-Land;13051028;Hohenfelde;1;1;674;421;62,5;57;1189;341;221;279;177;94;24;x;x;x;x;x;x;x;x;1;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;52;
P;51;Bad Doberan;5111;Bad Doberan-Land;13051028;Hohenfelde;1;1;674;421;62,5;4,6;95,4;28,7;18,6;23,5;14,9;7,9;2,0;x;x;x;x;x;x;x;x;0,1;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;4,4;
A;51;Bad Doberan;5111;Bad Doberan-Land;13051049;Nienhagen;2;2;1614;997;61,8;57;2901;1319;391;620;247;138;114;x;x;x;x;x;x;x;x;3;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;69;
