Berechnungsdatum;Ausgabe;Kreis;Kreisname;Amt;Amtsname;Gemeinde;Gemeindename;Wahlbezirke insg.;erf. Wahlbezirke;Wahlberechtigte;Waehler;Wahlbeteiligung;ungueltige Stimmen;gueltige Stimmen;CDU;SPD;DIE LINKE;GRÜNE;NPD;FDP;PIRATEN;AUF;RENTNER;[ASK];AB gegen WK- Ausbau;AWD;Allianz Bauern u. LR;AfD;AfL;AL;AUFBRUCH 09;Bauernverband;BFR;B�rger f�r Stralsund;BBG;BG;Freie W�hler LUP;Freie W�hler MSP;Freie W�hler LRO;Freie W�hler NWM;GRAUE;KfV;LUL;UB;UFR;UBL 94;Rostocker Bund;WG BV-LR;WGB;WG B;WGW;WGLR;WG Upahl-Hanshagen;WG "W�bbelin";Adomeit;WIR;Einzelbewerber
03.06.2014 08:19:06;P;71;Mecklenburgische Seenplatte;114;Neustrelitz, Stadt;13071110;Neustrelitz, Stadt;17;17;17930;7469;41,7;1,7;98,3;29,4;22,3;22,0;5,9;3,1;4,1;1,0;x;x;x;0,3;x;x;3,4;x;x;x;x;x;x;x;x;x;0,6;x;x;x;x;x;x;x;x;x;x;x;x;x;0,1;x;x;x;x;7,7
03.06.2014 08:19:06;A;71;Mecklenburgische Seenplatte;115;Waren (M�ritz), Stadt;13071156;Waren (M�ritz), Stadt;20;20;18276;6826;37,3;573;19337;5301;6619;3571;891;351;771;129;x;x;x;79;x;x;495;x;x;x;x;x;x;x;x;x;1025;x;x;x;x;x;x;x;x;x;x;x;x;x;17;x;x;x;x;88
03.06.2014 08:19:06;P;71;Mecklenburgische Seenplatte;115;Waren (M�ritz), Stadt;13071156;Waren (M�ritz), Stadt;20;20;18276;6826;37,3;2,9;97,1;27,4;34,2;18,5;4,6;1,8;4,0;0,7;x;x;x;0,4;x;x;2,6;x;x;x;x;x;x;x;x;x;5,3;x;x;x;x;x;x;x;x;x;x;x;x;x;0,1;x;x;x;x;0,5
03.06.2014 08:19:06;A;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071008;Beggerow;1;1;454;216;47,6;24;620;323;57;104;42;24;6;7;x;x;x;5;x;x;17;x;x;x;x;x;x;x;x;x;19;x;x;x;x;x;x;x;x;x;x;x;x;x;13;x;x;x;x;3
03.06.2014 08:19:06;P;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071008;Beggerow;1;1;454;216;47,6;3,7;96,3;52,1;9,2;16,8;6,8;3,9;1,0;1,1;x;x;x;0,8;x;x;2,7;x;x;x;x;x;x;x;x;x;3,1;x;x;x;x;x;x;x;x;x;x;x;x;x;2,1;x;x;x;x;0,5
03.06.2014 08:19:06;A;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071014;Borrentin;2;2;720;355;49,3;20;1025;502;137;157;90;37;9;5;x;x;x;7;x;x;23;x;x;x;x;x;x;x;x;x;39;x;x;x;x;x;x;x;x;x;x;x;x;x;19;x;x;x;x;0
03.06.2014 08:19:06;P;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071014;Borrentin;2;2;720;355;49,3;1,9;98,1;49,0;13,4;15,3;8,8;3,6;0,9;0,5;x;x;x;0,7;x;x;2,2;x;x;x;x;x;x;x;x;x;3,8;x;x;x;x;x;x;x;x;x;x;x;x;x;1,9;x;x;x;x;0,0
03.06.2014 08:19:06;A;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071064;Hohenbollentin;1;1;103;91;88,3;25;248;124;25;45;8;10;4;1;x;x;x;0;x;x;25;x;x;x;x;x;x;x;x;x;3;x;x;x;x;x;x;x;x;x;x;x;x;x;3;x;x;x;x;0
03.06.2014 08:19:06;P;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071064;Hohenbollentin;1;1;103;91;88,3;9,2;90,8;50,0;10,1;18,1;3,2;4,0;1,6;0,4;x;x;x;0,0;x;x;10,1;x;x;x;x;x;x;x;x;x;1,2;x;x;x;x;x;x;x;x;x;x;x;x;x;1,2;x;x;x;x;0,0
03.06.2014 08:19:06;A;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071065;Hohenmocker;2;2;429;219;51,0;27;608;349;82;94;9;26;3;2;x;x;x;6;x;x;16;x;x;x;x;x;x;x;x;x;14;x;x;x;x;x;x;x;x;x;x;x;x;x;3;x;x;x;x;4
