Air Pollutant,Year,Air_Pollution_Level,Air Quality Station Type,Air Quality Station Area,State,City,Linke,Gruene,SPD,FDP,CDU,AfD,Others,year_of_last_vote,left_coalition,right_coalition,left_dominated,others_dominated
NO2,2001,47.066,Traffic,urban,NW,Aachen,1.7241379310344829,10.344827586206897,32.758620689655174,5.172413793103448,50.0,0.0,0.0,1999.0,44.82758620689656,55.172413793103445,0,0
NO2,2002,50.031,Traffic,urban,NW,Aachen,1.7241379310344829,10.344827586206897,32.758620689655174,5.172413793103448,50.0,0.0,0.0,1999.0,44.82758620689656,55.172413793103445,0,0
NO2,2003,53.246,Traffic,urban,NW,Aachen,1.7241379310344829,10.344827586206897,32.758620689655174,5.172413793103448,50.0,0.0,0.0,1999.0,44.82758620689656,55.172413793103445,0,0
NO2,2004,45.494,Traffic,urban,NW,Aachen,1.7241379310344829,17.24137931034483,32.758620689655174,5.172413793103448,37.93103448275862,0.0,5.172413793103448,2004.0,51.72413793103449,43.103448275862064,1,0
NO2,2005,45.969,Traffic,urban,NW,Aachen,1.7241379310344829,17.24137931034483,32.758620689655174,5.172413793103448,37.93103448275862,0.0,5.172413793103448,2004.0,51.72413793103449,43.103448275862064,1,0
NO2,2005,51.6,Traffic,urban,NW,Aachen,1.7241379310344829,17.24137931034483,32.758620689655174,5.172413793103448,37.93103448275862,0.0,5.172413793103448,2004.0,51.72413793103449,43.103448275862064,1,0
NO2,2006,48.814,Traffic,urban,NW,Aachen,1.7241379310344829,17.24137931034483,32.758620689655174,5.172413793103448,37.93103448275862,0.0,5.172413793103448,2004.0,51.72413793103449,43.103448275862064,1,0
NO2,2006,47.631,Traffic,urban,NW,Aachen,1.7241379310344829,17.24137931034483,32.758620689655174,5.172413793103448,37.93103448275862,0.0,5.172413793103448,2004.0,51.72413793103449,43.103448275862064,1,0
NO2,2007,45.865,Traffic,urban,NW,Aachen,1.7241379310344829,17.24137931034483,32.758620689655174,5.172413793103448,37.93103448275862,0.0,5.172413793103448,2004.0,51.72413793103449,43.103448275862064,1,0
NO2,2007,54.847,Traffic,urban,NW,Aachen,1.7241379310344829,17.24137931034483,32.758620689655174,5.172413793103448,37.93103448275862,0.0,5.172413793103448,2004.0,51.72413793103449,43.103448275862064,1,0
NO2,2007,54.847,Traffic,urban,NW,Aachen,1.7241379310344829,17.24137931034483,32.758620689655174,5.172413793103448,37.93103448275862,0.0,5.172413793103448,2004.0,51.72413793103449,43.103448275862064,1,0
NO2,2008,54.096,Traffic,urban,NW,Aachen,1.7241379310344829,17.24137931034483,32.758620689655174,5.172413793103448,37.93103448275862,0.0,5.172413793103448,2004.0,51.72413793103449,43.103448275862064,1,0
