Air Quality Station EoI Code,Air Pollutant,Year,Air Pollution Level,Unit Of Air Pollution Level,Air Quality Station Type,Air Quality Station Area,State,District,City,Normalized Pollution Level
DEBB068,PM10,2017,21.789,ug/m3,Traffic,Urban,BB,Barnim,Bernau bei Berlin,0.590591942381274
DEBB068,PM10,2018,22.363,ug/m3,Traffic,Urban,BB,Barnim,Bernau bei Berlin,0.7103496721823289
DEBB068,PM10,2019,20.737,ug/m3,Traffic,Urban,BB,Barnim,Bernau bei Berlin,0.6970276449802536
DEBB068,PM10,2020,18.587,ug/m3,Traffic,Urban,BB,Barnim,Bernau bei Berlin,0.7232299590403745
DEBB068,PM10,2020,15.567,ug/m3,Traffic,Urban,BB,Barnim,Bernau bei Berlin,0.5759703530329627
DEBB068,PM10,2021,18.416,ug/m3,Traffic,Urban,BB,Barnim,Bernau bei Berlin,0.6011523687580026
DEBB068,PM10,2022,18.09,ug/m3,Traffic,Urban,BB,Barnim,Bernau bei Berlin,0.5612884276483259
DEBB068,PM10,2022,18.361,ug/m3,Traffic,Urban,BB,Barnim,Bernau bei Berlin,0.57455453299393
DEBB068,PM10,2023,17.667,ug/m3,Traffic,Urban,BB,Barnim,Bernau bei Berlin,0.70753609878055
DEBB068,PM10,2024,18.151,ug/m3,Traffic,Urban,BB,Barnim,Bernau bei Berlin,0.3248290497524169
DEBB068,PM10,2025,15.136,ug/m3,Traffic,Urban,BB,Barnim,Bernau bei Berlin,0.03137169236393303
DEBB086,PM10,2010,29.679,ug/m3,Background,suburban,BB,Teltow-Fläming,Blankenfelde-Mahlow,0.6021784805927235
DEBB086,PM10,2010,29.679,ug/m3,Background,suburban,BB,Teltow-Fläming,Blankenfelde-Mahlow,0.6021784805927235
DEBB086,PM10,2011,23.874,ug/m3,Background,suburban,BB,Teltow-Fläming,Blankenfelde-Mahlow,0.4710726540355064
DEBB086,PM10,2011,23.874,ug/m3,Background,suburban,BB,Teltow-Fläming,Blankenfelde-Mahlow,0.4710726540355064
