Gifhorn,43.5,27.7,14.5,3.6,10.7,0,0
Bad Harzburg,34.4,36.0,14.2,2.4,12.9,0,3.0
Goslar,34.7,34.6,6.8,5.4,18.5,0,5.1
Helmstedt,34.3,40.9,8.4,3.1,13.4,0,2.3
Northeim,30.2,36.6,11.7,10.4,11.2,0,2.2
Einbeck,26.4,39.9,5.5,3.9,24.3,0,2.0
Peine,26.6,48.8,10.3,1.9,12.4,0,3.4
Ilsede,29.6,46.8,10.0,1.5,12.1,0,2.6
Wolfenbüttel,35.6,36.2,18.1,3.0,7.2,0,2.8
Duderstadt,59.7,18.1,8.7,3.2,10.3,0,0
Göttingen,26.2,32.4,27.9,3.3,10.2,0,0
Hann. Münden,26.6,50.3,12.7,1.9,8.6,0,2.3
Osterode am Harz,31.9,50.5,12.4,3.1,2.1,0,2.1
Hannover,25.2,37.1,21.4,2.7,13.5,0,4.3
Barsinghausen,32.9,40.6,17.3,4.0,5.2,0,1.1
Burgdorf,33.7,39.3,13.5,2.9,10.6,0,3.8
Burgwedel,53.5,21.6,11.6,3.7,9.6,0,0
Garbsen,36.5,33.7,13.8,2.3,13.7,0,2.0
Isernhagen,44.9,28.0,17.2,8.0,1.9,0,1.9
Laatzen,33.5,40.8,13.2,4.2,8.2,0,3.0
Langenhagen,32.7,40.6,15.4,2.6,8.7,0,1.0
Lehrte,35.0,39.4,18.2,1.8,5.6,0,2.2
Ronnenberg,28.6,40.6,18.8,2.5,9.5,0,1.3
Seelze,34.0,46.1,13.1,2.0,4.8,0,0
Sehnde,43.8,40.1,11.4,1.6,3.2,0,2.4
Springe,36.7,37.3,18.1,2.3,5.6,0,2.2
Uetze,32.1,43.1,13.2,2.2,9.4,0,1.9
Wunstorf,33.8,42.9,15.7,5.2,2.4,0,2.4
Stuhr,42.7,31.1,15.4,4.0,6.8,0,0
Syke,29.9,38.8,16.0,4.8,10.4,0,2.3
Weyhe,26.5,45.1,21.4,5.5,1.6,0,1.6
Hameln,33.1,34.0,16.5,3.9,12.6,0,2.6
Hildesheim,32.3,31.1,19.0,2.0,15.5,0,2.9
Holzminden,35.5,37.8,16.4,5.9,4.4,0,0
Rinteln,33.2,40.2,9.0,1.5,16.1,0,1.9
Stadthagen,32.0,45.3,11.4,3.1,8.2,0,2.4
Lüneburg.Celle,39.0,29.8,9.1,3.3,18.8,0,1.3
Celle,32.9,32.4,11.1,4.2,19.3,0,2.5
Cuxhaven,33.9,36.5,9.3,1.8,18.4,0,2.4
Geestland,46.3,33.2,7.3,0.5,12.7,0,1.6
Neu Wulmstorf,34.4,38.8,11.0,4.3,11.5,0,2.2
Seevetal,37.6,31.4,11.9,3.2,15.9,0,1.7
Winsen (Luhe),42.2,27.7,14.2,2.1,13.9,0,1.8
Lüneburg,22.7,32.3,29.3,3.3,12.4,0,4.9
Lilienthal,24.7,21.9,34.4,0,19.1,0,2.4
Osterholz-Scharmbeck,25.3,47.7,11.9,1.5,13.6,0,5.6
Schwanewede,30.6,40.5,12.5,2.4,14.0,0,2.1
Rotenburg (Wümme),35.1,33.6,18.7,2.8,9.8,0,1.9
Soltau,37.9,28.1,12.1,1.4,20.5,0,2.7
Walsrode,30.9,35.8,11.9,1.8,19.6,0,1.9
Buxtehude,29.4,36.7,19.2,4.0,10.7,0,3.1
Stade,33.8,37.7,13.7,2.2,12.5,0,2.3
Uelzen,35.4,36.9,15.1,1.3,11.3,0,0
Achim,33.0,37.9,18.3,2.7,8.0,0,2.0
Verden (Aller),35.1,43.4,12.9,5.0,3.6,0,1.8
Bad Zwischenahn,37.1,32.8,15.8,4.8,9.4,0,0
Edewecht,38.6,36.8,14.9,4.2,5.5,0,0
Rastede,45.2,32.3,14.5,3.3,4.7,0,0
Westerstede,34.1,25.8,13.5,15.8,10.8,0,0
Aurich,27.1,34.8,13.9,0.9,23.4,0,3.4
Norden,17.8,38.7,15.2,3.1,25.2,0,3.5
Cloppenburg,47.0,21.6,12.1,3.3,16.0,0,0.9
Friesoythe,61.1,34.5,4.4,0,0,0,0
Haren (Ems),72.0,21.5,0,1.8,4.8,0,0.9
