Air Pollutant,Year,Air_Pollution_Level,Air Quality Station Type,Air Quality Station Area,State_x,City,Yearly Difference,Yearly Mean Difference,Normalized Difference,State_y,Date,Linke,Gruene,SPD,FDP,CDU,AfD,Others,Left,Right,Left_lag,Right_lag
PM10,2004,17.94,Background,urban,NW,Aachen,-11.018999999999998,-2.106560830860534,5.230800762349082,NW,2004,1.7241379310344829,17.24137931034483,32.758620689655174,5.172413793103448,37.93103448275862,0.0,5.172413793103448,51.72413793103449,43.103448275862064,,
PM10,2009,20.311,Background,urban,NW,Aachen,-12.521,0.4222111468381564,-29.65577790583439,NW,2009,4.054054054054054,18.91891891891892,27.027027027027028,8.108108108108109,37.83783783783784,0.0,4.0540540540540455,50.0,45.94594594594595,51.72413793103449,43.103448275862064
PM10,2014,14.974,Background,Urban,NW,Aachen,-17.099,-0.1737932405566599,98.38702555537768,NW,2014,6.578947368421052,17.105263157894736,26.31578947368421,3.947368421052632,36.84210526315789,2.631578947368421,6.578947368421055,50.0,43.42105263157894,50.0,45.94594594594595
PM10,2020,11.704,Background,Urban,NW,Aachen,-8.454,-0.7518148893360161,11.244789269159538,NW,2020,5.172413793103448,34.48275862068966,18.96551724137931,5.172413793103448,24.13793103448276,3.4482758620689653,8.62068965517241,58.62068965517242,32.758620689655174,50.0,43.42105263157894
PM10,2004,28.959,Traffic,urban,NW,Aachen,8.265,-2.106560830860534,-3.923456602306487,NW,2004,1.7241379310344829,17.24137931034483,32.758620689655174,5.172413793103448,37.93103448275862,0.0,5.172413793103448,51.72413793103449,43.103448275862064,58.62068965517242,32.758620689655174
PM10,2009,32.832,Traffic,urban,NW,Aachen,2.178000000000001,0.4222111468381564,5.158556367614993,NW,2009,4.054054054054054,18.91891891891892,27.027027027027028,8.108108108108109,37.83783783783784,0.0,4.0540540540540455,50.0,45.94594594594595,51.72413793103449,43.103448275862064
PM10,2009,32.637,Traffic,urban,NW,Aachen,12.326,0.4222111468381564,29.19392368559338,NW,2009,4.054054054054054,18.91891891891892,27.027027027027028,8.108108108108109,37.83783783783784,0.0,4.0540540540540455,50.0,45.94594594594595,50.0,45.94594594594595
PM10,2009,32.637,Traffic,urban,NW,Aachen,0.0,0.4222111468381564,0.0,NW,2009,4.054054054054054,18.91891891891892,27.027027027027028,8.108108108108109,37.83783783783784,0.0,4.0540540540540455,50.0,45.94594594594595,50.0,45.94594594594595
PM10,2009,32.832,Traffic,urban,NW,Aachen,0.1950000000000002,0.4222111468381564,0.4618542202410122,NW,2009,4.054054054054054,18.91891891891892,27.027027027027028,8.108108108108109,37.83783783783784,0.0,4.0540540540540455,50.0,45.94594594594595,50.0,45.94594594594595
PM10,2014,27.361,Traffic,Urban,NW,Aachen,12.387,-0.1737932405566599,-71.27434853233892,NW,2014,6.578947368421052,17.105263157894736,26.31578947368421,3.947368421052632,36.84210526315789,2.631578947368421,6.578947368421055,50.0,43.42105263157894,50.0,45.94594594594595
PM10,2014,27.328,Traffic,Urban,NW,Aachen,-0.0330000000000012,-0.1737932405566599,0.1898808025807115,NW,2014,6.578947368421052,17.105263157894736,26.31578947368421,3.947368421052632,36.84210526315789,2.631578947368421,6.578947368421055,50.0,43.42105263157894,50.0,43.42105263157894
PM10,2020,15.887,Traffic,Urban,NW,Aachen,4.183,-0.7518148893360161,-5.563869589885775,NW,2020,5.172413793103448,34.48275862068966,18.96551724137931,5.172413793103448,24.13793103448276,3.4482758620689653,8.62068965517241,58.62068965517242,32.758620689655174,50.0,43.42105263157894
PM10,2020,16.783,Traffic,Urban,NW,Aachen,0.8960000000000008,-0.7518148893360161,-1.1917827283140472,NW,2020,5.172413793103448,34.48275862068966,18.96551724137931,5.172413793103448,24.13793103448276,3.4482758620689653,8.62068965517241,58.62068965517242,32.758620689655174,58.62068965517242,32.758620689655174
PM10,2009,19.234,Background,suburban,BW,Aalen,1.9150000000000027,0.4222111468381564,4.535645291084813,BW,2009,0.0,16.666666666666664,24.07407407407408,0.0,38.88888888888889,0.0,20.37037037037037,40.74074074074075,38.88888888888889,37.5,45.83333333333333
PM10,2009,18.981,Background,suburban,BW,Aalen,-0.2530000000000001,0.4222111468381564,-0.5992262447229537,BW,2009,0.0,16.666666666666664,24.07407407407408,0.0,38.88888888888889,0.0,20.37037037037037,40.74074074074075,38.88888888888889,40.74074074074075,38.88888888888889
PM10,2009,18.981,Background,suburban,BW,Aalen,0.0,0.4222111468381564,0.0,BW,2009,0.0,16.666666666666664,24.07407407407408,0.0,38.88888888888889,0.0,20.37037037037037,40.74074074074075,38.88888888888889,40.74074074074075,38.88888888888889
PM10,2009,19.234,Background,suburban,BW,Aalen,0.2530000000000001,0.4222111468381564,0.5992262447229537,BW,2009,0.0,16.666666666666664,24.07407407407408,0.0,38.88888888888889,0.0,20.37037037037037,40.74074074074075,38.88888888888889,40.74074074074075,38.88888888888889
PM10,2009,18.981,Background,suburban,BW,Aalen,-0.2530000000000001,0.4222111468381564,-0.5992262447229537,BW,2009,0.0,16.666666666666664,24.07407407407408,0.0,38.88888888888889,0.0,20.37037037037037,40.74074074074075,38.88888888888889,40.74074074074075,38.88888888888889
PM10,2009,19.234,Background,suburban,BW,Aalen,0.2530000000000001,0.4222111468381564,0.5992262447229537,BW,2009,0.0,16.666666666666664,24.07407407407408,0.0,38.88888888888889,0.0,20.37037037037037,40.74074074074075,38.88888888888889,40.74074074074075,38.88888888888889
