ERGART;WDATUM;LEER;LEER;LEER;SART;AGS;Name;A;B;C1;C2;Gültige Stimmen;D01 - CDU;D02 - AfD;D03 - DIE LINKE;D04 - SPD;D05 - GRÜNE;D06 - FDP;D07;D08;D09;D11;D12;D13;D14;D16;WG (Summe);EB (Summe);D17;D18;D19;D20;D21;D22;D23;D24;D25
E;26.05.2019;  ;  ;  ;GEM;15088150;Gemeinde Kabelsketal;7484;3948;92;3856;11415;3605;2558;2231;1307;936;558;;31;;;;;;189;;;;;;;;;;;
E;26.05.2019;  ;  ;  ;GEM;15088205;Stadt Leuna;12036;7101;175;6926;20570;7673;4448;2717;2029;1290;1199;;151;;;;;;1063;;;;;;;;;;;
E;26.05.2019;  ;  ;  ;GEM;15088330;Gemeinde Schkopau;9451;5795;142;5653;16770;4730;3655;2426;3032;1420;909;;115;;;;;;483;;;;;;;;;;;
E;26.05.2019;  ;  ;  ;GEM;15088195;Stadt Landsberg;12950;7425;244;7181;21331;5633;4221;5529;1912;1410;1556;;111;;;;;;959;;;;;;;;;;;
E;26.05.2019;  ;  ;  ;GEM;15088216;Stadt Wettin-L�bej�n;8425;4856;160;4696;13794;3892;2662;2049;1256;1950;1625;;58;;;;;;302;;;;;;;;;;;
E;26.05.2019;  ;  ;  ;GEM;15088295;Gemeinde Petersberg;8341;5089;162;4927;14586;3403;2804;1986;1550;1190;1479;;54;;;;;;2120;;;;;;;;;;;
E;26.05.2019;  ;  ;  ;GEM;15088319;Gemeinde Salzatal;10282;6056;164;5892;17476;6145;3562;3091;2163;1066;1130;;63;;;;;;256;;;;;;;;;;;
E;26.05.2019;  ;  ;  ;GEM;15088025;Goethestadt Bad Lauchst�dt;7573;4357;161;4196;12001;4043;2798;2094;827;726;834;;105;;;;;;364;210;;210;;;;;;;;
E;26.05.2019;  ;  ;  ;GEM;15088030;Gemeinde Barnst�dt;866;504;14;490;1451;487;244;265;210;82;135;;10;;;;;;8;10;;10;;;;;;;;
E;26.05.2019;  ;  ;  ;GEM;15088100;Gemeinde Farnst�dt;1300;802;27;775;2293;563;600;265;332;205;243;;33;;;;;;25;27;;27;;;;;;;;
E;26.05.2019;  ;  ;  ;GEM;15088235;Stadt M�cheln (Geiseltal);7494;4282;167;4115;12089;2848;2479;1493;1257;602;1659;;87;;;;;;1570;94;;94;;;;;;;;
E;26.05.2019;  ;  ;  ;GEM;15088250;Gemeinde Nemsdorf-G�hrendorf;713;443;9;434;1287;391;240;164;254;72;129;;7;;;;;;25;5;;5;;;;;;;;
E;26.05.2019;  ;  ;  ;GEM;15088265;Gemeinde Obhausen;1973;1166;15;1151;3415;1415;672;363;513;103;262;;27;;;;;;14;46;;46;;;;;;;;
E;26.05.2019;  ;  ;  ;GEM;15088305;Stadt Querfurt;9366;5326;161;5165;15270;2271;3268;1318;4876;705;2567;;55;;;;;;111;99;;99;;;;;;;;
E;26.05.2019;  ;  ;  ;GEM;15088340;Stadt Schraplau;940;420;9;411;1224;280;343;127;198;80;134;;6;;;;;;18;38;;38;;;;;;;;
E;26.05.2019;  ;  ;  ;GEM;15088355;Gemeinde Steigra;1007;677;31;646;1910;643;439;106;304;202;160;;12;;;;;;29;15;;15;;;;;;;;
E;26.05.2019;  ;  ;  ;GEM;15088365;Gemeinde Teutschenthal;11671;7630;322;7308;21658;3094;4134;2027;1028;1049;1826;;80;;;;;;1362;7058;;7058;;;;;;;;
E;26.05.2019;  ;  ;  ;GEM;15089015;Stadt Aschersleben;23219;11623;306;11317;33513;5521;4913;3924;2166;2287;2149;;;;;;;;;12553;;12553;;;;;;;;
E;26.05.2019;  ;  ;  ;GEM;15089310;Stadt Sta�furt;22390;9947;263;9684;28380;6358;5758;5078;4556;956;3647;;;;;;;;;2027;;;;;;2027;;;;
E;26.05.2019;  ;  ;  ;GEM;15089041;Gemeinde B�rdeaue;1557;889;33;856;2514;884;379;336;545;116;56;74;;;;;;;;124;;;;;;;124;;;
E;26.05.2019;  ;  ;  ;GEM;15089043;Gemeinde B�rde-Hakel;2607;1278;34;1244;3591;665;545;319;1443;129;87;108;;;;;;;;295;;;;;;;295;;;
E;26.05.2019;  ;  ;  ;GEM;15089045;Gemeinde Borne;1050;596;14;582;1693;854;238;201;204;62;32;57;;;;;;;;45;;;;;;;45;;;
E;26.05.2019;  ;  ;  ;GEM;15089075;Stadt Egeln;2858;1525;63;1462;4293;696;580;275;1137;415;92;89;;;;;;;;1009;;;;;;;1009;;;
E;26.05.2019;  ;  ;  ;GEM;15089175;Stadt Hecklingen;6006;2768;79;2689;7967;1360;1431;1151;1606;169;790;1372;;;;;;;;88;;;;;;;88;;;
E;26.05.2019;  ;  ;  ;GEM;15089307;Stadt Seeland;6912;3991;153;3838;11321;5668;1570;1549;1307;495;426;232;;;;;;;;74;;;;;;;74;;;
E;26.05.2019;  ;  ;  ;GEM;15089365;Gemeinde Wolmirsleben;1150;680;20;660;1958;772;293;173;443;84;36;57;;;;;;;;100;;;;;;;100;;;
E;26.05.2019;  ;  ;  ;GEM;15089305;Stadt Sch�nebeck (Elbe);26447;12639;314;12325;36242;10068;6731;6175;7085;2830;3353;;;;;;;;;;;;;;;;;;;
E;26.05.2019;  ;  ;  ;GEM;15089026;Stadt Barby;7227;4048;107;3941;11569;4097;1404;1102;749;576;239;;;;;;;;;3402;;;254;3148;;;;;;
E;26.05.2019;  ;  ;  ;GEM;15089042;Gemeinde B�rdeland;6518;3524;107;3417;10076;2180;1810;1128;3342;436;688;;;;;;;;;492;;;228;264;;;;;;
E;26.05.2019;  ;  ;  ;GEM;15089055;Stadt Calbe (Saale);7670;3535;84;3451;10066;2881;1613;1754;552;328;597;;;;;;;;;2341;;;2096;245;;;;;;
E;26.05.2019;  ;  ;  ;GEM;15089030;Stadt Bernburg (Saale);28059;13788;404;13384;39494;11853;6735;6938;4629;3350;5989;;;;;;;;;;;;;;;;;;;
E;26.05.2019;  ;  ;  ;GEM;15089005;Stadt Alsleben (Saale);2174;1019;22;997;2901;1212;365;408;135;80;631;;;;;;;;;70;;;;;70;;;;;
E;26.05.2019;  ;  ;  ;GEM;15089130;Gemeinde Giersleben;832;478;17;461;1374;302;230;145;94;49;41;;;;;;;;;513;;;;;513;;;;;
E;26.05.2019;  ;  ;  ;GEM;15089165;Stadt G�sten;3560;1610;61;1549;4570;1000;761;1280;572;154;190;;;;;;;;;613;;;;;613;;;;;
E;26.05.2019;  ;  ;  ;GEM;15089185;Gemeinde Ilberstedt;915;534;16;518;1543;367;324;224;296;58;170;;;;;;;;;104;;;;;104;;;;;
E;26.05.2019;  ;  ;  ;GEM;15089195;Stadt K�nnern;7092;3574;106;3468;10245;2845;1918;1462;1146;407;2293;;;;;;;;;174;;;;;174;;;;;
E;26.05.2019;  ;  ;  ;GEM;15089235;Stadt Nienburg (Saale);5451;3144;149;2995;8810;1742;1716;1396;1879;431;1496;;;;;;;;;150;;;;;150;;;;;
E;26.05.2019;  ;  ;  ;GEM;15089245;Gemeinde Pl�tzkau;1104;576;28;548;1622;353;333;343;99;41;239;;;;;;;;;214;;;;;214;;;;;
E;26.05.2019;  ;  ;  ;GEM;15090535;Hansestadt Stendal;32647;16149;317;15832;46701;11169;8384;8860;6111;3060;2566;;;;;;;;;6551;;1322;5229;;;;;;;
E;26.05.2019;  ;  ;  ;GEM;15090003;Gemeinde Aland;1174;644;11;633;1890;487;209;112;52;151;37;;;;;;;;;842;;100;742;;;;;;;
E;26.05.2019;  ;  ;  ;GEM;15090007;Gemeinde Altm�rkische H�he;1620;942;11;931;2747;1175;216;150;73;73;96;;;;;;;;;964;;369;595;;;;;;;
E;26.05.2019;  ;  ;  ;GEM;15090008;Gemeinde Altm�rkische Wische;739;402;14;388;1137;213;127;66;57;47;24;;;;;;;;;603;;145;458;;;;;;;
E;26.05.2019;  ;  ;  ;GEM;15090010;Stadt Arneburg;1344;729;19;710;2065;804;294;251;154;91;55;;;;;;;;;416;;60;356;;;;;;;
E;26.05.2019;  ;  ;  ;GEM;15090070;Stadt Bismark (Altmark);7036;4131;103;4028;11878;3806;1782;1505;957;544;754;;;;;;;;;2530;;454;2076;;;;;;;
E;26.05.2019;  ;  ;  ;GEM;15090135;Gemeinde Eichstedt (Altmark);751;507;20;487;1451;314;245;208;109;53;79;;;;;;;;;443;;128;315;;;;;;;
E;26.05.2019;  ;  ;  ;GEM;15090180;Gemeinde Goldbeck;1187;612;12;600;1772;283;241;177;153;94;54;;;;;;;;;770;;135;635;;;;;;;
E;26.05.2019;  ;  ;  ;GEM;15090220;Gemeinde Hassel;807;504;12;492;1466;529;188;214;100;68;53;;;;;;;;;314;;26;288;;;;;;;
E;26.05.2019;  ;  ;  ;GEM;15090245;Gemeinde Hohenberg-Krusemark;1065;581;18;563;1671;384;238;186;117;90;67;;;;;;;;;589;;143;446;;;;;;;
E;26.05.2019;  ;  ;  ;GEM;15090270;Gemeinde Iden;712;383;3;380;1105;184;123;139;68;20;30;;;;;;;;;541;;244;297;;;;;;;
E;26.05.2019;  ;  ;  ;GEM;15090415;Hansestadt Osterburg (Altmark);8725;4841;129;4712;13889;1919;1543;2926;760;523;517;;;;;;;;;5701;;1162;4539;;;;;;;
E;26.05.2019;  ;  ;  ;GEM;15090435;Gemeinde Rochau;885;550;11;539;1586;307;230;161;90;50;122;;;;;;;;;626;;140;486;;;;;;;
E;26.05.2019;  ;  ;  ;GEM;15090520;Hansestadt Seehausen (Altmark);4221;2129;40;2089;6151;1104;743;607;279;355;240;;;;;;;;;2823;;656;2167;;;;;;;
E;26.05.2019;  ;  ;  ;GEM;15090610;Hansestadt Werben (Elbe);932;546;19;527;1559;193;165;107;304;55;29;;;;;;;;;706;;77;629;;;;;;;
E;26.05.2019;  ;  ;  ;GEM;15090635;Gemeinde Zehrental;763;400;7;393;1175;219;120;103;54;66;21;;;;;;;;;592;;77;515;;;;;;;
E;26.05.2019;  ;  ;  ;GEM;15090225;Hansestadt Havelberg;5626;3038;58;2980;8794;2729;1289;2186;747;512;310;;;;;;;;;1021;;103;918;;;;;;;
E;26.05.2019;  ;  ;  ;GEM;15090285;Gemeinde Kamern;1074;623;12;611;1808;469;256;327;140;70;271;;;;;;;;;275;;44;231;;;;;;;
E;26.05.2019;  ;  ;  ;GEM;15090310;Gemeinde Klietz;1239;807;18;789;2338;439;464;542;299;116;250;;;;;;;;;228;;91;137;;;;;;;
E;26.05.2019;  ;  ;  ;GEM;15090445;Stadt Sandau (Elbe);750;421;9;412;1222;482;188;263;82;39;48;;;;;;;;;120;;16;104;;;;;;;
E;26.05.2019;  ;  ;  ;GEM;15090485;Gemeinde Schollene;1024;594;17;577;1710;323;268;306;179;192;226;;;;;;;;;216;;64;152;;;;;;;
E;26.05.2019;  ;  ;  ;GEM;15090500;Gemeinde Sch�nhausen (Elbe);1823;1169;21;1148;3389;813;507;305;889;74;583;;;;;;;;;218;;55;163;;;;;;;
E;26.05.2019;  ;  ;  ;GEM;15090546;Stadt Tangerh�tte;9296;5236;141;5095;15102;3608;2831;2526;1901;910;718;;;;;;;;;2608;;959;1649;;;;;;;
E;26.05.2019;  ;  ;  ;GEM;15090550;Stadt Tangerm�nde;9019;4942;89;4853;14307;3746;3200;2107;1185;777;1054;;;;;;;;;2238;;179;2059;;;;;;;
E;26.05.2019;  ;  ;  ;GEM;15090631;Gemeinde Wust-Fischbeck;1094;656;17;639;1867;575;340;222;239;97;217;;;;;;;;;177;;80;97;;;;;;;
E;26.05.2019;  ;  ;  ;GEM;15091375;Lutherstadt Wittenberg;40051;21687;474;21213;62499;12077;10677;9268;9853;4168;1766;11822;625;;;;;;;2243;;2243;;;;;;;;
E;26.05.2019;  ;  ;  ;GEM;15091110;Stadt Gr�fenhainichen;10082;5383;111;5272;15197;5961;2918;3075;1018;567;326;609;206;;;;;;;517;;517;;;;;;;;
E;26.05.2019;  ;  ;  ;GEM;15091160;Stadt Kemberg;8680;5329;113;5216;15208;6165;2407;1762;1832;457;454;822;125;;;;;;;1184;;1184;;;;;;;;
E;26.05.2019;  ;  ;  ;GEM;15091020;Stadt Bad Schmiedeberg;7317;4517;83;4434;13145;2257;1896;915;2490;398;;4918;111;;;;;;;160;;160;;;;;;;;
E;26.05.2019;  ;  ;  ;GEM;15091391;Stadt Zahna-Elster;8049;5014;83;4931;14458;3776;1548;1182;698;400;;6424;135;;;;;;;295;;295;;;;;;;;
E;26.05.2019;  ;  ;  ;GEM;15091010;Stadt Annaburg;5796;3292;113;3179;9405;2000;2086;834;757;272;214;3018;102;;;;;;;101;21;101;;;;;;;21;
E;26.05.2019;  ;  ;  ;GEM;15091145;Stadt Jessen (Elster);12267;6812;108;6704;19805;4989;3019;2767;4193;651;1191;1880;174;;;;;;;292;649;292;;;;;;;649;
E;26.05.2019;  ;  ;  ;GEM;15091060;Stadt Coswig (Anhalt);10440;6040;110;5930;17593;4325;2716;1847;2272;842;244;5018;178;;;;;;;151;;151;;;;;;;;
E;26.05.2019;  ;  ;  ;GEM;15091241;Stadt Oranienbaum-W�rlitz;7107;4192;62;4130;12209;4560;2224;1386;1745;416;363;1309;134;;;;;;;72;;72;;;;;;;;
