ERGART;WDATUM;LEER;LEER;LEER;SART;AGS;Name;A;B;C1;C2;Gültige Stimmen;D01 - CDU;D02 - AfD;D03 - DIE LINKE;D04 - SPD;D05 - GRÜNE;D06 - FDP;D07;D08;D09;D11;D12;D13;D14;D16;WG (Summe);EB (Summe);D17;D18;D19;D20;D21;D22;D23;D24;D25
E;26.05.2019;  ;  ;  ;GEM;15083270;Stadt Haldensleben;16544;6394;160;6234;18284;4780;3234;2404;1725;1313;489;;;;;;;;;4339;;1421;1485;967;;466;;;;
E;26.05.2019;  ;  ;  ;GEM;15083323;Gemeinde Ingersleben;1166;594;14;580;1717;597;242;86;139;57;15;;;;;;;;;581;;17;17;10;;537;;;;
E;26.05.2019;  ;  ;  ;GEM;15083411;Stadt Oebisfelde-Weferlingen;11619;5714;140;5574;16370;5166;1979;1877;3289;1098;340;;;;;;;;;2621;;204;209;112;;2096;;;;
E;26.05.2019;  ;  ;  ;GEM;15083030;Gemeinde Angern;1681;954;36;918;2707;1090;583;358;221;148;109;;;;;;;;;198;;;;;58;140;;;;
E;26.05.2019;  ;  ;  ;GEM;15083040;Gemeinde Barleben;7819;3807;91;3716;10960;4311;1516;1110;776;917;1554;;;;;;;;;776;;;;;244;532;;;;
E;26.05.2019;  ;  ;  ;GEM;15083120;Gemeinde Burgstall;1312;668;30;638;1868;638;498;228;183;106;73;;;;;;;;;142;;;;;41;101;;;;
E;26.05.2019;  ;  ;  ;GEM;15083130;Gemeinde Colbitz;2840;1390;30;1360;4019;942;870;804;456;315;400;;;;;;;;;232;;;;;91;141;;;;
E;26.05.2019;  ;  ;  ;GEM;15083361;Gemeinde Loitsche-Heinrichsberg;808;438;17;421;1242;515;253;92;140;67;47;;;;;;;;;128;;;;;41;87;;;;
E;26.05.2019;  ;  ;  ;GEM;15083390;Gemeinde Niedere B�rde;6059;3040;75;2965;8696;3451;1515;985;859;453;733;;;;;;;;;700;;;;;266;434;;;;
E;26.05.2019;  ;  ;  ;GEM;15083440;Gemeinde Rog�tz;1838;786;31;755;2166;755;437;221;288;149;112;;;;;;;;;204;;;;;84;120;;;;
E;26.05.2019;  ;  ;  ;GEM;15083557;Gemeinde Westheide;1448;677;18;659;1952;951;378;205;117;102;116;;;;;;;;;83;;;;;28;55;;;;
