Air Quality Station EoI Code,Air Pollutant,Year,Air Pollution Level,Unit Of Air Pollution Level,Air Quality Station Type,Air Quality Station Area,State,District,City,Normalized Pollution Level
DEBB044,CO,2011,0.529,mg/m3,Traffic,urban,BB,Cottbus,Cottbus,0.8231441048034935
DEBB087,CO,2011,0.404,mg/m3,Traffic,urban,BB,Cottbus,Cottbus,0.5502183406113538
DEBB087,CO,2012,0.423,mg/m3,Traffic,urban,BB,Cottbus,Cottbus,0.6056338028169015
DEBB087,CO,2013,0.375,mg/m3,Traffic,Urban,BB,Cottbus,Cottbus,0.3446745562130178
DEBB087,CO,2014,0.339,mg/m3,Traffic,Urban,BB,Cottbus,Cottbus,0.49557522123893816
DEBB087,CO,2015,0.341,mg/m3,Traffic,Urban,BB,Cottbus,Cottbus,0.4880174291938999
DEBB087,CO,2016,0.349,mg/m3,Traffic,Urban,BB,Cottbus,Cottbus,0.506024096385542
DEBB110,CO,2019,0.227,mg/m3,Background,Suburban,BB,Havelland,Dallgow-Döberitz,0.0008560178051703475
DEBB110,CO,2020,0.223,mg/m3,Background,Suburban,BB,Havelland,Dallgow-Döberitz,0.35616438356164387
DEBB110,CO,2021,0.224,mg/m3,Background,Suburban,BB,Havelland,Dallgow-Döberitz,0.32558139534883723
DEBB110,CO,2022,0.17,mg/m3,Background,Suburban,BB,Havelland,Dallgow-Döberitz,0.15909090909090914
DEBB110,CO,2023,0.186,mg/m3,Background,Suburban,BB,Havelland,Dallgow-Döberitz,0.16417910447761197
DEBB110,CO,2024,0.168,mg/m3,Background,Suburban,BB,Havelland,Dallgow-Döberitz,0.0
DEBB110,CO,2025,0.073,mg/m3,Background,Suburban,BB,Havelland,Dallgow-Döberitz,0.0
DEBB032,CO,1999,0.51,mg/m3,Industrial,suburban,BB,Oder-Spree,Eisenhüttenstadt,0.16972477064220187
DEBB032,CO,2000,0.46,mg/m3,Industrial,suburban,BB,Oder-Spree,Eisenhüttenstadt,0.22060682680151708
DEBB032,CO,2001,0.423,mg/m3,Industrial,suburban,BB,Oder-Spree,Eisenhüttenstadt,0.2517985611510792
DEBB032,CO,2002,0.486,mg/m3,Industrial,suburban,BB,Oder-Spree,Eisenhüttenstadt,0.32961373390557946
DEBB032,CO,2003,0.468,mg/m3,Industrial,suburban,BB,Oder-Spree,Eisenhüttenstadt,0.32098765432098775
DEBB032,CO,2004,0.438,mg/m3,Industrial,suburban,BB,Oder-Spree,Eisenhüttenstadt,0.3310208126858276
DEBB032,CO,2005,0.461,mg/m3,Industrial,suburban,BB,Oder-Spree,Eisenhüttenstadt,0.40358744394618834
DEBB032,CO,2006,0.419,mg/m3,Industrial,suburban,BB,Oder-Spree,Eisenhüttenstadt,0.38993710691823896
DEBB032,CO,2007,0.379,mg/m3,Industrial,suburban,BB,Oder-Spree,Eisenhüttenstadt,0.3321428571428572
DEBB032,CO,2008,0.294,mg/m3,Industrial,suburban,BB,Oder-Spree,Eisenhüttenstadt,0.24024640657084187
DEBB032,CO,2009,0.297,mg/m3,Industrial,suburban,BB,Oder-Spree,Eisenhüttenstadt,0.27017543859649124
DEBB032,CO,2010,0.304,mg/m3,Industrial,suburban,BB,Oder-Spree,Eisenhüttenstadt,0.3868613138686131
DEBB032,CO,2011,0.306,mg/m3,Industrial,suburban,BB,Oder-Spree,Eisenhüttenstadt,0.33624454148471616
DEBB032,CO,2012,0.26,mg/m3,Industrial,suburban,BB,Oder-Spree,Eisenhüttenstadt,0.22300469483568078
DEBB032,CO,2013,0.269,mg/m3,Industrial,Suburban,BB,Oder-Spree,Eisenhüttenstadt,0.18786982248520717
DEBB032,CO,2014,0.276,mg/m3,Industrial,Suburban,BB,Oder-Spree,Eisenhüttenstadt,0.38407079646017706
DEBB032,CO,2015,0.268,mg/m3,Industrial,Suburban,BB,Oder-Spree,Eisenhüttenstadt,0.3289760348583879
DEBB032,CO,2016,0.241,mg/m3,Industrial,Suburban,BB,Oder-Spree,Eisenhüttenstadt,0.2457831325301204
DEBB032,CO,2017,0.229,mg/m3,Industrial,Suburban,BB,Oder-Spree,Eisenhüttenstadt,0.29099307159353344
DEBB032,CO,2018,0.261,mg/m3,Industrial,Suburban,BB,Oder-Spree,Eisenhüttenstadt,0.34573304157549234
