Air Quality Station EoI Code,Date,Air Pollution Level,City,Air Quality Station Type,Linke,Gruene,SPD,FDP,CDU,AfD,Change
DEBB021,2003,28.215,Potsdam,Background,34.0,6.0,22.0,2.0,20.0,0.0,-5.751999999999999
DEBB021,2014,21.2145,Potsdam,Background,25.0,12.5,23.214285714285715,1.7857142857142856,16.071428571428573,5.357142857142857,-4.612500000000001
DEBB021,2019,16.602,Potsdam,Background,17.857142857142858,17.857142857142858,19.642857142857142,5.357142857142857,12.5,8.928571428571429,-1.9879999999999995
DEBB026,2003,24.726,Spremberg,Industrial,18.75,0.0,15.625,3.125,37.5,0.0,-1.8079999999999998
DEBB029,2003,24.724,Schwedt/Oder,Industrial,22.22222222222222,2.7777777777777777,30.55555555555556,8.333333333333332,22.22222222222222,0.0,-4.603999999999999
DEBB029,2014,20.892,Schwedt/Oder,Industrial,15.625,3.125,43.75,9.375,15.625,0.0,-4.329999999999998
DEBB029,2019,16.562,Schwedt/Oder,Industrial,12.5,6.25,34.375,6.25,12.5,15.625,-2.5360000000000014
DEBB031,2003,26.502,Königs Wusterhausen,Background,31.25,0.0,25.0,6.25,21.875,0.0,-1.1779999999999973
DEBB032,2003,30.356,Eisenhüttenstadt,Industrial,36.11111111111111,0.0,16.666666666666664,5.555555555555555,22.22222222222222,0.0,-9.154
DEBB032,2014,21.425,Eisenhüttenstadt,Industrial,25.0,3.125,28.125,0.0,15.625,9.375,-5.002500000000001
DEBB032,2019,16.4225,Eisenhüttenstadt,Industrial,18.75,6.25,25.0,0.0,9.375,25.0,-1.3804999999999996
DEBB042,2003,26.661,Frankfurt (Oder),Background,34.78260869565217,2.1739130434782608,15.217391304347828,6.521739130434782,26.08695652173913,0.0,-0.4480000000000004
DEBB044,2003,42.055499999999995,Cottbus,Traffic,26.0,6.0,20.0,4.0,24.0,0.0,-9.731499999999997
DEBB044,2014,26.9825,Cottbus,Traffic,21.73913043478261,6.521739130434782,21.73913043478261,2.1739130434782608,28.26086956521739,6.521739130434782,-9.182500000000001
DEBB044,2019,17.8,Cottbus,Traffic,14.000000000000002,8.0,16.0,4.0,18.0,22.0,0.9989999999999988
DEBB045,2003,36.547,Frankfurt (Oder),Traffic,34.78260869565217,2.1739130434782608,15.217391304347828,6.521739130434782,26.08695652173913,0.0,-8.840999999999998
DEBB045,2014,30.896,Frankfurt (Oder),Traffic,30.434782608695656,6.521739130434782,19.565217391304348,2.1739130434782608,23.91304347826087,10.869565217391305,-11.751000000000001
DEBB045,2019,19.145,Frankfurt (Oder),Traffic,21.73913043478261,13.043478260869565,10.869565217391305,4.3478260869565215,19.565217391304348,19.565217391304348,-0.602999999999998
DEBB048,2003,23.306,Neuruppin,Background,21.875,9.375,18.75,6.25,21.875,0.0,-3.4770000000000003
DEBB048,2014,21.968,Neuruppin,Background,21.875,9.375,21.875,3.125,18.75,0.0,-5.702999999999999
DEBB048,2019,16.265,Neuruppin,Background,15.625,12.5,18.75,3.125,18.75,12.5,-3.3760000000000012
DEBB049,2003,38.008,Brandenburg an der Havel,Traffic,15.217391304347828,4.3478260869565215,21.73913043478261,8.695652173913043,36.95652173913043,0.0,-12.625000000000004
DEBB049,2014,25.243,Brandenburg an der Havel,Traffic,17.391304347826086,6.521739130434782,26.08695652173913,2.1739130434782608,36.95652173913043,6.521739130434782,-6.230999999999998
DEBB049,2019,19.012,Brandenburg an der Havel,Traffic,13.043478260869565,13.043478260869565,17.391304347826086,4.3478260869565215,26.08695652173913,15.217391304347828,-0.740000000000002
DEBB054,2003,27.395,Potsdam,Traffic,34.0,6.0,22.0,2.0,20.0,0.0,-0.6340000000000003
DEBB054,2014,27.796999999999997,Potsdam,Traffic,25.0,12.5,23.214285714285715,1.7857142857142856,16.071428571428573,5.357142857142857,-8.0565
DEBB054,2019,19.740499999999997,Potsdam,Traffic,17.857142857142858,17.857142857142858,19.642857142857142,5.357142857142857,12.5,8.928571428571429,-3.1344999999999956
DEBB055,2003,21.883,Brandenburg an der Havel,Background,15.217391304347828,4.3478260869565215,21.73913043478261,8.695652173913043,36.95652173913043,0.0,-2.939
DEBB055,2014,21.164,Brandenburg an der Havel,Background,17.391304347826086,6.521739130434782,26.08695652173913,2.1739130434782608,36.95652173913043,6.521739130434782,-5.484000000000002
DEBB055,2019,15.68,Brandenburg an der Havel,Background,13.043478260869565,13.043478260869565,17.391304347826086,4.3478260869565215,26.08695652173913,15.217391304347828,-1.8330000000000002
DEBB060,2014,27.776,Eberswalde,Traffic,22.22222222222222,8.333333333333332,19.444444444444446,8.333333333333332,19.444444444444446,0.0,-8.482
DEBB064,2003,27.1425,Cottbus,Background,26.0,6.0,20.0,4.0,24.0,0.0,-4.350499999999997
DEBB064,2014,21.926000000000002,Cottbus,Background,21.73913043478261,6.521739130434782,21.73913043478261,2.1739130434782608,28.26086956521739,6.521739130434782,-6.256500000000003
DEBB064,2019,15.6695,Cottbus,Background,14.000000000000002,8.0,16.0,4.0,18.0,22.0,-1.221499999999999
DEBB068,2014,27.101,Bernau bei Berlin,Traffic,30.55555555555556,5.555555555555555,13.88888888888889,0.0,16.666666666666664,0.0,-6.364000000000001
DEBB068,2019,20.737,Bernau bei Berlin,Traffic,19.444444444444446,8.333333333333332,11.11111111111111,2.7777777777777777,13.88888888888889,11.11111111111111,-2.5859999999999985
DEBB073,2014,25.831,Potsdam,Traffic,25.0,12.5,23.214285714285715,1.7857142857142856,16.071428571428573,5.357142857142857,-7.405999999999999
DEBB073,2019,18.425,Potsdam,Traffic,17.857142857142858,17.857142857142858,19.642857142857142,5.357142857142857,12.5,8.928571428571429,-0.9280000000000008
DEBB075,2014,19.175,Potsdam,Background,25.0,12.5,23.214285714285715,1.7857142857142856,16.071428571428573,5.357142857142857,-3.8584999999999994
DEBB075,2019,15.316500000000001,Potsdam,Background,17.857142857142858,17.857142857142858,19.642857142857142,5.357142857142857,12.5,8.928571428571429,-1.4575000000000014
DEBB083,2014,20.86,Spremberg,Background,17.857142857142858,0.0,14.285714285714285,0.0,32.142857142857146,0.0,-3.210000000000001
DEBB083,2019,17.65,Spremberg,Background,10.714285714285714,3.571428571428571,10.714285714285714,3.571428571428571,25.0,25.0,-2.555999999999999
DEBB092,2014,23.931,Frankfurt (Oder),Background,30.434782608695656,6.521739130434782,19.565217391304348,2.1739130434782608,23.91304347826087,10.869565217391305,-7.071999999999999
DEBB092,2019,16.859,Frankfurt (Oder),Background,21.73913043478261,13.043478260869565,10.869565217391305,4.3478260869565215,19.565217391304348,19.565217391304348,-2.203000000000001
DEBB109,2019,16.494,Luckenwalde,Background,21.428571428571427,7.142857142857142,28.57142857142857,3.571428571428571,17.857142857142858,14.285714285714285,-3.231
DEBE010,2001,22.714,Berlin,Background,23.404255319148938,9.929078014184398,31.20567375886525,10.638297872340424,24.822695035460992,0.0,6.1030000000000015
DEBE010,2006,28.817,Berlin,Background,15.436241610738255,15.436241610738255,35.57046979865772,8.724832214765101,24.832214765100677,0.0,-2.814
DEBE010,2011,26.003,Berlin,Background,12.751677852348994,19.463087248322147,31.543624161073826,0.0,26.174496644295303,0.0,-5.007999999999999
DEBE010,2016,20.995,Berlin,Background,16.875,16.875,23.75,7.5,19.375,15.625,-4.795000000000002
DEBE014,1999,37.004,Berlin,Traffic,19.526627218934912,10.650887573964498,24.85207100591716,0.0,44.97041420118343,0.0,-1.216000000000001
DEBE018,2006,26.973,Berlin,Background,15.436241610738255,15.436241610738255,35.57046979865772,8.724832214765101,24.832214765100677,0.0,-7.125999999999998
DEBE027,2001,18.518,Berlin,Industrial,23.404255319148938,9.929078014184398,31.20567375886525,10.638297872340424,24.822695035460992,0.0,7.652000000000001
DEBE027,2006,26.17,Berlin,Industrial,15.436241610738255,15.436241610738255,35.57046979865772,8.724832214765101,24.832214765100677,0.0,-8.617
DEBE032,2006,23.455,Berlin,Background,15.436241610738255,15.436241610738255,35.57046979865772,8.724832214765101,24.832214765100677,0.0,-2.660999999999998
DEBE032,2011,20.794,Berlin,Background,12.751677852348994,19.463087248322147,31.543624161073826,0.0,26.174496644295303,0.0,-3.7669999999999995
DEBE032,2016,17.027,Berlin,Background,16.875,16.875,23.75,7.5,19.375,15.625,-1.8050000000000015
DEBE034,1999,28.589,Berlin,Background,19.526627218934912,10.650887573964498,24.85207100591716,0.0,44.97041420118343,0.0,-2.825999999999997
DEBE034,2001,25.817999999999998,Berlin,Background,23.404255319148938,9.929078014184398,31.20567375886525,10.638297872340424,24.822695035460992,0.0,5.588000000000001
DEBE034,2006,31.406,Berlin,Background,15.436241610738255,15.436241610738255,35.57046979865772,8.724832214765101,24.832214765100677,0.0,-6.174999999999997
DEBE034,2011,25.231,Berlin,Background,12.751677852348994,19.463087248322147,31.543624161073826,0.0,26.174496644295303,0.0,-2.4150000000000027
DEBE034,2016,22.816,Berlin,Background,16.875,16.875,23.75,7.5,19.375,15.625,-5.334
DEBE051,1999,23.147,Berlin,Background,19.526627218934912,10.650887573964498,24.85207100591716,0.0,44.97041420118343,0.0,-1.564
DEBE051,2001,21.287,Berlin,Background,23.404255319148938,9.929078014184398,31.20567375886525,10.638297872340424,24.822695035460992,0.0,5.7890000000000015
DEBE051,2006,27.076,Berlin,Background,15.436241610738255,15.436241610738255,35.57046979865772,8.724832214765101,24.832214765100677,0.0,-5.719999999999999
DEBE051,2011,21.356,Berlin,Background,12.751677852348994,19.463087248322147,31.543624161073826,0.0,26.174496644295303,0.0,-0.907
DEBE051,2016,20.449,Berlin,Background,16.875,16.875,23.75,7.5,19.375,15.625,-3.9080000000000013
DEBE056,2001,18.955,Berlin,Background,23.404255319148938,9.929078014184398,31.20567375886525,10.638297872340424,24.822695035460992,0.0,7.897000000000002
DEBE056,2006,26.852,Berlin,Background,15.436241610738255,15.436241610738255,35.57046979865772,8.724832214765101,24.832214765100677,0.0,-5.614000000000001
DEBE056,2011,21.238,Berlin,Background,12.751677852348994,19.463087248322147,31.543624161073826,0.0,26.174496644295303,0.0,-2.8900000000000006
DEBE056,2016,18.348,Berlin,Background,16.875,16.875,23.75,7.5,19.375,15.625,-3.084999999999999
DEBE061,1999,37.022,Berlin,Traffic,19.526627218934912,10.650887573964498,24.85207100591716,0.0,44.97041420118343,0.0,-3.311
DEBE061,2001,35.0115,Berlin,Traffic,23.404255319148938,9.929078014184398,31.20567375886525,10.638297872340424,24.822695035460992,0.0,1.5414999999999992
DEBE061,2006,36.553,Berlin,Traffic,15.436241610738255,15.436241610738255,35.57046979865772,8.724832214765101,24.832214765100677,0.0,-8.367999999999999
DEBE061,2011,28.185,Berlin,Traffic,12.751677852348994,19.463087248322147,31.543624161073826,0.0,26.174496644295303,0.0,-3.526
DEBE061,2016,24.659,Berlin,Traffic,16.875,16.875,23.75,7.5,19.375,15.625,-4.099999999999998
DEBE063,2006,38.306,Berlin,Traffic,15.436241610738255,15.436241610738255,35.57046979865772,8.724832214765101,24.832214765100677,0.0,-6.430999999999997
DEBE063,2011,31.875,Berlin,Traffic,12.751677852348994,19.463087248322147,31.543624161073826,0.0,26.174496644295303,0.0,-5.942
DEBE063,2016,25.933,Berlin,Traffic,16.875,16.875,23.75,7.5,19.375,15.625,1.8279999999999994
DEBE064,2006,37.293,Berlin,Traffic,15.436241610738255,15.436241610738255,35.57046979865772,8.724832214765101,24.832214765100677,0.0,-7.692
DEBE064,2011,29.601,Berlin,Traffic,12.751677852348994,19.463087248322147,31.543624161073826,0.0,26.174496644295303,0.0,-0.2699999999999996
DEBE064,2016,29.331,Berlin,Traffic,16.875,16.875,23.75,7.5,19.375,15.625,-5.010999999999999
DEBE065,1999,38.278,Berlin,Traffic,19.526627218934912,10.650887573964498,24.85207100591716,0.0,44.97041420118343,0.0,-4.059999999999995
DEBE065,2001,35.5205,Berlin,Traffic,23.404255319148938,9.929078014184398,31.20567375886525,10.638297872340424,24.822695035460992,0.0,4.140500000000003
DEBE065,2006,39.661,Berlin,Traffic,15.436241610738255,15.436241610738255,35.57046979865772,8.724832214765101,24.832214765100677,0.0,-9.861
DEBE065,2011,29.8,Berlin,Traffic,12.751677852348994,19.463087248322147,31.543624161073826,0.0,26.174496644295303,0.0,-2.2070000000000007
DEBE065,2016,27.593,Berlin,Traffic,16.875,16.875,23.75,7.5,19.375,15.625,-4.73
DEBE067,2006,34.117,Berlin,Traffic,15.436241610738255,15.436241610738255,35.57046979865772,8.724832214765101,24.832214765100677,0.0,-5.869999999999997
DEBE068,2006,36.177,Berlin,Background,15.436241610738255,15.436241610738255,35.57046979865772,8.724832214765101,24.832214765100677,0.0,-10.825
DEBE068,2011,25.352,Berlin,Background,12.751677852348994,19.463087248322147,31.543624161073826,0.0,26.174496644295303,0.0,-3.3200000000000003
DEBE068,2016,22.032,Berlin,Background,16.875,16.875,23.75,7.5,19.375,15.625,-3.1849999999999987
DEBE069,2011,32.913,Berlin,Traffic,12.751677852348994,19.463087248322147,31.543624161073826,0.0,26.174496644295303,0.0,-7.363999999999997
DEBE069,2016,25.549,Berlin,Traffic,16.875,16.875,23.75,7.5,19.375,15.625,-3.367000000000001
DEBW001,1999,26.779,Karlsruhe,Traffic,0.0,0.0,25.0,0.0,45.83333333333333,0.0,-2.3369999999999997
