Wahlkreis,Gemeindenummer,Gemeindename,A1,A2,A3,A,B,B1,D,Stimmen gesamt,CDU,SPD,PDS,FDP,C5,C6,C7,C8,GRÜNE,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49
53,13053037,Jürgenshagen,590,11,0,601,406,10,77,1141,402,160,153,40,x,x,x,x,x,x,x,x,x,x,x,x,x,x,347,x,x,x,x,x,x,x,x,x,x,x,x,23,x,x,x,x,x,x,x,x,x,7,4,5,x,x,x,x,x
53,13053039,Klein Belitz,415,6,0,421,231,3,91,602,171,151,125,14,x,x,x,x,x,x,x,x,x,x,x,x,x,x,131,x,x,x,x,x,x,x,x,x,x,x,x,3,x,x,x,x,x,x,x,x,x,6,1,0,x,x,x,x,x
53,13053040,Klein Sien,333,14,0,347,231,13,47,646,296,114,153,1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,52,x,x,x,x,x,x,x,x,x,x,x,x,17,x,x,x,x,x,x,x,x,x,3,5,5,x,x,x,x,x
53,13053041,Klein Upahl,205,19,0,224,189,18,56,511,172,124,162,18,x,x,x,x,x,x,x,x,x,x,x,x,x,x,12,x,x,x,x,x,x,x,x,x,x,x,x,10,x,x,x,x,x,x,x,x,x,7,6,0,x,x,x,x,x
53,13053043,"Krakow am See, Stadt",2629,118,0,2747,1643,0,237,4692,1431,1320,1112,684,x,x,x,x,x,x,x,x,x,x,x,x,x,x,6,x,x,x,x,x,x,x,x,x,x,x,x,96,x,x,x,x,x,x,x,x,x,24,14,5,x,x,x,x,x
53,13053044,Kuchelmiß,680,17,0,697,399,14,44,1153,319,408,176,209,x,x,x,x,x,x,x,x,x,x,x,x,x,x,3,x,x,x,x,x,x,x,x,x,x,x,x,19,x,x,x,x,x,x,x,x,x,5,11,3,x,x,x,x,x
53,13053045,Kuhs,303,3,0,306,220,3,30,630,211,169,154,36,x,x,x,x,x,x,x,x,x,x,x,x,x,x,7,x,x,x,x,x,x,x,x,x,x,x,x,40,x,x,x,x,x,x,x,x,x,3,7,3,x,x,x,x,x
53,13053046,Kurzen Trechow,279,3,0,282,200,3,50,550,202,107,140,6,x,x,x,x,x,x,x,x,x,x,x,x,x,x,89,x,x,x,x,x,x,x,x,x,x,x,x,6,x,x,x,x,x,x,x,x,x,0,0,0,x,x,x,x,x
53,13053047,"Laage, Stadt",4052,184,0,4236,2026,0,318,5760,2337,1313,1325,566,x,x,x,x,x,x,x,x,x,x,x,x,x,x,24,x,x,x,x,x,x,x,x,x,x,x,x,86,x,x,x,x,x,x,x,x,x,46,50,13,x,x,x,x,x
53,13053048,Lalendorf,1204,34,0,1238,697,0,152,1939,841,491,398,63,x,x,x,x,x,x,x,x,x,x,x,x,x,x,8,x,x,x,x,x,x,x,x,x,x,x,x,75,x,x,x,x,x,x,x,x,x,50,9,4,x,x,x,x,x
53,13053049,Langhagen,623,19,0,642,377,0,70,1061,235,429,125,184,x,x,x,x,x,x,x,x,x,x,x,x,x,x,7,x,x,x,x,x,x,x,x,x,x,x,x,36,x,x,x,x,x,x,x,x,x,37,3,5,x,x,x,x,x
53,13053050,Lelkendorf,512,25,0,537,340,25,88,932,343,83,393,62,x,x,x,x,x,x,x,x,x,x,x,x,x,x,3,x,x,x,x,x,x,x,x,x,x,x,x,4,x,x,x,x,x,x,x,x,x,23,2,19,x,x,x,x,x
53,13053051,Levitzow,211,2,0,213,155,2,22,443,319,46,51,2,x,x,x,x,x,x,x,x,x,x,x,x,x,x,2,x,x,x,x,x,x,x,x,x,x,x,x,0,x,x,x,x,x,x,x,x,x,21,0,2,x,x,x,x,x
53,13053052,Liessow,477,11,0,488,297,9,30,861,325,295,76,152,x,x,x,x,x,x,x,x,x,x,x,x,x,x,5,x,x,x,x,x,x,x,x,x,x,x,x,6,x,x,x,x,x,x,x,x,x,1,1,0,x,x,x,x,x
53,13053053,Linstow,160,7,0,167,134,7,45,357,167,121,9,26,x,x,x,x,x,x,x,x,x,x,x,x,x,x,6,x,x,x,x,x,x,x,x,x,x,x,x,13,x,x,x,x,x,x,x,x,x,11,1,3,x,x,x,x,x
53,13053054,Lohmen,700,45,0,745,481,23,65,1378,462,431,268,89,x,x,x,x,x,x,x,x,x,x,x,x,x,x,10,x,x,x,x,x,x,x,x,x,x,x,x,86,x,x,x,x,x,x,x,x,x,16,13,3,x,x,x,x,x
53,13053056,Lühburg,236,4,0,240,154,4,44,418,118,195,49,33,x,x,x,x,x,x,x,x,x,x,x,x,x,x,2,x,x,x,x,x,x,x,x,x,x,x,x,7,x,x,x,x,x,x,x,x,x,10,0,4,x,x,x,x,x
53,13053057,Lüssow,953,32,0,985,524,25,128,1444,612,263,306,35,x,x,x,x,x,x,x,x,x,x,x,x,x,x,34,x,x,x,x,x,x,x,x,x,x,x,x,173,x,x,x,x,x,x,x,x,x,16,4,1,x,x,x,x,x
53,13053058,Mamerow,324,7,0,331,186,7,42,516,192,147,87,29,x,x,x,x,x,x,x,x,x,x,x,x,x,x,6,x,x,x,x,x,x,x,x,x,x,x,x,34,x,x,x,x,x,x,x,x,x,10,10,1,x,x,x,x,x
53,13053059,Matgendorf,271,7,0,278,183,7,47,502,334,83,26,3,x,x,x,x,x,x,x,x,x,x,x,x,x,x,1,x,x,x,x,x,x,x,x,x,x,x,x,7,x,x,x,x,x,x,x,x,x,32,2,14,x,x,x,x,x
53,13053060,Mistorf,580,6,0,586,353,6,116,943,434,198,181,30,x,x,x,x,x,x,x,x,x,x,x,x,x,x,15,x,x,x,x,x,x,x,x,x,x,x,x,63,x,x,x,x,x,x,x,x,x,12,9,1,x,x,x,x,x
53,13053061,Moisall,231,5,0,236,149,4,25,422,116,87,148,13,x,x,x,x,x,x,x,x,x,x,x,x,x,x,54,x,x,x,x,x,x,x,x,x,x,x,x,4,x,x,x,x,x,x,x,x,x,0,0,0,x,x,x,x,x
53,13053062,Mühl Rosin,908,35,0,943,641,28,63,1860,690,382,320,243,x,x,x,x,x,x,x,x,x,x,x,x,x,x,22,x,x,x,x,x,x,x,x,x,x,x,x,163,x,x,x,x,x,x,x,x,x,23,17,0,x,x,x,x,x
53,13053063,Neu Heinde,277,8,0,285,223,7,60,609,189,278,84,18,x,x,x,x,x,x,x,x,x,x,x,x,x,x,1,x,x,x,x,x,x,x,x,x,x,x,x,12,x,x,x,x,x,x,x,x,x,21,2,4,x,x,x,x,x
53,13053064,Neuendorf,126,2,0,128,107,2,17,304,144,77,37,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,44,x,x,x,x,x,x,x,x,x,x,x,x,0,x,x,x,x,x,x,x,x,x,1,1,0,x,x,x,x,x
53,13053065,Oettelin,152,5,0,157,110,5,16,314,142,109,40,4,x,x,x,x,x,x,x,x,x,x,x,x,x,x,14,x,x,x,x,x,x,x,x,x,x,x,x,4,x,x,x,x,x,x,x,x,x,1,0,0,x,x,x,x,x
53,13053067,Penzin,128,0,0,128,96,0,20,268,110,63,29,8,x,x,x,x,x,x,x,x,x,x,x,x,x,x,55,x,x,x,x,x,x,x,x,x,x,x,x,3,x,x,x,x,x,x,x,x,x,0,0,0,x,x,x,x,x
53,13053068,Plaaz,579,4,0,583,427,3,140,1141,465,247,280,39,x,x,x,x,x,x,x,x,x,x,x,x,x,x,14,x,x,x,x,x,x,x,x,x,x,x,x,57,x,x,x,x,x,x,x,x,x,23,12,4,x,x,x,x,x
53,13053069,Poggelow,288,19,0,307,211,19,44,589,214,143,168,14,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0,x,x,x,x,x,x,x,x,x,x,x,x,9,x,x,x,x,x,x,x,x,x,27,3,11,x,x,x,x,x
53,13053070,Pölitz,207,4,0,211,132,4,25,371,219,93,26,18,x,x,x,x,x,x,x,x,x,x,x,x,x,x,1,x,x,x,x,x,x,x,x,x,x,x,x,8,x,x,x,x,x,x,x,x,x,2,4,0,x,x,x,x,x
53,13053071,Prebberede,398,15,0,413,247,15,52,689,336,227,77,8,x,x,x,x,x,x,x,x,x,x,x,x,x,x,2,x,x,x,x,x,x,x,x,x,x,x,x,13,x,x,x,x,x,x,x,x,x,19,0,7,x,x,x,x,x
53,13053072,Prüzen,615,24,0,639,341,24,138,885,369,192,194,27,x,x,x,x,x,x,x,x,x,x,x,x,x,x,12,x,x,x,x,x,x,x,x,x,x,x,x,65,x,x,x,x,x,x,x,x,x,11,11,4,x,x,x,x,x
53,13053074,Recknitz,213,10,0,223,145,10,39,396,143,101,90,18,x,x,x,x,x,x,x,x,x,x,x,x,x,x,4,x,x,x,x,x,x,x,x,x,x,x,x,26,x,x,x,x,x,x,x,x,x,12,0,2,x,x,x,x,x
53,13053075,Reimershagen,383,13,0,396,251,11,82,671,254,201,165,12,x,x,x,x,x,x,x,x,x,x,x,x,x,x,4,x,x,x,x,x,x,x,x,x,x,x,x,32,x,x,x,x,x,x,x,x,x,2,1,0,x,x,x,x,x
53,13053076,Remlin,198,3,0,201,152,3,18,438,188,150,54,16,x,x,x,x,x,x,x,x,x,x,x,x,x,x,9,x,x,x,x,x,x,x,x,x,x,x,x,0,x,x,x,x,x,x,x,x,x,19,1,1,x,x,x,x,x
53,13053078,Rühn,471,12,0,483,397,12,54,1137,614,192,163,14,x,x,x,x,x,x,x,x,x,x,x,x,x,x,148,x,x,x,x,x,x,x,x,x,x,x,x,2,x,x,x,x,x,x,x,x,x,0,1,3,x,x,x,x,x
53,13053079,Sabel,289,12,0,301,217,10,64,587,168,247,98,26,x,x,x,x,x,x,x,x,x,x,x,x,x,x,6,x,x,x,x,x,x,x,x,x,x,x,x,31,x,x,x,x,x,x,x,x,x,2,5,4,x,x,x,x,x
53,13053080,Sarmstorf,388,10,0,398,253,7,48,711,382,145,107,31,x,x,x,x,x,x,x,x,x,x,x,x,x,x,7,x,x,x,x,x,x,x,x,x,x,x,x,31,x,x,x,x,x,x,x,x,x,2,6,0,x,x,x,x,x
53,13053081,Schlemmin,115,25,0,140,109,18,26,301,129,71,50,7,x,x,x,x,x,x,x,x,x,x,x,x,x,x,40,x,x,x,x,x,x,x,x,x,x,x,x,0,x,x,x,x,x,x,x,x,x,3,1,0,x,x,x,x,x
53,13053082,Selow,388,8,0,396,218,0,45,609,231,143,122,12,x,x,x,x,x,x,x,x,x,x,x,x,x,x,87,x,x,x,x,x,x,x,x,x,x,x,x,12,x,x,x,x,x,x,x,x,x,1,1,0,x,x,x,x,x
53,13053083,Steinhagen,594,12,0,606,388,10,75,1089,316,286,223,21,x,x,x,x,x,x,x,x,x,x,x,x,x,x,231,x,x,x,x,x,x,x,x,x,x,x,x,4,x,x,x,x,x,x,x,x,x,5,0,3,x,x,x,x,x
53,13053084,Striesdorf,313,13,0,326,188,0,51,513,256,85,116,35,x,x,x,x,x,x,x,x,x,x,x,x,x,x,8,x,x,x,x,x,x,x,x,x,x,x,x,5,x,x,x,x,x,x,x,x,x,2,3,3,x,x,x,x,x
53,13053085,Sukow-Marienhof,242,2,0,244,174,2,35,487,328,81,37,3,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0,x,x,x,x,x,x,x,x,x,x,x,x,0,x,x,x,x,x,x,x,x,x,23,5,10,x,x,x,x,x
53,13053086,Tarnow,739,14,0,753,473,12,83,1336,826,146,210,19,x,x,x,x,x,x,x,x,x,x,x,x,x,x,109,x,x,x,x,x,x,x,x,x,x,x,x,19,x,x,x,x,x,x,x,x,x,3,3,1,x,x,x,x,x
53,13053087,"Teterow, Stadt",8066,519,0,8585,3880,455,441,11199,3653,1998,2058,103,x,x,x,x,x,x,x,x,x,x,x,x,x,x,26,x,x,x,x,x,x,x,x,x,x,x,x,43,x,x,x,x,x,x,x,x,x,3271,26,21,x,x,x,x,x
53,13053088,Thürkow,357,11,0,368,216,11,69,579,291,127,86,14,x,x,x,x,x,x,x,x,x,x,x,x,x,x,3,x,x,x,x,x,x,x,x,x,x,x,x,5,x,x,x,x,x,x,x,x,x,51,0,2,x,x,x,x,x
53,13053089,Vietgest,502,65,0,567,456,0,86,1282,618,353,172,42,x,x,x,x,x,x,x,x,x,x,x,x,x,x,5,x,x,x,x,x,x,x,x,x,x,x,x,62,x,x,x,x,x,x,x,x,x,11,17,2,x,x,x,x,x
53,13053091,Walkendorf,455,14,0,469,324,13,88,884,247,379,147,52,x,x,x,x,x,x,x,x,x,x,x,x,x,x,4,x,x,x,x,x,x,x,x,x,x,x,x,8,x,x,x,x,x,x,x,x,x,43,1,3,x,x,x,x,x
53,13053092,Wardow,731,68,0,799,453,57,120,1239,706,134,185,53,x,x,x,x,x,x,x,x,x,x,x,x,x,x,3,x,x,x,x,x,x,x,x,x,x,x,x,17,x,x,x,x,x,x,x,x,x,11,123,7,x,x,x,x,x
53,13053093,Warnkenhagen,329,21,0,350,246,20,100,638,197,124,175,5,x,x,x,x,x,x,x,x,x,x,x,x,x,x,1,x,x,x,x,x,x,x,x,x,x,x,x,11,x,x,x,x,x,x,x,x,x,97,3,25,x,x,x,x,x
53,13053094,Warnow,646,24,0,670,447,24,77,1264,603,275,200,20,x,x,x,x,x,x,x,x,x,x,x,x,x,x,151,x,x,x,x,x,x,x,x,x,x,x,x,10,x,x,x,x,x,x,x,x,x,1,4,0,x,x,x,x,x
53,13053095,Wasdow,367,6,0,373,199,6,33,564,226,207,53,47,x,x,x,x,x,x,x,x,x,x,x,x,x,x,1,x,x,x,x,x,x,x,x,x,x,x,x,9,x,x,x,x,x,x,x,x,x,8,2,11,x,x,x,x,x
53,13053096,Wattmannshagen,855,18,0,873,468,18,104,1300,694,227,259,35,x,x,x,x,x,x,x,x,x,x,x,x,x,x,6,x,x,x,x,x,x,x,x,x,x,x,x,25,x,x,x,x,x,x,x,x,x,47,5,2,x,x,x,x,x
53,13053097,Weitendorf,668,8,0,676,394,7,70,1112,486,210,225,125,x,x,x,x,x,x,x,x,x,x,x,x,x,x,11,x,x,x,x,x,x,x,x,x,x,x,x,31,x,x,x,x,x,x,x,x,x,7,6,11,x,x,x,x,x
53,13053098,Zehna,603,5,0,608,349,4,96,951,320,296,190,52,x,x,x,x,x,x,x,x,x,x,x,x,x,x,4,x,x,x,x,x,x,x,x,x,x,x,x,62,x,x,x,x,x,x,x,x,x,6,18,3,x,x,x,x,x
53,13053099,Zepelin,296,4,0,300,220,3,47,613,215,135,142,7,x,x,x,x,x,x,x,x,x,x,x,x,x,x,103,x,x,x,x,x,x,x,x,x,x,x,x,9,x,x,x,x,x,x,x,x,x,2,0,0,x,x,x,x,x
53,13053100,Zernin,378,3,0,381,230,3,52,638,250,157,125,9,x,x,x,x,x,x,x,x,x,x,x,x,x,x,83,x,x,x,x,x,x,x,x,x,x,x,x,10,x,x,x,x,x,x,x,x,x,2,2,0,x,x,x,x,x
53,13053101,Lübzin-Rosenow,258,9,0,267,213,9,38,601,322,121,86,12,x,x,x,x,x,x,x,x,x,x,x,x,x,x,51,x,x,x,x,x,x,x,x,x,x,x,x,5,x,x,x,x,x,x,x,x,x,4,0,0,x,x,x,x,x
54,13054001,Alt Krenzlin,681,36,0,717,490,34,103,1367,576,452,210,x,x,14,x,x,60,x,x,x,x,x,x,x,x,48,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,7,x,x,x,x,x,x,x
54,13054002,Alt Zachun,308,9,0,317,249,7,43,704,251,203,140,1,x,14,x,x,12,x,x,x,x,x,x,x,x,83,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
54,13054003,Balow,285,12,0,297,230,12,52,638,248,136,189,5,x,6,x,x,14,x,x,x,x,x,x,x,x,26,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,14,x,x,x,x,x,x
54,13054004,Bandenitz,371,5,0,376,264,5,35,757,214,154,179,9,x,25,x,x,12,x,x,x,x,x,x,x,x,164,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
54,13054005,Bantin,329,11,0,340,169,11,17,490,264,138,38,x,x,14,x,x,6,x,x,x,x,x,x,x,x,30,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
54,13054006,Banzin,257,6,0,263,150,6,34,416,166,140,68,7,x,8,x,x,8,x,x,x,x,x,x,x,x,19,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
54,13054007,Belsch,210,9,0,219,162,9,18,468,180,134,89,13,x,7,x,x,14,x,x,x,x,x,x,x,x,31,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
54,13054008,Bennin,206,14,0,220,164,14,22,470,217,163,52,5,x,11,x,x,12,x,x,x,x,x,x,x,x,10,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
54,13054009,Besitz,402,6,0,408,301,6,48,855,295,338,94,x,x,10,x,x,33,x,x,x,x,x,x,x,x,85,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
54,13054010,Blievenstorf,418,11,0,429,293,0,97,782,181,212,305,x,x,9,x,x,53,x,x,x,x,x,x,x,x,9,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,13,x,x,x,x,x,x,x
54,13054011,Bobzin,240,1,0,241,168,1,18,486,183,138,78,6,x,4,x,x,8,x,x,x,x,x,x,x,x,69,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
54,13054013,"Boizenburg/Elbe, Stadt",8649,350,0,8999,3754,329,511,10751,2119,3695,2723,314,x,264,x,981,104,x,x,x,x,x,x,x,x,551,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
54,13054014,Brahlstorf,657,23,0,680,428,20,49,1235,552,387,149,6,x,36,x,x,51,x,x,x,x,x,x,x,x,54,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
54,13054015,Brenz,483,12,0,495,318,0,71,883,271,189,175,x,x,13,x,x,60,x,x,x,x,x,x,x,x,28,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,147,x,x,x,x,x,x,x
54,13054016,Bresegard bei Picher,300,3,0,303,191,3,26,547,195,193,71,8,x,8,x,x,57,x,x,x,x,x,x,x,x,15,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
54,13054017,Bresegard bei Eldena,194,5,0,199,164,5,16,476,248,113,19,x,x,2,x,x,24,x,x,x,x,x,x,x,x,70,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0,x,x,x,x,x,x,x
54,13054018,Brunow,332,8,0,340,255,0,48,717,327,259,61,5,x,6,x,x,12,x,x,x,x,x,x,x,x,43,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,4,x,x,x,x,x,x
54,13054019,Camin,285,10,0,295,168,9,30,474,286,106,37,5,x,4,x,x,6,x,x,x,x,x,x,x,x,30,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
54,13054020,Dadow,134,7,0,141,109,7,27,300,112,123,33,3,x,0,x,x,9,x,x,x,x,x,x,x,x,13,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,7,x,x,x,x,x,x
54,13054021,Dambeck,305,11,0,316,227,7,25,656,388,159,71,12,x,2,x,x,8,x,x,x,x,x,x,x,x,12,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,4,x,x,x,x,x,x
54,13054022,Dersenow,388,16,0,404,258,16,54,720,305,270,68,5,x,22,x,x,10,x,x,x,x,x,x,x,x,40,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
54,13054024,"Dömitz, Stadt",2124,99,0,2223,1292,0,196,3680,1530,596,737,450,x,43,x,x,104,x,x,x,x,x,x,x,x,180,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,40,x,x,x,x,x
54,13054027,Dümmer,1037,52,0,1089,621,47,103,1760,830,394,279,23,x,7,x,x,151,x,x,x,x,x,x,x,x,76,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
54,13054028,Eldena,1230,45,0,1275,862,44,142,2444,1305,555,277,25,x,63,x,x,127,x,x,x,x,x,x,x,x,51,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,41,x,x,x,x,x,x
54,13054029,Fahrbinde,253,6,0,259,192,4,30,546,201,91,116,x,x,4,x,x,11,x,x,x,x,x,x,x,x,118,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,5,x,x,x,x,x,x,x
54,13054030,Gallin,414,15,0,429,258,13,71,703,427,140,78,x,x,13,x,x,9,x,x,x,x,x,x,x,x,36,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
54,13054031,Gammelin,349,15,0,364,223,15,43,626,220,149,115,7,x,13,x,x,33,x,x,x,x,x,x,x,x,89,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
54,13054032,Garlitz,359,12,0,371,222,12,51,615,188,190,60,34,x,13,x,x,2,x,x,x,x,x,x,x,x,128,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
54,13054033,Glaisin,303,5,0,308,242,0,12,714,321,153,41,x,x,4,x,x,27,x,x,x,x,x,x,x,x,163,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,5,x,x,x,x,x,x,x
54,13054034,Göhlen,380,12,0,392,265,0,45,750,261,300,93,x,x,4,x,x,28,x,x,x,x,x,x,x,x,62,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,2,x,x,x,x,x,x,x
54,13054035,Gorlosen,347,15,0,362,208,13,32,592,213,194,61,27,x,13,x,x,43,x,x,x,x,x,x,x,x,29,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,12,x,x,x,x,x
54,13054036,Gößlow,249,20,0,269,161,18,35,448,121,166,88,11,x,2,x,x,3,x,x,x,x,x,x,x,x,57,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
54,13054037,"Grabow, Stadt",5376,330,0,5706,2662,292,413,7573,3526,1737,1506,60,x,62,x,x,219,x,x,x,x,x,x,x,x,78,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,385,x,x,x,x,x,x
54,13054038,Grebs,295,3,0,298,202,3,49,557,166,148,44,7,x,16,x,x,17,x,x,x,x,x,x,x,x,154,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,5,x,x,x,x,x
54,13054039,Gresse,545,11,0,556,290,10,43,827,273,329,116,x,x,12,x,x,17,x,x,x,x,x,x,x,x,80,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
54,13054040,Greven,565,16,0,581,337,15,69,942,276,288,101,x,x,22,x,x,54,x,x,x,x,x,x,x,x,201,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
54,13054041,Groß Krams,167,6,0,173,113,6,52,287,104,103,23,28,x,6,x,x,12,x,x,x,x,x,x,x,x,11,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
54,13054042,Groß Laasch,836,32,0,868,647,26,90,1851,693,550,311,x,x,39,x,x,139,x,x,x,x,x,x,x,x,104,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,15,x,x,x,x,x,x,x
54,13054043,"Hagenow, Stadt",9566,494,0,10060,4381,338,572,12571,4203,4204,3423,97,x,201,x,x,221,x,x,x,x,x,x,x,x,222,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
54,13054044,Heidhof,272,4,0,276,183,0,32,517,152,64,170,14,x,17,x,x,8,x,x,x,x,x,x,x,x,92,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0,x,x,x,x,x
54,13054045,Holthusen,639,35,0,674,466,35,67,1331,566,361,238,35,x,10,x,x,91,x,x,x,x,x,x,x,x,30,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
54,13054046,Hoort,477,11,0,488,320,11,60,900,326,236,141,12,x,5,x,x,26,x,x,x,x,x,x,x,x,154,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
54,13054047,Hülseburg,129,2,0,131,83,2,32,217,131,39,19,2,x,5,x,x,9,x,x,x,x,x,x,x,x,12,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
54,13054048,Jessenitz,323,8,0,331,211,8,28,605,259,197,83,25,x,8,x,x,4,x,x,x,x,x,x,x,x,29,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
54,13054049,Karenz,244,8,0,252,168,0,34,470,161,48,144,5,x,7,x,x,21,x,x,x,x,x,x,x,x,84,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
54,13054051,Karstädt,551,3,0,554,246,3,55,683,222,218,106,3,x,26,x,x,61,x,x,x,x,x,x,x,x,25,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,22,x,x,x,x,x,x
54,13054052,Kirch Jesar,483,25,0,508,397,25,76,1115,634,231,187,9,x,8,x,x,19,x,x,x,x,x,x,x,x,27,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
54,13054053,Klein Bengerstorf,270,10,0,280,170,9,17,493,180,125,49,x,x,3,x,x,16,x,x,x,x,x,x,x,x,120,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
54,13054054,Klein Rogahn,959,32,0,991,561,26,69,1614,712,309,281,13,x,11,x,x,108,x,x,x,x,x,x,x,x,180,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
54,13054055,Kloddram,131,11,0,142,81,11,8,235,86,82,40,2,x,3,x,x,14,x,x,x,x,x,x,x,x,8,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
