Berechnungsdatum;Ausgabe;Kreis;Kreisname;Amt;Amtsname;Gemeinde;Gemeindename;Wahlbezirke insg.;Erf. Wahlbezirke;Wahlberechtigte;W�hler;Wahlbeteiligung;Ung�ltige Stimmen;Gültige Stimmen;CDU;DIE LINKE;SPD;AfD;GRÜNE;FDP;FREIE W�HLER;HEIMAT;Die PARTEI;Tierschutzpartei;PIRATEN;B�ndnis C;DKP;A: SAHRA;ASK;Aktive Vorpommern;AWD;ABLR;AfL;dieBasis;BFW;B�NDNIS DEUTSCHLAND;B�ndnis Ducherow;BBM;BSW;BfB;BkW;B�rger f�r Stralsund;BVR;BB;BB NWM;BL;Cannabis und B�rgerrechte;Die Unabh�ngigen;Freier Horizont VG;Freier Horizont LUP;FREIER HORIZONT MSE;Freier Horizont HRO;Freier Horizlucaslorentzont LRO;F�r R�gen;Graue Rostock;IBG;IZ;kus;K-I;LfK;Rostocker Bund;UB;UFR;Volt;VAH;WGLR;LUL;WG Sozial;WGU;W�hlergemeinschaft Wittenhagen;W�hlergruppe Adomeit;WGP;Heimat und Identit�t;WLD;Einzelbewerber
18.06.2024 15:52:00;P;71;Mecklenburgische Seenplatte;113;Feldberger Seenlandschaft;13071033;Feldberger Seenlandschaft;10;10;3878;2640;68,1;1,6;98,4;24,1;5,3;20,1;27,7;6,4;0,6;2,7;0,2;x;x;x;x;x;x;x;x;x;x;x;0,5;x;x;x;x;10,1;x;x;x;x;x;x;x;0,7;x;x;x;0,8;x;x;x;x;x;x;x;x;x;x;x;x;x;x;0,5;x;x;x;x;x;x;x;x;0,2
18.06.2024 15:52:00;A;71;Mecklenburgische Seenplatte;114;Neustrelitz, Residenzstadt;13071110;Neustrelitz, Residenzstadt;18;18;17413;10533;60,5;297;30742;7510;1917;5740;7511;1965;1017;481;93;x;x;x;x;x;x;x;x;x;x;x;143;x;x;x;x;3462;x;x;x;x;x;x;x;338;x;x;x;243;x;x;x;x;x;x;x;x;x;x;x;x;x;x;82;x;x;x;x;x;x;x;x;240
18.06.2024 15:52:00;P;71;Mecklenburgische Seenplatte;114;Neustrelitz, Residenzstadt;13071110;Neustrelitz, Residenzstadt;18;18;17413;10533;60,5;1,0;99,0;24,4;6,2;18,7;24,4;6,4;3,3;1,6;0,3;x;x;x;x;x;x;x;x;x;x;x;0,5;x;x;x;x;11,3;x;x;x;x;x;x;x;1,1;x;x;x;0,8;x;x;x;x;x;x;x;x;x;x;x;x;x;x;0,3;x;x;x;x;x;x;x;x;0,8
18.06.2024 15:52:00;A;71;Mecklenburgische Seenplatte;115;Waren (M�ritz), Stadt;13071156;Waren (M�ritz), Stadt;22;22;18007;10373;57,6;516;29730;6658;1748;4693;8686;1341;1713;315;104;x;x;x;x;x;x;x;x;x;x;x;89;x;x;x;x;3768;x;x;x;x;x;x;x;123;x;x;x;363;x;x;x;x;x;x;x;x;x;x;x;x;x;x;57;x;x;x;x;x;x;x;x;72
18.06.2024 15:52:00;P;71;Mecklenburgische Seenplatte;115;Waren (M�ritz), Stadt;13071156;Waren (M�ritz), Stadt;22;22;18007;10373;57,6;1,7;98,3;22,4;5,9;15,8;29,2;4,5;5,8;1,1;0,3;x;x;x;x;x;x;x;x;x;x;x;0,3;x;x;x;x;12,7;x;x;x;x;x;x;x;0,4;x;x;x;1,2;x;x;x;x;x;x;x;x;x;x;x;x;x;x;0,2;x;x;x;x;x;x;x;x;0,2
18.06.2024 15:52:00;A;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071008;Beggerow;1;1;424;280;66,0;12;800;201;33;65;292;42;10;31;0;x;x;x;x;x;x;x;x;x;x;x;0;x;x;x;x;87;x;x;x;x;x;x;x;10;x;x;x;16;x;x;x;x;x;x;x;x;x;x;x;x;x;x;13;x;x;x;x;x;x;x;x;0
18.06.2024 15:52:00;P;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071008;Beggerow;1;1;424;280;66,0;1,5;98,5;25,1;4,1;8,1;36,5;5,3;1,3;3,9;0,0;x;x;x;x;x;x;x;x;x;x;x;0,0;x;x;x;x;10,9;x;x;x;x;x;x;x;1,3;x;x;x;2,0;x;x;x;x;x;x;x;x;x;x;x;x;x;x;1,6;x;x;x;x;x;x;x;x;0,0
18.06.2024 15:52:00;A;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071014;Borrentin;1;1;666;419;62,9;18;1222;349;75;68;404;42;15;93;3;x;x;x;x;x;x;x;x;x;x;x;10;x;x;x;x;120;x;x;x;x;x;x;x;12;x;x;x;12;x;x;x;x;x;x;x;x;x;x;x;x;x;x;14;x;x;x;x;x;x;x;x;5
18.06.2024 15:52:00;P;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071014;Borrentin;1;1;666;419;62,9;1,5;98,5;28,6;6,1;5,6;33,1;3,4;1,2;7,6;0,2;x;x;x;x;x;x;x;x;x;x;x;0,8;x;x;x;x;9,8;x;x;x;x;x;x;x;1,0;x;x;x;1,0;x;x;x;x;x;x;x;x;x;x;x;x;x;x;1,1;x;x;x;x;x;x;x;x;0,4
18.06.2024 15:52:00;A;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071064;Hohenbollentin;1;1;97;74;76,3;0;219;70;11;25;72;6;4;10;0;x;x;x;x;x;x;x;x;x;x;x;0;x;x;x;x;14;x;x;x;x;x;x;x;1;x;x;x;4;x;x;x;x;x;x;x;x;x;x;x;x;x;x;2;x;x;x;x;x;x;x;x;0
