Gemeindewahl 2021 - Endgültiges Ergebnis - Stand: 23.06.2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lfd.-Nr;GKZ;Gemeinde;Wahllokal;Wahlberechtigte ohne Sp.;Wahlberechtigte mit Sp.;Wahlberechtigte sonst.;Wahlberechtigte insgesamt;Wählerinnen und Wähler;darunter mit Wahlschein;ungültige Stimmzettel;gültige Stimmen;CDU;CDU-Sitze;GRÜNE;GRÜNE-Sitze;SPD;SPD-Sitze;AfD;AfD-Sitze;FDP;FDP-Sitze;DIE LINKE;DIE LINKE-Sitze;PIRATEN;PIRATEN-Sitze;FREIE WÄHLER;FREIE WÄHLER-Sitze;NPD;NPD-Sitze;Die PARTEI;Die PARTEI-Sitze;REP;REP-Sitze;DKP;DKP-Sitze;BIG;BIG-Sitze;APPD;APPD-Sitze;Bündnis C;Bündnis C-Sitze;Die Humanisten;Die Humanisten-Sitze;LKR;LKR-Sitze;Tierschutzpartei;Tierschutzpartei-Sitze;Volt;Volt-Sitze;WG1;WG1-Sitze;WG2;WG2-Sitze;WG3;WG3-Sitze;WG4;WG4-Sitze;WG5;WG5-Sitze;WG6;WG6-Sitze;WG7;WG7-Sitze;WG8;WG8-Sitze;WG9;WG9-Sitze;WG10;WG10-Sitze;WG11;WG11-Sitze;WG12;WG12-Sitze;WG13;WG13-Sitze;WG14;WG14-Sitze;WG15;WG15-Sitze;WG16;WG16-Sitze;;;;;;;;;;;;;;;;
14;431010;Groß-Rohrheim;;1907;1153;0;3060;1733;1107;37;30638;5109;3;;;12484;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7150;4;5895;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FW BfGR;LiGR;;;;;;;;;;;;;;
15;431011;Heppenheim (Bergstraße), Kreisstadt;;12609;7724;0;20333;10586;7053;387;352889;129114;14;63168;7;60217;6;;;41685;4;5729;1;;;;;;;;;;;;;;;;;;;;;;;22210;2;;;23057;2;7709;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FWH;WG LIZ;;;;;;;;;;;;;;
16;431012;Hirschhorn (Neckar), Stadt;;1832;917;0;2749;1415;850;28;19367;8338;6;;;4490;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6539;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Profil Hirschhorn;;;;;;;;;;;;;;;
17;431013;Lampertheim, Stadt;;17373;8381;0;25754;11709;7636;526;459165;154728;15;77824;8;160686;16;;;65927;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;431014;Lautertal (Odenwald);;3258;2606;0;5864;3555;2514;134;81668;25210;8;14484;4;21373;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20601;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LBL;;;;;;;;;;;;;;;
19;431015;Lindenfels, Stadt;;2735;1352;0;4087;2284;1252;84;64612;12373;6;8962;4;20877;10;;;4351;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18049;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LWG;;;;;;;;;;;;;;;
20;431016;Lorsch, Karolingerstadt;;6419;4535;0;10954;5943;4125;209;200527;80641;15;37190;7;33365;6;;;12914;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36417;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;PWL;;;;;;;;;;;;;;;
21;431017;Mörlenbach;;4728;3416;0;8144;4496;3180;186;122768;46604;12;23230;6;13934;3;;;13117;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7970;2;17913;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;UFW/FWG;FM;;;;;;;;;;;;;;
22;431018;Neckarsteinach, Stadt;;1815;1154;0;2969;1652;1128;33;29476;6981;4;4418;3;7858;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10219;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FWG;;;;;;;;;;;;;;;
23;431019;Rimbach;;4065;2823;0;6888;3799;2568;116;80291;16716;5;10995;3;23793;7;;;8953;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14976;4;4858;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FWG;BMN;;;;;;;;;;;;;;
24;431020;Viernheim, Stadt;;16642;8913;0;25555;11523;8197;420;464052;157796;15;80653;8;127496;12;;;26389;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;62539;6;9179;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;UBV Viernheim;WGV;;;;;;;;;;;;;;
25;431021;Wald-Michelbach;;5547;2873;0;8420;4247;2646;170;138339;34258;9;11826;3;29759;8;;;9940;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12593;3;14136;4;25827;7;;;;;;;;;;;;;;;;;;;;;;;;;;;BFW;AKB;FW;;;;;;;;;;;;;
26;431022;Zwingenberg, Stadt;;3918;1874;0;5792;3352;1749;99;96322;34534;11;;;16967;5;;;17173;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27648;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;GUD;;;;;;;;;;;;;;;
27;432001;Alsbach-Hähnlein;;4528;2774;0;7302;4067;2573;101;117860;38152;10;;;30446;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19895;5;29367;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FW;IUHAS;;;;;;;;;;;;;;
28;432002;Babenhausen, Stadt;;9143;3706;0;12849;6050;3411;193;200691;77823;14;29126;5;44164;8;;;19218;4;3777;1;;;;;;;;;;;;;;;;;;;;;;;;;;;26583;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FWB;;;;;;;;;;;;;;;
29;432003;Bickenbach;;2746;1964;0;4710;2734;1859;49;65220;19464;7;;;22147;9;;;5441;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18168;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Komm,A;;;;;;;;;;;;;;;
30;432004;Dieburg, Stadt;;6913;5146;0;12059;6987;4769;281;238010;85473;13;54128;8;42486;7;;;22078;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;33845;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;UWD;;;;;;;;;;;;;;;
31;432005;Eppertshausen;;2762;1918;0;4680;2392;1788;73;49311;31182;15;;;13264;6;;;4865;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;432006;Erzhausen;;3771;2362;0;6133;3306;2192;104;76514;11075;3;20316;7;17877;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27246;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<GfE>;;;;;;;;;;;;;;;
33;432007;Fischbachtal;;1251;992;0;2243;1523;936;30;21771;5098;4;3145;2;8816;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4712;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FWF;;;;;;;;;;;;;;;
34;432008;Griesheim, Stadt;;13441;7711;0;21152;10547;7090;325;364793;113071;11;85587;9;99417;10;;;26033;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40685;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WGG;;;;;;;;;;;;;;;
35;432009;Groß-Bieberau, Stadt;;2328;1430;0;3758;2096;1360;92;44444;9196;5;5653;3;11022;6;;;3723;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14850;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FWG;;;;;;;;;;;;;;;
36;432010;Groß-Umstadt, Stadt;;10849;6428;0;17277;9354;5959;254;315936;65440;8;54878;6;119639;14;;;22769;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;53210;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BVG;;;;;;;;;;;;;;;
37;432011;Groß-Zimmern;;6804;4224;0;11028;5533;3856;156;155245;65722;13;22521;4;43443;9;;;8652;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14907;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ZiLi;;;;;;;;;;;;;;;
38;432012;Messel;;1738;1429;0;3167;1964;1329;43;35350;12868;7;8281;4;10463;6;;;3738;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;432013;Modautal;;2381;1742;0;4123;2620;1620;73;53338;24414;10;11774;5;15854;7;;;1296;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;432014;Mühltal;;6302;4762;0;11064;6821;4580;232;231703;60206;9;48848;8;32548;5;;;22663;4;11139;2;;;;;;;;;;;;;;;;;;;;;;;;;;;29810;5;14137;2;12352;2;;;;;;;;;;;;;;;;;;;;;;;;;;;FUCHS;DM;BEW;;;;;;;;;;;;;
41;432015;Münster (Hessen);;6679;4493;0;11172;5833;4141;216;200097;86625;16;;;55437;10;;;26160;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31875;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ALMA-Die Grünen;;;;;;;;;;;;;;;
42;432016;Ober-Ramstadt, Stadt;;7111;4401;0;11512;6268;4029;157;181860;39921;7;34373;6;75897;13;;;9955;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21714;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Auf geht´s;;;;;;;;;;;;;;;
43;432017;Otzberg;;3216;2081;0;5297;3189;1952;66;74232;25354;8;11552;4;;;;;5905;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31421;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;MfO;;;;;;;;;;;;;;;
44;432018;Pfungstadt, Stadt;;13436;5965;0;19401;9415;5421;298;319920;56184;6;40622;5;104110;12;;;18002;2;;;;;23709;3;;;;;;;;;;;;;;;;;;;;;;;60216;7;17077;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;UBP;FGL;;;;;;;;;;;;;;
45;432019;Reinheim, Stadt;;8388;4961;0;13349;7224;4581;181;247346;32852;5;34397;5;115563;17;;;10663;2;;;;;;;;;;;;;20708;3;;;;;;;;;;;;;;;19625;3;13538;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Reinheimer Kreis e.V.;FWG;;;;;;;;;;;;;;
46;432020;Roßdorf;;5361;4505;0;9866;5952;4220;165;171300;28918;5;37117;7;72683;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29962;5;2620;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WiR;Denken20;;;;;;;;;;;;;;
47;432021;Schaafheim;;4933;2525;0;7458;3890;2357;81;111128;39257;11;14696;4;29894;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27281;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FWG;;;;;;;;;;;;;;;
48;432022;Seeheim-Jugenheim;;7848;4933;0;12781;7403;4598;221;245167;73669;11;83344;13;53582;8;;;27665;4;6907;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;432023;Weiterstadt, Stadt;;11923;7539;0;19462;9112;6563;328;301896;71121;9;;;130306;16;;;12155;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28860;4;59454;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FWW;ALW-GRÜNE;;;;;;;;;;;;;;
50;433001;Biebesheim am Rhein;;3355;1741;0;5096;2427;1616;116;67310;16353;8;13787;6;26975;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10195;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FWB;;;;;;;;;;;;;;;
51;433002;Bischofsheim;;6350;3174;0;9524;4776;2880;137;135333;40920;9;;;47924;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21070;5;25419;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BFW;GALB;;;;;;;;;;;;;;
52;433003;Büttelborn;;6858;4660;0;11518;6062;4278;212;174171;58790;10;;;70194;13;;;;;13727;2;;;;;;;;;;;;;;;;;;;;;;;;;;;31460;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;GLB;;;;;;;;;;;;;;;
53;433004;Gernsheim, Schöfferstadt;;5302;3008;0;8310;4210;2738;142;119820;51856;13;18184;5;33362;9;;;7284;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9134;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FWG;;;;;;;;;;;;;;;
54;433005;Ginsheim-Gustavsburg, Stadt;;8549;3861;0;12410;5805;3548;193;196385;43227;8;33553;6;56022;11;;;11305;2;8437;2;;;;;;;;;;;;;;;;;;;;;;;;;;;43841;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FW GiGu;;;;;;;;;;;;;;;
