,City,State,Date,Linke,Gruene,SPD,FDP,CDU,AfD,Others,left_coalition,right_coalition,left_dominated,others_dominated,Year,Average,Air Quality Station Type,CityStation
1,Aachen,NW,2003,1.7241379310344829,10.344827586206897,32.758620689655174,5.172413793103448,50.0,0.0,0.0,44.827586206896555,55.172413793103445,False,False,2003,32.039,Traffic,Aachen_Traffic
2,Aachen,NW,2003,1.7241379310344829,10.344827586206897,32.758620689655174,5.172413793103448,50.0,0.0,0.0,44.827586206896555,55.172413793103445,False,False,2003,20.694,Background,Aachen_Background
3,Aachen,NW,2004,1.7241379310344829,17.24137931034483,32.758620689655174,5.172413793103448,37.93103448275862,0.0,5.172413793103448,51.72413793103449,43.103448275862064,True,False,2004,28.959,Traffic,Aachen_Traffic
4,Aachen,NW,2004,1.7241379310344829,17.24137931034483,32.758620689655174,5.172413793103448,37.93103448275862,0.0,5.172413793103448,51.72413793103449,43.103448275862064,True,False,2004,17.94,Background,Aachen_Background
5,Aachen,NW,2005,1.7241379310344829,17.24137931034483,32.758620689655174,5.172413793103448,37.93103448275862,0.0,5.172413793103448,51.72413793103449,43.103448275862064,True,False,2005,28.0935,Traffic,Aachen_Traffic
6,Aachen,NW,2005,1.7241379310344829,17.24137931034483,32.758620689655174,5.172413793103448,37.93103448275862,0.0,5.172413793103448,51.72413793103449,43.103448275862064,True,False,2005,18.667,Background,Aachen_Background
7,Aachen,NW,2006,1.7241379310344829,17.24137931034483,32.758620689655174,5.172413793103448,37.93103448275862,0.0,5.172413793103448,51.72413793103449,43.103448275862064,True,False,2006,29.464,Traffic,Aachen_Traffic
8,Aachen,NW,2006,1.7241379310344829,17.24137931034483,32.758620689655174,5.172413793103448,37.93103448275862,0.0,5.172413793103448,51.72413793103449,43.103448275862064,True,False,2006,21.47,Background,Aachen_Background
9,Aachen,NW,2007,1.7241379310344829,17.24137931034483,32.758620689655174,5.172413793103448,37.93103448275862,0.0,5.172413793103448,51.72413793103449,43.103448275862064,True,False,2007,31.739666666666665,Traffic,Aachen_Traffic
10,Aachen,NW,2007,1.7241379310344829,17.24137931034483,32.758620689655174,5.172413793103448,37.93103448275862,0.0,5.172413793103448,51.72413793103449,43.103448275862064,True,False,2007,19.91,Background,Aachen_Background
11,Aachen,NW,2008,1.7241379310344829,17.24137931034483,32.758620689655174,5.172413793103448,37.93103448275862,0.0,5.172413793103448,51.72413793103449,43.103448275862064,True,False,2008,30.074,Traffic,Aachen_Traffic
12,Aachen,NW,2008,1.7241379310344829,17.24137931034483,32.758620689655174,5.172413793103448,37.93103448275862,0.0,5.172413793103448,51.72413793103449,43.103448275862064,True,False,2008,17.619,Background,Aachen_Background
13,Aachen,NW,2009,4.054054054054054,18.91891891891892,27.027027027027028,8.108108108108109,37.83783783783784,0.0,4.0540540540540455,50.0,45.94594594594595,True,False,2009,32.7345,Traffic,Aachen_Traffic
14,Aachen,NW,2009,4.054054054054054,18.91891891891892,27.027027027027028,8.108108108108109,37.83783783783784,0.0,4.0540540540540455,50.0,45.94594594594595,True,False,2009,20.311,Background,Aachen_Background
15,Aachen,NW,2010,4.054054054054054,18.91891891891892,27.027027027027028,8.108108108108109,37.83783783783784,0.0,4.0540540540540455,50.0,45.94594594594595,True,False,2010,31.7885,Traffic,Aachen_Traffic
16,Aachen,NW,2010,4.054054054054054,18.91891891891892,27.027027027027028,8.108108108108109,37.83783783783784,0.0,4.0540540540540455,50.0,45.94594594594595,True,False,2010,20.184,Background,Aachen_Background
17,Aachen,NW,2011,4.054054054054054,18.91891891891892,27.027027027027028,8.108108108108109,37.83783783783784,0.0,4.0540540540540455,50.0,45.94594594594595,True,False,2011,29.32,Traffic,Aachen_Traffic
18,Aachen,NW,2011,4.054054054054054,18.91891891891892,27.027027027027028,8.108108108108109,37.83783783783784,0.0,4.0540540540540455,50.0,45.94594594594595,True,False,2011,18.996,Background,Aachen_Background
19,Aachen,NW,2012,4.054054054054054,18.91891891891892,27.027027027027028,8.108108108108109,37.83783783783784,0.0,4.0540540540540455,50.0,45.94594594594595,True,False,2012,27.651999999999997,Traffic,Aachen_Traffic
20,Aachen,NW,2012,4.054054054054054,18.91891891891892,27.027027027027028,8.108108108108109,37.83783783783784,0.0,4.0540540540540455,50.0,45.94594594594595,True,False,2012,16.503,Background,Aachen_Background
21,Aachen,NW,2013,4.054054054054054,18.91891891891892,27.027027027027028,8.108108108108109,37.83783783783784,0.0,4.0540540540540455,50.0,45.94594594594595,True,False,2013,32.2425,Traffic,Aachen_Traffic
22,Aachen,NW,2013,4.054054054054054,18.91891891891892,27.027027027027028,8.108108108108109,37.83783783783784,0.0,4.0540540540540455,50.0,45.94594594594595,True,False,2013,18.046,Background,Aachen_Background
23,Aachen,NW,2014,36.84210526315789,26.31578947368421,17.105263157894736,3.947368421052632,6.578947368421052,2.631578947368421,6.578947368421055,80.26315789473684,13.157894736842106,True,False,2014,27.3445,Traffic,Aachen_Traffic
24,Aachen,NW,2014,36.84210526315789,26.31578947368421,17.105263157894736,3.947368421052632,6.578947368421052,2.631578947368421,6.578947368421055,80.26315789473684,13.157894736842106,True,False,2014,14.974,Background,Aachen_Background
25,Aachen,NW,2015,36.84210526315789,26.31578947368421,17.105263157894736,3.947368421052632,6.578947368421052,2.631578947368421,6.578947368421055,80.26315789473684,13.157894736842106,True,False,2015,24.717,Traffic,Aachen_Traffic
26,Aachen,NW,2015,36.84210526315789,26.31578947368421,17.105263157894736,3.947368421052632,6.578947368421052,2.631578947368421,6.578947368421055,80.26315789473684,13.157894736842106,True,False,2015,15.049,Background,Aachen_Background
27,Aachen,NW,2016,36.84210526315789,26.31578947368421,17.105263157894736,3.947368421052632,6.578947368421052,2.631578947368421,6.578947368421055,80.26315789473684,13.157894736842106,True,False,2016,22.6345,Traffic,Aachen_Traffic
28,Aachen,NW,2016,36.84210526315789,26.31578947368421,17.105263157894736,3.947368421052632,6.578947368421052,2.631578947368421,6.578947368421055,80.26315789473684,13.157894736842106,True,False,2016,13.708,Background,Aachen_Background
29,Aachen,NW,2017,36.84210526315789,26.31578947368421,17.105263157894736,3.947368421052632,6.578947368421052,2.631578947368421,6.578947368421055,80.26315789473684,13.157894736842106,True,False,2017,21.263,Traffic,Aachen_Traffic
30,Aachen,NW,2017,36.84210526315789,26.31578947368421,17.105263157894736,3.947368421052632,6.578947368421052,2.631578947368421,6.578947368421055,80.26315789473684,13.157894736842106,True,False,2017,14.007,Background,Aachen_Background
31,Aachen,NW,2018,36.84210526315789,26.31578947368421,17.105263157894736,3.947368421052632,6.578947368421052,2.631578947368421,6.578947368421055,80.26315789473684,13.157894736842106,True,False,2018,20.979,Traffic,Aachen_Traffic
32,Aachen,NW,2018,36.84210526315789,26.31578947368421,17.105263157894736,3.947368421052632,6.578947368421052,2.631578947368421,6.578947368421055,80.26315789473684,13.157894736842106,True,False,2018,15.548,Background,Aachen_Background
33,Aachen,NW,2019,36.84210526315789,26.31578947368421,17.105263157894736,3.947368421052632,6.578947368421052,2.631578947368421,6.578947368421055,80.26315789473684,13.157894736842106,True,False,2019,19.696,Traffic,Aachen_Traffic
34,Aachen,NW,2019,36.84210526315789,26.31578947368421,17.105263157894736,3.947368421052632,6.578947368421052,2.631578947368421,6.578947368421055,80.26315789473684,13.157894736842106,True,False,2019,12.023,Background,Aachen_Background
39,Aalen,BW,2003,0.0,9.523809523809524,33.33333333333333,0.0,50.0,0.0,7.14285714285714,42.857142857142854,50.0,False,False,2003,24.455,Background,Aalen_Background
40,Aalen,BW,2004,0.0,12.5,25.0,0.0,45.83333333333333,0.0,16.66666666666667,37.5,45.83333333333333,False,False,2004,18.9375,Background,Aalen_Background
41,Aalen,BW,2005,0.0,12.5,25.0,0.0,45.83333333333333,0.0,16.66666666666667,37.5,45.83333333333333,False,False,2005,23.3225,Background,Aalen_Background
42,Aalen,BW,2006,0.0,12.5,25.0,0.0,45.83333333333333,0.0,16.66666666666667,37.5,45.83333333333333,False,False,2006,23.268999999999995,Background,Aalen_Background
43,Aalen,BW,2007,0.0,12.5,25.0,0.0,45.83333333333333,0.0,16.66666666666667,37.5,45.83333333333333,False,False,2007,19.184,Background,Aalen_Background
