Air Quality Station EoI Code,Air Pollutant,Year,Air Pollution Level,Unit Of Air Pollution Level,Air Quality Station Type,Air Quality Station Area,Longitude,Latitude,State,District,City,Yearly Difference,Yearly Mean Difference,Normalized Difference
DEBB086,PM2.5,2012,14.689,ug/m3,Background,suburban,13.4243,52.3497,BB,Teltow-Fläming,Blankenfelde-Mahlow,-4.827999999999999,-1.4926755319148937,3.2344604683151412
DEBB086,PM2.5,2013,14.683,ug/m3,Background,Suburban,13.4243,52.3497,BB,Teltow-Fläming,Blankenfelde-Mahlow,-0.006000000000000227,0.25059090909090914,-0.023943406493742967
DEBB086,PM2.5,2014,17.897,ug/m3,Background,Suburban,13.4243,52.3497,BB,Teltow-Fläming,Blankenfelde-Mahlow,3.2139999999999986,0.06082446808510636,52.84057717533887
DEBB086,PM2.5,2015,14.295,ug/m3,Background,Suburban,13.4243,52.3497,BB,Teltow-Fläming,Blankenfelde-Mahlow,-3.6019999999999985,-0.93672,3.8453326500982135
DEBB086,PM2.5,2016,15.766,ug/m3,Background,Suburban,13.4243,52.3497,BB,Teltow-Fläming,Blankenfelde-Mahlow,1.471,-0.3780966183574879,-3.890539953491938
DEBB086,PM2.5,2017,17.411,ug/m3,Background,Suburban,13.4243,52.3497,BB,Teltow-Fläming,Blankenfelde-Mahlow,1.6450000000000014,-0.13064018691588775,-12.59183746467792
DEBB086,PM2.5,2018,15.683,ug/m3,Background,Suburban,13.4243,52.3497,BB,Teltow-Fläming,Blankenfelde-Mahlow,-1.7280000000000015,0.39106666666666656,-4.418683941356978
DEBB086,PM2.5,2019,11.865,ug/m3,Background,Suburban,13.4243,52.3497,BB,Teltow-Fläming,Blankenfelde-Mahlow,-3.8179999999999996,-1.4410343347639487,2.6494857949553396
DEBB086,PM2.5,2020,9.788,ug/m3,Background,Suburban,13.4243,52.3497,BB,Teltow-Fläming,Blankenfelde-Mahlow,-2.077,-0.7710038167938932,2.6938906847918096
DEBB086,PM2.5,2021,11.971,ug/m3,Background,Suburban,13.4243,52.3497,BB,Teltow-Fläming,Blankenfelde-Mahlow,2.183,0.1843343949044586,11.842608109742402
